IDT;DIAMETRE;DDP;MATERIAU;MATAGE
0;100;01/01/2009;FONTEDUCTILE;FONTEDUCTILE20002010
1;100;01/01/2009;FONTEDUCTILE;FONTEDUCTILE20002010
2;100;01/01/2009;FONTEDUCTILE;FONTEDUCTILE20002010
3;100;01/01/2009;FONTEDUCTILE;FONTEDUCTILE20002010
4;100;01/01/2009;FONTEDUCTILE;FONTEDUCTILE20002010
5;100;01/01/2009;FONTEDUCTILE;FONTEDUCTILE20002010
6;100;01/01/2009;FONTEDUCTILE;FONTEDUCTILE20002010
7;100;01/01/2009;FONTEDUCTILE;FONTEDUCTILE20002010
8;100;01/01/2009;FONTEDUCTILE;FONTEDUCTILE20002010
9;100;01/01/2009;FONTEDUCTILE;FONTEDUCTILE20002010
10;100;01/01/2009;FONTEDUCTILE;FONTEDUCTILE20002010
11;100;01/01/2009;FONTEDUCTILE;FONTEDUCTILE20002010
12;100;01/01/2009;FONTEDUCTILE;FONTEDUCTILE20002010
13;100;01/01/2009;FONTEDUCTILE;FONTEDUCTILE20002010
14;100;01/01/2009;FONTEDUCTILE;FONTEDUCTILE20002010
15;80;01/01/2011;FONTEDUCTILE;FONTEDUCTILE20102020
16;100;01/01/2015;FONTEDUCTILE;FONTEDUCTILE20102020
17;100;01/01/2015;FONTEDUCTILE;FONTEDUCTILE20102020
18;100;01/01/2015;FONTEDUCTILE;FONTEDUCTILE20102020
19;100;01/01/2015;FONTEDUCTILE;FONTEDUCTILE20102020
20;100;01/01/2015;FONTEDUCTILE;FONTEDUCTILE20102020
21;100;01/01/2015;FONTEDUCTILE;FONTEDUCTILE20102020
22;100;01/01/2015;FONTEDUCTILE;FONTEDUCTILE20102020
23;100;01/01/2015;FONTEDUCTILE;FONTEDUCTILE20102020
24;100;01/01/2015;FONTEDUCTILE;FONTEDUCTILE20102020
25;100;01/01/2015;FONTEDUCTILE;FONTEDUCTILE20102020
26;100;01/01/2015;FONTEDUCTILE;FONTEDUCTILE20102020
27;100;01/01/2015;FONTEDUCTILE;FONTEDUCTILE20102020
28;100;01/01/2015;FONTEDUCTILE;FONTEDUCTILE20102020
29;60;01/01/2016;PVC;PVC19902020
30;50;01/01/2007;PEHD;PEHD19952020
31;50;01/01/2007;PEHD;PEHD19952020
32;50;01/01/2007;PEHD;PEHD19952020
33;50;01/01/2007;PEHD;PEHD19952020
34;0;01/01/2009;FONTEDUCTILE;FONTEDUCTILE20002010
35;0;01/01/2009;FONTEDUCTILE;FONTEDUCTILE20002010
36;0;01/01/2009;FONTEDUCTILE;FONTEDUCTILE20002010
37;100;01/01/2009;FONTEDUCTILE;FONTEDUCTILE20002010
38;50;01/01/2009;PEHD;PEHD19952020
39;50;01/01/2009;PEHD;PEHD19952020
40;50;01/01/2009;PEHD;PEHD19952020
41;50;01/01/2009;PEHD;PEHD19952020
42;50;01/01/2009;PEHD;PEHD19952020
43;100;01/01/2009;FONTEDUCTILE;FONTEDUCTILE20002010
44;63;01/01/2013;PVC;PVC19902020
45;63;01/01/2013;PVC;PVC19902020
46;63;01/01/2013;PVC;PVC19902020
47;110;01/01/2013;FONTEDUCTILE;FONTEDUCTILE20102020
48;0;01/01/2013;PVC;PVC19902020
49;110;01/01/2013;FONTEDUCTILE;FONTEDUCTILE20102020
50;110;01/01/2013;FONTEDUCTILE;FONTEDUCTILE20102020
51;110;01/01/2013;FONTEDUCTILE;FONTEDUCTILE20102020
52;110;01/01/2013;FONTEDUCTILE;FONTEDUCTILE20102020
53;110;01/01/2013;FONTEDUCTILE;FONTEDUCTILE20102020
