IDTC;DDCC
1554;25/01/2011
1546;12/05/2011
419;01/06/2011
1346;13/09/2013
549;15/11/2013
191;01/01/2013
1104;07/11/2012
560;18/07/2013
1602;30/07/2013
96;24/04/2013
834;30/05/2012
680;20/06/2012
1557;06/07/2012
191;08/02/2012
139;18/05/2011
1533;28/01/2013
1643;29/01/2013
199;22/02/2013
199;27/03/2013
1258;10/12/2010
1602;14/12/2012
157;09/01/2013
158;04/02/2013
684;08/01/2014
137;28/04/2014
1606;07/08/2015
551;16/12/2011
683;26/09/2011
145;14/09/2011
1597;25/07/2011
1239;30/08/2011
1122;21/04/2016
926;14/09/2014
1403;19/01/2016
1262;17/09/2015
374;27/01/2016
580;23/03/2015
685;15/01/2015
683;24/11/2010
