IDT;DIAMETRE;DDP;MATERIAU;MATAGE
0;200;01/01/1920;FONTEGRISE;FONTEGRISE19001930
1;200;01/01/1920;FONTEGRISE;FONTEGRISE19001930
2;200;01/01/1920;FONTEGRISE;FONTEGRISE19001930
3;200;01/01/1920;FONTEGRISE;FONTEGRISE19001930
4;200;01/01/1920;FONTEGRISE;FONTEGRISE19001930
5;200;01/01/1920;FONTEGRISE;FONTEGRISE19001930
6;160;01/01/2005;PVC;PVC19902020
7;160;01/01/2005;PVC;PVC19902020
8;160;01/01/2005;PVC;PVC19902020
9;160;01/01/2005;PVC;PVC19902020
10;160;01/01/2005;PVC;PVC19902020
11;160;01/01/2005;PVC;PVC19902020
12;160;01/01/2005;PVC;PVC19902020
13;160;01/01/2005;PVC;PVC19902020
14;160;01/01/2005;PVC;PVC19902020
15;160;01/01/2005;PVC;PVC19902020
16;160;01/01/2005;PVC;PVC19902020
17;160;01/01/2005;PVC;PVC19902020
18;160;01/01/2005;PVC;PVC19902020
19;160;01/01/2005;PVC;PVC19902020
20;160;01/01/2005;PVC;PVC19902020
21;160;01/01/2005;PVC;PVC19902020
22;160;01/01/2005;PVC;PVC19902020
23;160;01/01/2005;PVC;PVC19902020
24;160;01/01/2005;PVC;PVC19902020
25;160;01/01/2005;PVC;PVC19902020
26;160;01/01/2005;PVC;PVC19902020
27;160;01/01/2005;PVC;PVC19902020
28;160;01/01/2005;PVC;PVC19902020
29;250;01/01/1940;FONTEGRISE;FONTEGRISE19401970
30;250;01/01/1940;FONTEGRISE;FONTEGRISE19401970
31;250;01/01/1940;FONTEGRISE;FONTEGRISE19401970
32;250;01/01/1940;FONTEGRISE;FONTEGRISE19401970
33;250;01/01/1940;FONTEGRISE;FONTEGRISE19401970
34;250;01/01/1940;FONTEGRISE;FONTEGRISE19401970
35;250;01/01/1940;FONTEGRISE;FONTEGRISE19401970
36;250;01/01/1940;FONTEGRISE;FONTEGRISE19401970
37;250;01/01/1940;FONTEGRISE;FONTEGRISE19401970
38;250;01/01/1940;FONTEGRISE;FONTEGRISE19401970
39;250;01/01/1940;FONTEGRISE;FONTEGRISE19401970
40;250;01/01/1940;FONTEGRISE;FONTEGRISE19401970
41;250;01/01/1940;FONTEGRISE;FONTEGRISE19401970
42;150;01/01/1976;FONTEDUCTILE;FONTEDUCTILE19661980
43;150;01/01/1976;FONTEDUCTILE;FONTEDUCTILE19661980
44;150;01/01/1976;FONTEDUCTILE;FONTEDUCTILE19661980
45;150;01/01/1982;FONTEDUCTILE;FONTEDUCTILE19801990
46;200;01/01/1990;FONTEDUCTILE;FONTEDUCTILE19902000
