IDT;DIAMETRE;DDP;MATERIAU;MATAGE
0;200;01/01/1960;FONTEGRISE;FONTEGRISE19401970
1;200;01/01/1960;FONTEGRISE;FONTEGRISE19401970
2;200;01/01/1960;FONTEGRISE;FONTEGRISE19401970
3;200;01/01/1960;FONTEGRISE;FONTEGRISE19401970
4;200;01/01/1960;FONTEGRISE;FONTEGRISE19401970
5;200;01/01/1960;FONTEGRISE;FONTEGRISE19401970
6;200;01/01/1960;FONTEGRISE;FONTEGRISE19401970
7;200;01/01/1960;FONTEGRISE;FONTEGRISE19401970
8;200;01/01/1960;FONTEGRISE;FONTEGRISE19401970
9;250;01/01/1985;FONTEDUCTILE;FONTEDUCTILE19801990
10;250;01/01/1985;FONTEDUCTILE;FONTEDUCTILE19801990
11;250;01/01/1985;FONTEDUCTILE;FONTEDUCTILE19801990
12;250;01/01/1985;FONTEDUCTILE;FONTEDUCTILE19801990
13;250;01/01/1985;FONTEDUCTILE;FONTEDUCTILE19801990
14;250;01/01/1985;FONTEDUCTILE;FONTEDUCTILE19801990
15;250;01/01/1985;FONTEDUCTILE;FONTEDUCTILE19801990
16;250;01/01/1985;FONTEDUCTILE;FONTEDUCTILE19801990
17;250;01/01/1985;FONTEDUCTILE;FONTEDUCTILE19801990
18;250;01/01/1985;FONTEDUCTILE;FONTEDUCTILE19801990
19;250;01/01/1985;FONTEDUCTILE;FONTEDUCTILE19801990
20;250;01/01/1985;FONTEDUCTILE;FONTEDUCTILE19801990
21;250;01/01/1985;FONTEDUCTILE;FONTEDUCTILE19801990
22;250;01/01/1985;FONTEDUCTILE;FONTEDUCTILE19801990
23;250;01/01/1985;FONTEDUCTILE;FONTEDUCTILE19801990
24;250;01/01/1985;FONTEDUCTILE;FONTEDUCTILE19801990
25;250;01/01/1985;FONTEDUCTILE;FONTEDUCTILE19801990
26;250;01/01/1985;FONTEDUCTILE;FONTEDUCTILE19801990
27;250;01/01/1985;FONTEDUCTILE;FONTEDUCTILE19801990
28;250;01/01/1985;FONTEDUCTILE;FONTEDUCTILE19801990
29;250;01/01/1985;FONTEDUCTILE;FONTEDUCTILE19801990
30;250;01/01/1985;FONTEDUCTILE;FONTEDUCTILE19801990
31;250;01/01/1985;FONTEDUCTILE;FONTEDUCTILE19801990
