IDTC;DDCC
13632;16/01/2007
10388;28/08/2007
27551;03/01/2007
30579;26/11/2007
24814;19/01/2007
25871;03/09/2007
3168;21/10/2007
2846;19/01/2007
2852;19/11/2007
3818;28/08/2006
3882;10/01/2007
3887;15/03/2007
3904;29/03/2007
3904;30/03/2007
3903;29/03/2007
3906;30/03/2007
3907;30/03/2007
3909;30/03/2007
3917;16/03/2007
3919;16/03/2007
4341;12/01/2007
4569;14/03/2007
4585;17/11/2007
2483;20/11/2007
265;22/02/2007
14698;01/04/2007
7661;01/03/2007
16671;17/10/2007
16612;30/11/2007
16742;23/03/2007
41567;13/10/2007
35446;08/02/2007
35445;26/01/2007
19539;15/11/2007
28263;19/11/2007
28921;29/08/2007
22724;23/02/2007
4739;08/10/2007
4745;28/08/2007
5109;30/11/2007
5140;30/11/2007
13683;14/06/2006
33591;31/07/2006
11911;11/08/2006
10127;14/08/2006
29431;19/12/2006
29206;15/09/2006
29224;17/08/2006
41299;10/12/2006
27359;20/12/2006
27360;02/02/2005
27364;05/04/2005
27331;02/02/2006
25331;09/06/2006
23782;30/12/2006
25920;21/12/2006
25655;28/10/2006
3328;02/11/2006
2378;20/06/2006
7150;14/12/2006
7023;10/11/2006
37009;01/04/2005
37046;24/01/2006
41562;01/01/2005
41566;09/04/2005
18610;31/12/2006
31811;16/12/2006
28520;27/10/2006
28645;29/12/2006
22979;23/10/2006
41983;26/12/2006
23092;19/12/2006
23090;06/07/2006
38279;13/12/2007
38449;07/07/2005
38844;06/07/2005
38445;22/02/2005
41099;14/12/2005
41100;11/02/2006
23428;01/03/2005
20399;27/07/2005
21466;07/01/2005
21716;12/01/2006
21658;24/01/2006
21663;08/02/2006
21751;12/01/2006
21958;12/10/2005
21942;02/01/2006
23906;23/03/2005
23903;24/03/2008
25633;01/02/2005
25586;01/01/2005
25579;01/01/2005
27154;07/02/2006
28704;01/03/2005
28704;01/03/2005
28426;12/05/2005
30142;01/02/2005
31206;01/02/2004
31051;01/01/2005
29236;13/06/2006
29218;02/02/2005
29207;24/04/2005
29270;19/08/2005
29495;30/01/2006
29508;25/11/2005
29610;12/01/2006
29626;13/08/2004
30383;25/12/2005
30335;17/12/2001
33269;19/01/2006
33258;29/11/2001
33001;06/08/1999
32977;23/08/2004
33197;14/02/2006
32796;19/11/2001
32802;13/01/2003
32806;26/01/2006
31574;04/05/2005
31570;06/02/2006
18545;04/12/2005
18937;23/12/2005
24898;04/03/2005
24895;27/08/2005
24880;07/03/2005
25119;01/03/2005
34913;01/04/2005
13842;17/01/2005
14052;01/03/2005
14120;14/01/2006
11408;23/11/2005
10773;07/03/2006
35239;16/09/2005
35240;15/09/2005
35242;02/02/2005
35655;15/09/2005
16790;01/02/2005
16470;01/01/2005
15973;11/12/2005
15968;01/02/2005
15835;01/02/2005
15745;01/01/2005
42146;01/02/2005
15008;11/01/2006
14750;01/04/2005
14582;01/02/2005
14790;02/08/2005
14787;01/01/2005
8293;30/03/2006
7826;05/12/2005
7803;01/10/2005
12342;21/10/2005
10560;04/02/2005
10515;24/05/2005
10221;07/03/2006
40357;01/10/2005
40360;23/12/2005
5506;03/01/2004
5647;13/12/2005
5816;24/02/2005
5999;03/05/2006
6171;26/04/2006
5076;31/05/2005
5005;22/07/2005
5004;29/07/2005
4852;21/10/2005
4763;22/12/2005
5118;02/11/2005
5369;27/01/2005
42081;20/04/2005
4027;02/12/2005
4034;13/10/2005
4199;04/12/2005
4336;09/02/2006
2850;24/01/2006
2007;25/12/2005
2012;20/10/2005
2001;11/11/2005
34497;26/10/2005
17784;27/12/2007
33206;21/12/2007
10653;28/08/2007
9909;04/12/2007
29620;21/12/2007
30538;30/11/2007
25643;29/11/2007
4406;30/12/2008
1857;02/12/2007
1865;26/12/2007
765;27/12/2007
828;06/12/2007
33681;01/12/2007
16613;18/10/2007
16027;09/12/2007
37007;20/12/2007
21793;02/12/2007
19023;17/12/2007
17862;16/12/2007
19434;21/12/2007
18897;21/12/2007
6002;26/12/2007
5138;24/02/2007
32867;18/07/2008
32787;11/03/2008
30350;12/12/2008
33602;03/09/2008
32927;14/11/2008
32804;18/07/2008
32800;15/12/2008
32982;10/11/2008
10663;14/02/2008
10662;28/02/2008
11913;18/12/2008
10055;08/01/2008
9947;01/12/2008
9882;09/01/2008
24615;21/10/2008
5110;22/02/2007
10658;15/01/2008
29179;16/11/2008
29166;08/02/2008
29679;13/12/2008
12124;09/11/2008
12231;15/12/2008
26954;31/01/2008
26122;15/12/2008
30390;23/12/2008
30588;18/11/2008
30753;15/03/2008
25371;27/01/2008
20252;07/03/2008
25120;15/04/2008
24286;22/10/2008
24682;01/12/2008
24609;22/01/2008
25655;14/04/2008
25692;26/09/2008
2753;25/04/2008
4379;21/12/2008
4362;25/06/2008
4179;27/11/2008
9444;30/03/2008
2485;04/02/2008
2471;26/11/2008
2327;30/04/2008
1836;06/02/2008
2643;07/10/2008
33817;25/09/2008
34114;25/09/2008
34080;03/10/2008
34388;01/01/2008
34279;01/01/2008
16084;05/01/2008
16659;14/03/2008
16669;14/03/2008
16794;19/03/2008
37539;01/12/2008
37000;07/01/2008
41568;27/04/2008
41568;13/02/2008
41570;29/09/2008
35177;22/09/2008
21631;24/12/2008
18835;07/10/2008
19196;22/10/2008
18152;03/04/2008
19432;25/10/2008
18595;24/12/2008
18646;30/03/2008
31751;02/12/2008
22619;25/09/2008
22602;08/02/2008
22605;10/10/2008
22608;12/08/2008
41184;12/05/2008
6000;04/07/2008
6254;03/09/2008
4759;15/01/2008
4762;06/02/2008
5362;14/05/2008
5350;07/05/2008
