IDTC;DDCC
4246;02/01/2007
10552;22/02/2007
5624;04/05/2010
7425;09/02/2007
4292;28/01/2010
8972;09/02/2007
6464;28/12/2011
4419;08/01/2012
7300;06/01/2012
7300;06/01/2012
3917;07/02/2012
8092;29/03/2012
9269;23/03/2012
7028;17/03/2012
8144;06/02/2012
7261;16/02/2012
922;16/02/2012
8750;11/02/2012
8282;30/01/2012
3296;24/01/2012
5043;18/01/2012
9924;27/12/2011
7261;16/02/2012
6500;09/02/2012
1158;04/02/2012
3287;24/01/2012
2917;27/02/2012
6087;28/02/2012
3915;08/01/2012
5048;18/01/2012
3914;10/02/2012
6703;13/02/2012
7028;17/03/2012
9269;23/03/2013
8614;08/03/2012
8750;11/02/2012
1424;15/02/2012
4393;16/02/2012
1795;27/07/2012
1887;21/05/2012
2687;12/04/2012
7037;06/03/2012
1795;06/02/2012
3237;06/02/2012
9854;06/02/2012
3611;07/02/2012
7118;20/11/2012
6674;22/11/2012
2854;14/11/2012
3004;14/11/2012
7078;03/08/2012
1064;06/08/2012
3661;13/07/2012
2564;25/09/2011
5385;10/03/2010
3842;14/04/2010
5946;21/05/2010
7363;31/05/2010
9734;18/11/2011
6173;06/10/2011
6167;25/08/2011
8367;15/11/2010
6632;15/11/2010
8367;17/10/2010
5490;18/11/2010
10416;28/07/2009
5385;15/03/2010
10067;17/03/2010
10819;15/09/2010
6193;05/10/2010
5375;06/10/2010
4081;18/10/2010
1441;26/10/2010
10998;02/11/2010
5478;12/11/2010
4401;12/11/2010
9112;12/07/2010
7780;13/07/2010
3299;02/08/2010
5093;12/08/2010
1446;09/09/2010
9932;21/12/2011
9924;27/12/2011
2433;13/12/2011
8071;28/12/2011
8261;19/12/2011
7295;13/02/2012
6500;09/02/2012
1159;04/02/2012
5684;05/05/2011
5684;06/05/2011
2182;17/03/2011
4876;09/02/2011
7862;08/01/2011
4113;07/02/2007
1183;04/12/2011
10407;29/11/2011
7732;09/11/2011
6002;03/08/2011
4055;25/08/2011
4055;07/07/2011
7542;17/07/2011
7640;17/06/2011
6058;23/05/2011
10207;13/07/2011
2080;25/07/2011
2079;29/06/2011
6482;03/06/2011
8531;14/05/2011
9814;11/03/2011
1637;07/02/2011
3914;28/11/2011
11001;06/11/2015
3365;16/01/2016
9747;10/02/2015
6242;05/01/2015
8062;18/11/2015
8266;12/03/2015
6718;04/02/2015
10225;05/01/2015
2988;27/11/2015
7411;25/01/2016
3542;01/01/2015
3802;26/01/2015
9935;05/03/2015
8970;11/03/2015
3550;26/01/2015
4026;15/06/2015
2294;29/12/2014
3704;30/12/2014
3703;30/12/2014
3540;01/01/2015
5479;29/12/2014
10223;05/01/2015
6234;05/01/2015
1797;27/01/2015
3567;14/10/2014
7456;20/11/2014
2213;03/12/2014
7722;11/12/2014
6335;22/12/2014
6336;23/12/2014
6334;24/12/2014
3704;17/03/2016
128;05/05/2015
3637;18/03/2016
6698;05/12/2013
2598;09/12/2013
6973;11/12/2013
4982;11/12/2013
10105;12/12/2013
942;02/12/2013
3525;20/11/2013
9141;03/01/2014
8095;29/03/2013
2226;17/11/2013
2226;17/11/2013
8145;20/11/2013
4845;05/12/2013
2975;04/12/2013
6698;05/12/2013
3648;11/04/2013
2826;03/06/2013
9321;12/07/2013
3295;04/09/2013
10044;23/09/2013
6553;31/07/2012
6555;31/07/2012
2563;09/01/2013
4715;22/01/2013
3915;21/01/2013
4182;23/01/2013
5469;13/03/2013
4055;08/04/2013
8073;12/06/2014
3886;09/09/2014
3703;19/09/2014
4252;21/08/2014
6238;15/09/2014
5494;06/05/2014
1799;05/09/2014
3314;23/11/2014
10345;18/07/2014
3888;24/07/2014
4990;04/08/2014
6193;18/08/2014
7668;15/05/2014
9436;22/05/2014
10451;02/06/2014
8068;12/06/2014
8065;12/03/2014
8075;13/03/2014
5921;13/03/2014
3316;25/03/2014
8074;19/03/2014
6736;24/02/2014
3451;25/06/2014
450;07/02/2014
5482;03/02/2014
2976;03/02/2014
1259;07/04/2014
4640;04/03/2014
1057;19/10/2009
6626;23/10/2009
5594;26/10/2009
10893;27/10/2009
9409;27/10/2009
4846;19/11/2009
10075;03/12/2009
9392;09/12/2009
5869;30/06/2009
8212;08/07/2009
2892;09/07/2009
9393;01/10/2009
7044;05/10/2009
8916;20/03/2009
4763;01/04/2009
4764;02/04/2009
8887;02/04/2009
8146;07/04/2009
8150;09/04/2009
4760;09/04/2009
3015;29/04/2009
6692;06/01/2009
5220;06/01/2009
4916;13/01/2009
1443;30/01/2009
10416;20/02/2009
5042;02/03/2009
3755;09/03/2009
6997;10/03/2009
5220;14/04/2010
2582;21/04/2010
7731;01/06/2010
9855;02/06/2010
5593;04/06/2010
4757;25/06/2010
8712;08/07/2010
3238;09/07/2010
8637;19/02/2010
4329;24/02/2010
2972;26/02/2010
4868;04/03/2010
8964;05/03/2010
5385;09/03/2010
848;18/03/2010
2995;29/03/2010
5172;02/03/2010
4252;05/02/2010
1503;09/02/2010
5603;10/02/2010
4881;10/02/2010
8138;11/02/2010
5050;16/02/2010
10048;16/12/2009
1879;30/12/2009
8262;06/01/2010
4795;06/01/2010
10216;20/01/2010
10553;25/01/2010
130;24/01/2010
7084;29/01/2010
5094;10/03/2008
5108;17/03/2008
5106;18/03/2008
5107;19/03/2008
5074;21/03/2008
4472;31/03/2008
5348;03/04/2008
3424;24/04/2008
6099;13/02/2008
5077;25/02/2008
3621;28/02/2008
3709;29/02/2008
3709;29/02/2008
6332;10/03/2008
10415;05/03/2010
4785;02/01/2008
9426;07/01/2008
6761;29/01/2008
7915;30/01/2008
7000;31/01/2008
5493;06/02/2008
7019;06/02/2008
3467;22/03/2007
5355;10/08/2009
4755;02/09/2009
6436;22/10/2009
10695;07/12/2009
87;11/01/2010
10856;25/02/2010
3769;04/11/2008
6258;12/11/2008
5490;19/11/2008
8637;20/11/2008
5611;02/12/2008
3834;18/12/2008
7576;19/12/2008
5685;31/12/2008
3462;01/08/2008
7245;08/09/2008
6466;18/09/2008
10535;19/09/2008
5595;19/09/2008
10485;22/09/2008
10404;06/10/2008
4597;10/07/2008
4846;15/07/2008
8071;17/07/2008
5363;17/07/2008
1205;22/07/2008
1205;22/07/2008
5870;29/07/2008
5970;30/07/2008
3424;30/04/2008
4402;21/05/2008
1496;28/05/2008
3001;06/06/2008
979;09/06/2008
10989;10/06/2008
4795;05/04/2007
6999;29/01/2008
408;24/03/2010
10618;13/12/2012
2861;26/11/2012
2383;04/12/2012
9049;06/11/2012
7118;20/11/2012
1240;02/01/2007
7364;02/01/2007
