IDT;DIAMETRE;DDP;MATERIAU;MATAGE
0;250;01/01/1978;FONTEDUCTILE;FONTEDUCTILE19661980
1;250;01/01/1978;FONTEDUCTILE;FONTEDUCTILE19661980
2;250;01/01/1978;FONTEDUCTILE;FONTEDUCTILE19661980
3;250;01/01/1978;FONTEDUCTILE;FONTEDUCTILE19661980
4;250;01/01/1978;FONTEDUCTILE;FONTEDUCTILE19661980
5;250;01/01/1978;FONTEDUCTILE;FONTEDUCTILE19661980
6;250;01/01/1978;FONTEDUCTILE;FONTEDUCTILE19661980
7;250;01/01/1978;FONTEDUCTILE;FONTEDUCTILE19661980
8;250;01/01/1978;FONTEDUCTILE;FONTEDUCTILE19661980
9;250;01/01/1978;FONTEDUCTILE;FONTEDUCTILE19661980
10;250;01/01/1978;FONTEDUCTILE;FONTEDUCTILE19661980
11;250;01/01/1978;FONTEDUCTILE;FONTEDUCTILE19661980
12;250;01/01/1978;FONTEDUCTILE;FONTEDUCTILE19661980
13;250;01/01/1978;FONTEDUCTILE;FONTEDUCTILE19661980
14;250;01/01/1978;FONTEDUCTILE;FONTEDUCTILE19661980
15;250;01/01/1978;FONTEDUCTILE;FONTEDUCTILE19661980
16;250;01/01/1978;FONTEDUCTILE;FONTEDUCTILE19661980
17;250;01/01/1978;FONTEDUCTILE;FONTEDUCTILE19661980
18;250;01/01/1978;FONTEDUCTILE;FONTEDUCTILE19661980
19;250;01/01/1978;FONTEDUCTILE;FONTEDUCTILE19661980
20;250;01/01/1978;FONTEDUCTILE;FONTEDUCTILE19661980
21;250;01/01/1978;FONTEDUCTILE;FONTEDUCTILE19661980
22;250;01/01/1978;FONTEDUCTILE;FONTEDUCTILE19661980
23;250;01/01/1978;FONTEDUCTILE;FONTEDUCTILE19661980
24;100;01/01/1950;FONTEGRISE;FONTEGRISE19401970
25;100;01/01/1950;FONTEGRISE;FONTEGRISE19401970
26;100;01/01/1950;FONTEGRISE;FONTEGRISE19401970
27;100;01/01/1950;FONTEGRISE;FONTEGRISE19401970
28;100;01/01/1950;FONTEGRISE;FONTEGRISE19401970
29;100;01/01/1950;FONTEGRISE;FONTEGRISE19401970
30;100;01/01/1950;FONTEGRISE;FONTEGRISE19401970
31;100;01/01/1950;FONTEGRISE;FONTEGRISE19401970
32;100;01/01/1950;FONTEGRISE;FONTEGRISE19401970
33;100;01/01/1950;FONTEGRISE;FONTEGRISE19401970
34;100;01/01/1950;FONTEGRISE;FONTEGRISE19401970
35;100;01/01/1950;FONTEGRISE;FONTEGRISE19401970
36;100;01/01/1950;FONTEGRISE;FONTEGRISE19401970
37;63;01/01/1970;PVC;PVC19701990
38;63;01/01/1970;PVC;PVC19701990
39;63;01/01/1970;PVC;PVC19701990
40;63;01/01/1970;PVC;PVC19701990
41;63;01/01/1970;PVC;PVC19701990
42;63;01/01/1970;PVC;PVC19701990
43;63;01/01/1970;PVC;PVC19701990
