IDTC;DDCC
4904;01/01/1997
1128;19/02/2002
5909;14/02/2003
4887;02/05/2002
5410;13/02/2002
6905;13/03/2002
107951;07/12/2002
109603;07/12/2002
4553;06/06/2002
6686;03/06/2001
5447;13/01/2000
5447;14/01/2003
5660;24/10/2001
4778;11/04/2000
1442;09/01/2001
1344;22/08/2001
116173;14/11/2001
6950;14/09/2001
2065;18/11/2000
2054;28/08/2000
94874;29/08/2001
7564;01/01/1997
109601;01/01/1997
109602;01/01/1997
7047;01/01/1997
5654;01/01/1997
5439;01/01/1997
5432;01/01/1998
5199;01/01/1995
6266;01/01/1998
4387;01/01/1998
4296;01/01/1999
5477;01/01/1998
5413;01/01/1998
6927;01/01/1998
6411;01/01/1998
6413;01/01/1999
6380;01/01/1998
4887;01/01/1997
4910;01/01/1998
108376;01/01/1997
7184;01/01/1999
6607;01/01/1999
6349;01/01/1998
4635;01/01/1998
1835;01/01/1997
1956;01/01/1998
4645;01/01/1997
1528;01/01/1998
1525;01/01/1998
6449;01/01/1998
5296;01/01/1998
5883;01/01/1997
6105;01/01/1997
4809;01/01/1999
5822;01/01/1997
6435;01/01/1997
4741;01/01/1997
4724;01/01/1997
1151;01/01/1998
1135;01/01/1997
94879;01/01/1998
1878;01/01/1998
4038;01/01/1998
5767;01/01/1999
98215;01/01/1997
4208;01/01/1997
98900;25/11/2004
2113;17/11/2003
4055;13/12/2003
4262;12/12/2003
66934;22/09/2004
66935;22/09/2004
1875;23/09/2004
1097;18/03/2004
1750;03/09/2003
6313;17/11/2003
6838;18/09/2004
114930;02/04/2004
7152;02/10/2003
5827;19/12/2003
4909;08/10/2003
4903;06/07/2003
6412;25/08/2004
6693;10/03/2004
48856;15/11/2004
48811;30/11/2004
51434;02/12/2004
14346;29/11/2004
61836;10/11/2004
67696;18/11/2004
23555;05/12/2004
10158;20/11/2004
75934;15/11/2004
44492;09/12/2004
79932;09/12/2004
13305;14/12/2004
23568;16/12/2004
75946;17/12/2004
65381;19/12/2004
54612;12/12/2004
109482;21/12/2004
109484;24/12/2004
5655;04/01/2005
67520;15/12/2004
58433;11/01/2005
82613;05/01/2005
116565;03/01/2005
66886;07/01/2005
50197;05/01/2005
61270;07/01/2005
23293;20/01/2005
24565;18/01/2005
17320;14/01/2005
47752;12/01/2005
47802;12/06/2004
65023;23/12/2003
55449;04/02/2005
113865;31/01/2005
11306;31/01/2005
14011;27/01/2005
65908;03/02/2005
65909;03/02/2005
2358;02/02/2005
109030;03/02/2005
109795;07/02/2005
34176;18/01/2005
42360;09/02/2005
29934;01/02/2005
1108;28/01/2005
45108;21/01/2005
36084;08/02/2005
60361;17/01/2005
18698;01/02/2005
18697;01/02/2005
9939;10/02/2005
5941;03/02/2005
26693;15/02/2005
35735;24/01/2005
25847;17/02/2005
104996;19/02/2005
2067;20/01/2005
4816;10/03/2005
5466;09/03/2005
107950;17/03/2005
107950;19/04/2005
5585;04/05/2005
3773;01/03/2005
20195;10/03/2005
112608;16/05/2005
9693;25/02/2005
9825;18/03/2005
77935;02/06/2005
9938;02/06/2005
41775;21/02/2005
41617;01/02/2005
26026;09/03/2005
25291;10/03/2005
25864;20/04/2005
24909;23/05/2005
24891;05/06/2005
27034;04/03/2005
27033;08/03/2005
21478;24/05/2005
21471;19/05/2005
62297;09/03/2005
62329;13/03/2005
41282;02/03/2005
54039;15/03/2005
41280;16/03/2005
48528;24/02/2005
116513;31/05/2005
54038;15/04/2005
43953;13/05/2005
83873;03/03/2005
88822;28/02/2005
67631;30/03/2005
77942;14/03/2005
109030;25/03/2005
15599;21/04/2005
16995;04/05/2005
77759;03/05/2005
67298;22/02/2005
10157;30/05/2005
25958;01/01/2002
24946;01/01/2001
24949;01/01/2001
24946;01/01/1998
25149;01/01/1998
22356;01/01/1998
24203;01/01/1997
26180;01/01/2000
24031;01/01/1994
24031;01/01/1994
24257;01/01/1994
24938;01/01/2000
23901;01/01/2002
24957;01/01/1994
106915;01/01/1999
35292;01/01/1998
23223;01/01/1994
25567;01/01/1999
110313;01/01/1997
24634;01/01/1994
102446;01/01/1999
110863;01/01/1996
32207;01/01/1996
25742;01/01/1994
25739;01/01/2000
108342;01/01/2002
25734;01/01/1996
25735;01/01/1997
102478;01/01/2000
23511;01/01/1998
102488;01/01/2001
23539;01/01/1996
23484;01/01/1996
25757;01/01/1999
23502;01/01/1994
23537;01/01/1994
23538;01/01/1994
23537;01/01/1994
23534;01/01/1996
23535;01/01/1996
23535;01/01/1996
23536;01/01/1996
97855;01/01/1996
25099;01/01/1999
25087;01/01/2001
25089;01/01/1994
25090;01/01/1994
23696;01/01/1992
23647;01/01/1999
23645;01/01/1998
23281;01/01/1996
23271;01/01/1998
23273;01/01/2002
23557;01/01/2000
24512;01/01/1994
24513;01/01/1994
25312;01/01/2001
23433;01/01/1996
23437;01/01/1996
23462;01/01/1996
23437;01/01/1998
25117;01/01/1998
23452;01/01/2000
105353;01/01/1996
26143;01/01/2000
26116;01/01/1997
32043;01/01/2000
23419;01/01/2002
23411;01/01/1997
24306;01/01/1996
24306;01/01/1994
24567;01/01/2001
24585;01/01/2002
24586;01/01/1996
24587;01/01/1998
24590;01/01/1994
24592;01/01/1997
24657;01/01/1997
67728;01/01/2001
27343;01/01/1996
37813;01/01/2000
37799;01/01/1998
27386;01/01/1996
24242;01/01/2001
24708;01/01/2000
89393;01/01/1994
26173;01/01/2001
26174;01/01/1996
25060;01/01/1998
25053;01/01/2001
25484;01/01/1996
25047;01/01/1996
25267;01/01/1997
24865;01/01/1994
24281;01/01/1999
24279;01/01/1998
24872;01/01/1998
26388;01/01/2000
25444;01/01/1994
25865;01/01/1994
25863;01/01/1997
25649;01/01/1997
24410;01/01/1998
38327;01/01/2000
38328;01/01/2000
29128;01/01/1999
29131;01/01/1996
29135;01/01/2000
29136;01/01/1996
37753;01/01/1998
37761;01/01/1997
27308;01/01/1997
27288;01/01/2001
27352;01/01/2001
27352;01/01/1994
27332;01/01/1997
27600;01/01/1997
27222;01/01/2001
26972;01/01/1999
29712;01/01/1994
29716;01/01/1996
26691;01/01/1994
26690;01/01/1998
29735;01/01/2000
27627;01/01/1994
27579;01/01/2000
27985;01/01/2001
96771;01/01/1996
27034;01/01/2000
26975;01/01/1997
26945;01/01/1997
26920;01/01/2001
29783;01/01/2001
116368;01/01/1996
27551;01/01/1998
37994;01/01/1998
29993;01/01/2002
27966;01/01/1997
105720;01/01/1998
30007;01/01/1992
40573;01/01/1997
40579;01/01/1997
65791;01/01/2002
65579;01/01/2002
65577;01/01/2000
65578;01/01/2001
65790;01/01/1999
65721;01/01/1997
63236;01/01/1994
60522;01/01/1996
65521;01/01/1996
65557;01/01/1999
60532;01/01/1998
65530;01/01/1998
65537;01/01/1996
65555;01/01/1997
65554;01/01/2001
65547;01/01/1994
65545;01/01/1996
