IDTC;DDCC
2985;14/06/2013
1138;08/04/2013
1309;11/04/2013
3544;30/12/2013
512;03/04/2014
2784;05/05/2014
3457;29/08/2014
5136;20/12/2014
1937;19/12/2014
230;07/10/2015
3583;25/02/2015
3302;04/12/2015
2841;17/09/2015
1971;25/10/2015
127;08/01/2001
1731;04/12/2001
55;23/05/2001
1626;09/01/2001
3150;06/01/2001
157;12/06/2001
3890;09/12/2001
4123;26/02/2001
432;13/01/2001
1523;18/06/2002
4722;09/04/2002
4274;22/03/2002
4832;08/04/2002
5135;04/04/2002
213;17/10/2002
3360;17/04/2002
2842;24/10/2002
2560;05/04/2002
600;11/01/2000
2535;05/10/2000
1380;29/10/2000
4039;17/09/2000
98;10/02/2000
1772;27/12/2000
44;01/04/2000
1228;22/12/2000
1253;03/02/2000
4936;24/07/2000
1166;15/05/2000
687;04/07/2000
2842;21/11/2000
2561;08/05/2000
2993;29/09/2000
474;26/06/2000
3386;30/09/2000
1432;27/08/2005
3450;20/11/2005
2985;04/03/2005
1941;05/03/2004
1627;16/02/2004
3667;13/02/2004
4068;11/05/2005
4104;27/08/2005
1136;22/10/2005
4093;05/06/2005
471;17/11/2005
4770;03/01/2006
149;18/01/2006
747;24/01/2006
3143;27/01/2006
3231;25/10/2005
2563;21/09/2007
824;01/02/2007
1828;11/05/2006
3993;25/11/2003
3459;09/08/2003
2996;27/08/2002
1311;07/12/2003
606;22/09/2003
4099;25/06/2003
3287;09/04/2003
2813;18/02/2003
4569;30/10/2004
146;25/07/2004
3636;04/10/2003
4109;09/01/2003
1383;24/12/2003
1968;29/11/2004
3584;25/02/2010
3579;08/03/2010
1423;08/02/2010
1768;23/05/2010
2842;13/11/2010
4036;26/11/2010
3653;16/10/2010
3552;04/08/2012
140;30/01/2011
2809;19/01/2011
1104;18/08/2012
1220;03/08/2012
4826;21/04/2012
4951;15/02/2012
5144;08/07/2007
25;25/11/2007
3270;24/11/2007
2552;04/12/2007
1103;20/03/2007
4095;27/11/2008
3889;21/12/2008
3114;03/03/2008
4069;07/01/2008
3360;03/06/2009
2852;18/02/2009
2985;04/02/2008
969;07/06/2008
1423;15/06/2008
1403;25/10/2010
1215;26/05/2010
3263;13/07/2009
1094;19/03/2009
473;05/05/2016
1268;13/12/2015
660;03/07/2015
2984;20/08/2015
150;25/05/2015
3258;15/02/2015
3239;22/09/2016
22;02/05/2016
979;26/12/2016
2565;30/04/2017
1659;15/10/2017
5137;02/07/2016
4084;26/08/2017
4101;04/08/2017
4070;28/12/2000
2837;27/10/2017
2812;21/06/2017
1970;07/02/2017
471;20/04/2013
5031;10/06/2013
3455;14/09/2013
4020;16/01/2013
3669;29/03/2012
1298;03/05/2012
