IDT;DIAMETRE;DDP;MATERIAU;MATAGE
0;150;01/01/2008;FONTEDUCTILE;FONTEDUCTILE20002010
1;150;01/01/2008;FONTEDUCTILE;FONTEDUCTILE20002010
2;150;01/01/2008;FONTEDUCTILE;FONTEDUCTILE20002010
3;150;01/01/2008;FONTEDUCTILE;FONTEDUCTILE20002010
4;150;01/01/2008;FONTEDUCTILE;FONTEDUCTILE20002010
5;150;01/01/2008;FONTEDUCTILE;FONTEDUCTILE20002010
6;150;01/01/2008;FONTEDUCTILE;FONTEDUCTILE20002010
7;150;01/01/2008;FONTEDUCTILE;FONTEDUCTILE20002010
8;150;01/01/2008;FONTEDUCTILE;FONTEDUCTILE20002010
9;150;01/01/2008;FONTEDUCTILE;FONTEDUCTILE20002010
10;150;01/01/2008;FONTEDUCTILE;FONTEDUCTILE20002010
11;150;01/01/2008;FONTEDUCTILE;FONTEDUCTILE20002010
12;150;01/01/2008;FONTEDUCTILE;FONTEDUCTILE20002010
13;150;01/01/2008;FONTEDUCTILE;FONTEDUCTILE20002010
14;150;01/01/2008;FONTEDUCTILE;FONTEDUCTILE20002010
15;150;01/01/2008;FONTEDUCTILE;FONTEDUCTILE20002010
16;150;01/01/2008;FONTEDUCTILE;FONTEDUCTILE20002010
17;150;01/01/2008;FONTEDUCTILE;FONTEDUCTILE20002010
18;60;01/01/1960;FONTEGRISE;FONTEGRISE19401970
19;60;01/01/1960;FONTEGRISE;FONTEGRISE19401970
20;60;01/01/1960;FONTEGRISE;FONTEGRISE19401970
21;60;01/01/1960;FONTEGRISE;FONTEGRISE19401970
22;60;01/01/1960;FONTEGRISE;FONTEGRISE19401970
23;60;01/01/1960;FONTEGRISE;FONTEGRISE19401970
24;60;01/01/1960;FONTEGRISE;FONTEGRISE19401970
25;60;01/01/1960;FONTEGRISE;FONTEGRISE19401970
26;60;01/01/1960;FONTEGRISE;FONTEGRISE19401970
27;60;01/01/1960;FONTEGRISE;FONTEGRISE19401970
28;60;01/01/1960;FONTEGRISE;FONTEGRISE19401970
29;80;01/01/1960;FONTEGRISE;FONTEGRISE19401970
30;80;01/01/1960;FONTEGRISE;FONTEGRISE19401970
31;80;01/01/1960;FONTEGRISE;FONTEGRISE19401970
32;80;01/01/1960;FONTEGRISE;FONTEGRISE19401970
33;125;01/01/1992;FONTEDUCTILE;FONTEDUCTILE19902000
34;80;01/01/1960;FONTEGRISE;FONTEGRISE19401970
35;80;01/01/1960;FONTEGRISE;FONTEGRISE19401970
36;125;01/01/1991;FONTEDUCTILE;FONTEDUCTILE19902000
37;110;01/01/2012;PVC;PVC19902020
38;110;01/01/2012;PVC;PVC19902020
39;110;01/01/2012;PVC;PVC19902020
40;125;01/01/1991;FONTEDUCTILE;FONTEDUCTILE19902000
41;125;01/01/1991;FONTEDUCTILE;FONTEDUCTILE19902000
42;100;01/01/1960;FONTEGRISE;FONTEGRISE19401970
43;100;01/01/1960;FONTEGRISE;FONTEGRISE19401970
44;100;01/01/1960;FONTEGRISE;FONTEGRISE19401970
45;100;01/01/1960;FONTEGRISE;FONTEGRISE19401970
46;100;01/01/1960;FONTEGRISE;FONTEGRISE19401970
47;125;01/01/1991;FONTEDUCTILE;FONTEDUCTILE19902000
48;125;01/01/1991;FONTEDUCTILE;FONTEDUCTILE19902000
49;125;01/01/1991;FONTEDUCTILE;FONTEDUCTILE19902000
50;80;01/01/1960;FONTEGRISE;FONTEGRISE19401970
51;80;01/01/1960;FONTEGRISE;FONTEGRISE19401970
52;80;01/01/1960;FONTEGRISE;FONTEGRISE19401970
53;80;01/01/1960;FONTEGRISE;FONTEGRISE19401970
54;80;01/01/1960;FONTEGRISE;FONTEGRISE19401970
55;80;01/01/1960;FONTEGRISE;FONTEGRISE19401970
56;80;01/01/1960;FONTEGRISE;FONTEGRISE19401970
57;60;01/01/1980;FONTEDUCTILE;FONTEDUCTILE19801990
58;60;01/01/1980;FONTEDUCTILE;FONTEDUCTILE19801990
59;60;01/01/1980;FONTEDUCTILE;FONTEDUCTILE19801990
