IDTC;DDCC
20159;24/09/1981
28594;29/08/1983
28601;23/12/1982
28596;23/03/1993
4903;10/02/1987
21307;20/08/1990
29138;01/09/1986
11278;19/11/1990
4070;02/12/1993
4295;15/12/1993
121409;02/11/1970
10217;14/01/1981
10217;20/10/1993
147090;15/02/1973
147090;15/02/1973
20004;27/11/1985
20873;13/06/2000
19593;17/06/1994
3695;22/02/1989
9436;27/01/1987
121854;26/11/1981
105849;27/09/2001
50561;13/05/1997
130715;28/09/2001
10777;19/09/2001
22709;19/04/1983
38485;04/01/1995
11921;22/06/2005
108668;06/06/1989
110959;05/03/1995
14215;29/12/1981
22488;17/03/1982
21131;24/11/1986
21129;08/01/1990
7846;31/07/1991
8224;21/03/1977
17118;18/03/1986
13779;04/01/1974
4886;20/08/1979
4587;03/01/1992
3042;07/11/1993
2511;03/01/1986
133512;20/03/1997
43273;11/08/1977
28710;27/01/1987
139465;18/08/1986
20029;02/02/1978
20029;12/12/1980
13701;16/10/1997
95265;16/02/1997
92154;16/04/1997
28711;15/09/1970
27991;02/12/1976
27809;29/11/1977
18981;06/12/1983
27698;12/12/1991
5361;07/04/1981
5204;16/08/1994
20026;03/12/1982
10457;24/12/1981
15692;18/03/1974
21076;02/01/1975
28718;01/12/1977
26365;13/10/1989
27658;01/10/1992
26529;10/01/1977
26528;04/01/1985
6120;04/12/1993
3683;16/04/1992
137576;20/03/1973
49761;13/04/1997
4173;15/01/1997
94334;21/07/1999
26352;09/07/1999
106940;06/01/1985
144287;25/05/1994
9817;21/11/1988
14277;03/06/1994
14277;03/06/1994
130104;11/01/1991
125103;06/02/1980
7037;16/11/1991
135390;22/07/1994
21020;29/09/1988
113565;09/11/1991
102272;27/12/1984
124249;02/10/1987
124237;18/07/1979
32687;02/02/1998
141118;31/01/1998
9584;27/09/2002
18721;21/02/1989
52520;12/12/1997
126393;07/12/1997
11012;28/01/1998
74765;16/01/1998
54881;25/01/1998
74416;22/11/1998
146577;17/06/1998
66393;25/11/1998
23416;15/02/1998
42515;16/02/1998
66626;07/02/1998
134932;28/05/1998
27011;20/06/1998
6282;26/05/1998
77372;26/08/1998
129821;20/08/1998
5902;15/08/1998
28787;19/05/1998
126156;12/10/2001
83124;31/10/1991
20125;15/02/1998
43340;13/05/1998
79464;13/04/1998
4023;26/03/1998
60265;09/01/1997
102428;04/10/2001
55701;09/10/2001
131192;24/09/2001
108481;28/10/1997
58219;27/11/1994
110327;15/09/1993
91791;04/09/1995
91793;24/05/1989
3611;15/01/1993
108905;17/09/1997
27013;06/01/1997
92154;16/04/1997
111437;19/03/1997
145515;08/11/1990
35;12/11/1987
7075;19/03/1983
15696;14/06/1993
17819;21/11/1992
9818;17/06/1982
141590;28/07/1997
3102;04/10/1988
136535;01/04/1985
139945;04/12/2004
68262;25/02/1998
7030;08/08/2001
104973;22/10/1997
82123;01/08/2002
10770;12/10/1976
5262;13/10/1998
133521;16/12/1997
25933;20/03/1998
53986;18/09/2002
78892;12/10/1983
78892;16/01/1985
83869;17/11/1998
99321;09/02/1998
77288;24/05/2002
23800;03/02/1998
116955;24/01/1998
62479;03/01/1997
116691;04/10/1989
1692;30/09/2000
24097;19/01/1987
40712;17/02/1976
1943;20/09/2001
108662;07/08/1987
137783;31/12/1996
108670;23/01/1992
23481;20/12/1989
110477;17/12/1980
24082;12/12/1991
141865;20/11/1992
141869;20/11/1992
142006;28/01/1998
78177;15/01/1999
75723;14/01/1999
105395;06/10/1997
84668;12/12/1995
51548;28/01/1999
49891;30/01/1999
14492;04/11/1998
112216;18/01/1993
44584;08/04/1981
48813;14/02/1999
5018;10/04/2001
17141;02/05/2003
53964;13/08/1976
133520;22/01/1987
133514;25/01/1990
48576;05/11/1995
116822;08/11/1972
133514;27/12/1991
54267;18/11/1997
98997;12/11/1978
111528;27/07/1995
48576;05/11/1995
112250;04/10/1982
31962;07/12/1983
7952;12/01/1984
33544;24/06/1981
129939;29/12/1987
18706;15/03/1990
21916;19/03/1984
3175;11/02/2002
118086;06/05/1988
20907;14/01/1985
20907;25/03/1985
21916;19/03/1984
118699;21/07/1995
75188;28/11/1994
2174;16/05/1989
70277;29/03/1993
132359;26/12/1979
70174;20/10/1993
116577;15/10/1972
72596;02/11/1973
74570;07/10/1998
1774;20/11/1998
61093;11/12/1998
78687;22/09/1979
3417;28/11/1990
75774;15/12/1990
75599;06/10/1998
59003;22/12/1998
41826;26/12/1998
112219;18/10/2002
40829;25/04/1997
55477;06/12/1998
54363;04/12/1998
69994;02/12/1998
64186;13/08/1971
14533;27/04/1972
112501;03/02/1981
53409;17/01/2005
119186;15/05/2001
37658;27/07/1972
2973;07/08/1986
146506;12/12/1980
1923;15/10/1982
34612;24/12/1987
52480;01/10/1971
3361;02/04/1981
3760;03/08/1983
35334;09/01/2002
14321;04/08/1992
17117;25/06/1975
17117;25/10/1976
135838;09/10/1981
135838;13/12/1991
22120;14/10/1987
22120;27/10/1987
140912;18/02/1975
147319;16/05/1975
77297;10/09/1990
105053;20/02/1993
78899;20/01/1994
78892;11/10/1989
78933;27/12/1988
139746;10/10/1988
77297;20/01/1987
4759;02/01/1985
20806;12/12/1975
77661;17/12/1987
77295;16/12/1984
19586;01/04/1980
19585;23/02/1979
6037;27/06/1994
94697;02/12/1980
94700;13/09/1976
3453;21/12/2001
93937;17/12/2001
68846;22/12/2001
78455;22/12/2001
26933;15/11/2001
92499;18/12/2001
127561;17/12/2001
54883;25/12/2001
123394;20/12/2001
4587;23/12/2001
95517;21/12/2001
82692;12/12/2001
50850;19/12/2001
53886;19/12/2001
59009;19/12/2001
82266;20/12/2001
56420;20/12/2001
122193;20/12/2001
31262;20/12/2001
44956;19/12/2001
96828;24/10/2001
14344;15/11/1980
143558;12/11/2001
57773;19/12/2001
120183;19/02/2003
102255;02/11/1987
138631;05/12/1978
142046;12/07/1991
51581;24/01/2000
60162;28/01/2000
53826;28/01/2000
138626;14/10/1975
30973;11/12/2001
19057;29/12/1995
119080;30/05/2002
120912;25/05/2002
76602;15/01/2000
60232;18/01/2000
111028;21/01/2000
139800;14/03/1979
98179;30/11/1987
97240;21/11/1990
39172;22/01/1994
54201;21/01/1994
44040;17/02/1994
97239;18/11/1993
94909;19/02/1994
139801;27/09/1989
97226;12/02/1991
133515;25/08/1978
53599;23/07/1992
116197;06/02/1996
40819;02/01/1996
32496;25/05/1994
43399;19/01/1994
110010;23/11/1993
44870;22/11/1993
46448;31/08/1993
146578;16/09/1997
51039;05/04/1996
41692;21/01/1994
112221;06/03/1996
39172;28/02/1996
130220;15/02/1996
51755;23/01/1992
52849;24/01/1992
74571;29/09/1993
70283;29/03/1993
62495;27/08/1993
70174;20/10/1993
71447;25/10/1993
64443;03/02/1994
26826;19/05/1995
52493;17/05/1995
91728;05/01/1995
98844;03/04/1993
55684;05/07/1994
64443;10/11/1995
105855;27/01/2005
54491;18/06/1997
49439;22/07/1995
57299;31/08/2001
111302;25/07/2001
7990;25/07/2001
20383;16/12/2001
21177;19/06/1996
142926;05/07/2001
36327;10/07/2001
64442;15/09/2001
46823;20/12/1988
46819;21/11/1988
103380;24/02/1996
94930;11/05/1996
93916;25/01/2000
19547;14/08/2000
89486;15/01/2002
74128;20/03/2000
41850;21/07/2000
35639;16/11/1990
60981;12/11/2001
38597;12/11/2001
27113;06/05/2002
81848;04/06/2002
23612;07/12/1994
107861;19/01/2000
35145;19/01/2000
103566;14/09/2001
111299;21/05/2002
125469;23/05/2002
69982;29/09/1996
42203;11/01/1995
536;13/11/2002
42670;28/04/2003
50474;22/01/2000
12430;07/03/2000
124238;27/11/1995
140920;14/02/1996
41471;09/05/1994
99000;07/11/1978
