IDT;DIAMETRE;DDP;MATERIAU;MATAGE
0;90;01/01/2003;PVC;PVC19902020
1;90;01/01/2003;PVC;PVC19902020
2;90;01/01/2003;PVC;PVC19902020
3;90;01/01/2003;PVC;PVC19902020
4;63;01/01/2008;PVC;PVC19902020
5;63;01/01/2008;PVC;PVC19902020
6;63;01/01/2008;PVC;PVC19902020
7;63;01/01/2008;PVC;PVC19902020
8;63;01/01/2008;PVC;PVC19902020
9;63;01/01/2008;PVC;PVC19902020
10;63;01/01/2008;PVC;PVC19902020
11;63;01/01/2008;PVC;PVC19902020
12;63;01/01/2008;PVC;PVC19902020
13;63;01/01/2008;PVC;PVC19902020
14;63;01/01/2008;PVC;PVC19902020
15;63;01/01/2008;PVC;PVC19902020
16;63;01/01/2008;PVC;PVC19902020
17;63;01/01/2008;PVC;PVC19902020
18;63;01/01/2008;PVC;PVC19902020
19;63;01/01/2008;PVC;PVC19902020
20;63;01/01/2008;PVC;PVC19902020
21;63;01/01/2008;PVC;PVC19902020
22;63;01/01/2008;PVC;PVC19902020
23;63;01/01/2008;PVC;PVC19902020
24;63;01/01/2008;PVC;PVC19902020
25;63;01/01/2008;PVC;PVC19902020
26;90;01/01/2003;PVC;PVC19902020
27;90;01/01/2003;PVC;PVC19902020
28;90;01/01/2003;PVC;PVC19902020
29;90;01/01/2003;PVC;PVC19902020
30;90;01/01/2003;PVC;PVC19902020
31;90;01/01/2003;PVC;PVC19902020
32;90;01/01/2003;PVC;PVC19902020
33;90;01/01/2003;PVC;PVC19902020
34;90;01/01/2003;PVC;PVC19902020
35;90;01/01/2003;PVC;PVC19902020
36;90;01/01/2003;PVC;PVC19902020
37;40;01/01/2008;PEHD;PEHD19952020
38;63;01/01/2008;PVC;PVC19902020
39;40;01/01/2008;PEHD;PEHD19952020
40;40;01/01/2008;PEHD;PEHD19952020
41;40;01/01/2008;PEHD;PEHD19952020
42;40;01/01/2008;PEHD;PEHD19952020
43;40;01/01/2008;PEHD;PEHD19952020
44;40;01/01/2008;PEHD;PEHD19952020
45;40;01/01/2008;PEHD;PEHD19952020
46;40;01/01/2008;PEHD;PEHD19952020
47;40;01/01/2008;PEHD;PEHD19952020
48;40;01/01/2008;PEHD;PEHD19952020
49;40;01/01/2008;PEHD;PEHD19952020
50;40;01/01/2008;PEHD;PEHD19952020
51;40;01/01/2008;PEHD;PEHD19952020
52;40;01/01/2008;PEHD;PEHD19952020
53;40;01/01/2008;PEHD;PEHD19952020
54;40;01/01/2008;PEHD;PEHD19952020
55;40;01/01/2008;PEHD;PEHD19952020
56;40;01/01/2008;PEHD;PEHD19952020
57;40;01/01/2008;PEHD;PEHD19952020
58;40;01/01/2008;PEHD;PEHD19952020
59;40;01/01/2008;PEHD;PEHD19952020
60;90;01/01/2003;PVC;PVC19902020
61;90;01/01/2003;PVC;PVC19902020
62;90;01/01/2003;PVC;PVC19902020
63;90;01/01/2003;PVC;PVC19902020
64;90;01/01/2003;PVC;PVC19902020
65;90;01/01/2003;PVC;PVC19902020
66;90;01/01/2003;PVC;PVC19902020
67;90;01/01/2003;PVC;PVC19902020
68;90;01/01/2003;PVC;PVC19902020
69;90;01/01/2003;PVC;PVC19902020
70;110;01/01/2008;PVC;PVC19902020
71;50;01/01/2013;PEHD;PEHD19952020
72;50;01/01/1910;PVC;r
73;90;01/01/1910;PVC;r
74;75;01/01/1910;PVC;r
75;75;01/01/1910;PVC;r
76;75;01/01/1910;PVC;r
77;75;01/01/1910;PVC;r
78;75;01/01/1910;PVC;r
79;75;01/01/1910;PVC;r
80;75;01/01/1910;PVC;r
81;75;01/01/1910;PVC;r
82;90;01/01/1911;PVC;r
83;110;01/01/1910;PVC;r
84;110;01/01/1910;PVC;r
85;0;01/01/1910;PVC;r
86;110;01/01/2008;PVC;PVC19902020
87;50;01/01/1910;PVC;r
88;140;01/01/2004;PVC;PVC19902020
89;140;01/01/2004;PVC;PVC19902020
90;140;01/01/2004;PVC;PVC19902020
91;140;01/01/2004;PVC;PVC19902020
92;140;01/01/2004;PVC;PVC19902020
93;140;01/01/2004;PVC;PVC19902020
