IDTC;DDCC
2134;28/01/2014
312;08/01/2014
312;10/01/2014
2134;13/01/2014
3610;02/04/2014
912;08/04/2014
2487;18/03/2014
1340;25/11/2013
2570;11/09/2013
3008;04/09/2013
3087;09/01/2012
118;08/12/2011
118;05/12/2011
1821;28/03/2012
1821;28/03/2012
1821;02/04/2012
3305;09/07/2012
3028;09/07/2012
3861;25/11/2010
3271;03/06/2011
1969;05/05/2011
891;29/09/2011
891;23/09/2011
4144;19/08/2011
370;13/05/2016
1704;23/05/2016
159;05/08/2014
3181;06/05/2016
1226;15/01/2016
1347;08/12/2015
2818;18/12/2015
140;04/03/2016
1023;26/02/2016
1232;29/02/2016
3177;16/04/2015
2309;07/08/2015
3174;14/08/2015
3007;06/03/2015
1339;10/03/2015
1048;20/01/2015
4754;14/12/2012
1826;15/11/2012
3152;05/12/2012
3993;14/12/2015
4869;31/01/2013
721;17/09/2012
441;25/06/2012
953;13/11/2012
4613;19/03/2015
