IDT;DIAMETRE;DDP;MATERIAU;MATAGE
0;50;01/01/1950;PEHD;r
1;50;01/01/1950;PEHD;r
2;50;01/01/1950;PEHD;r
3;80;01/01/1970;FONTEDUCTILE;FONTEDUCTILE19661980
4;400;01/01/1970;FONTEDUCTILE;FONTEDUCTILE19661980
5;400;01/01/1970;FONTEDUCTILE;FONTEDUCTILE19661980
6;400;01/01/1970;FONTEDUCTILE;FONTEDUCTILE19661980
7;300;01/01/1970;FONTEDUCTILE;FONTEDUCTILE19661980
8;300;01/01/1970;FONTEDUCTILE;FONTEDUCTILE19661980
9;300;01/01/1970;FONTEDUCTILE;FONTEDUCTILE19661980
10;300;01/01/1970;FONTEDUCTILE;FONTEDUCTILE19661980
11;300;01/01/1970;FONTEDUCTILE;FONTEDUCTILE19661980
12;300;01/01/1990;FONTEDUCTILE;FONTEDUCTILE19902000
13;300;01/01/1990;FONTEDUCTILE;FONTEDUCTILE19902000
14;300;01/01/1990;FONTEDUCTILE;FONTEDUCTILE19902000
15;300;01/01/1990;FONTEDUCTILE;FONTEDUCTILE19902000
16;300;01/01/1990;FONTEDUCTILE;FONTEDUCTILE19902000
17;300;01/01/1990;FONTEDUCTILE;FONTEDUCTILE19902000
18;300;01/01/1990;FONTEDUCTILE;FONTEDUCTILE19902000
19;300;01/01/1990;FONTEDUCTILE;FONTEDUCTILE19902000
20;300;01/01/1990;FONTEDUCTILE;FONTEDUCTILE19902000
21;300;01/01/1990;FONTEDUCTILE;FONTEDUCTILE19902000
22;300;01/01/1990;FONTEDUCTILE;FONTEDUCTILE19902000
23;300;01/01/1990;FONTEDUCTILE;FONTEDUCTILE19902000
24;300;01/01/1990;FONTEDUCTILE;FONTEDUCTILE19902000
25;300;01/01/1990;FONTEDUCTILE;FONTEDUCTILE19902000
26;300;01/01/1990;FONTEDUCTILE;FONTEDUCTILE19902000
27;300;01/01/1990;FONTEDUCTILE;FONTEDUCTILE19902000
28;300;01/01/1990;FONTEDUCTILE;FONTEDUCTILE19902000
29;300;01/01/1990;FONTEDUCTILE;FONTEDUCTILE19902000
30;300;01/01/1990;FONTEDUCTILE;FONTEDUCTILE19902000
31;300;01/01/1990;FONTEDUCTILE;FONTEDUCTILE19902000
32;300;01/01/1990;FONTEDUCTILE;FONTEDUCTILE19902000
33;300;01/01/1990;FONTEDUCTILE;FONTEDUCTILE19902000
