IDTC;DDCC
55;22/06/2005
114;31/08/1993
5492;17/07/2002
5492;05/08/2002
5508;06/03/1996
5529;16/04/1996
5544;24/04/2001
5554;12/06/2001
5563;11/06/2002
5585;15/09/2005
5592;06/12/2000
5593;17/12/2008
549;21/12/2007
5643;07/03/2000
5643;30/01/1998
5683;31/10/2002
5726;04/10/2006
5733;28/01/1997
5790;21/10/1997
5831;27/05/1994
5851;03/05/2001
571;10/07/1996
572;24/02/2003
5875;04/07/2008
5888;01/12/2003
5888;22/04/2008
5889;07/05/2002
119;16/10/2006
5957;24/09/2008
5981;25/08/2005
586;07/04/2005
6060;22/11/2000
6091;11/02/2006
6092;16/01/1995
6129;19/05/1999
6129;18/08/2005
6149;29/10/2001
6150;30/07/1991
6151;28/08/2008
6176;03/02/2003
6187;26/05/2008
6219;26/06/2008
6253;01/02/1991
689;04/05/2005
6471;12/10/1995
6476;03/05/1995
6507;29/08/2005
708;14/05/1993
6543;03/09/2005
6561;31/07/2006
6572;10/10/2002
713;21/01/1998
6598;04/12/2008
717;22/09/2003
752;20/11/2001
6826;21/05/2003
6833;04/12/2008
6835;29/03/1999
6837;25/04/2007
6843;14/04/2003
6852;19/08/1998
6860;08/03/2004
6873;14/06/2002
6874;10/12/2002
6875;01/04/2004
6876;03/02/2004
6877;17/01/2003
6878;16/04/2002
143;07/12/2004
152;22/11/1993
6903;07/09/2007
6961;24/07/2006
7055;15/09/1999
7098;28/06/2004
7118;28/01/2000
7120;17/09/2008
7122;17/09/2008
7123;31/01/2000
7125;01/09/2000
7154;20/01/1997
831;22/03/2002
7167;09/06/1995
7283;29/04/2001
7285;18/09/2002
7287;20/04/2005
7289;06/06/1992
7312;10/01/1997
7343;19/01/2004
7357;23/09/1996
7359;04/07/2002
7365;20/07/1999
7426;20/04/2001
7526;12/06/1998
7529;02/08/2007
7601;04/07/2008
7777;02/02/1992
7819;31/03/2005
7821;29/03/2005
7891;22/01/2005
7891;17/01/2005
7892;20/08/2001
7897;19/02/1999
8013;26/07/1996
8039;22/07/2008
8066;23/06/2008
8091;26/07/2005
8145;09/12/1997
8396;15/09/2004
1063;12/01/2001
57;05/07/2000
183;17/12/1991
8850;07/02/1996
8930;14/04/1991
9031;15/06/2007
9125;15/05/2003
9221;20/12/2001
9228;28/11/2006
9248;11/03/2005
9267;28/02/2007
9286;28/02/2002
9309;28/10/1991
1165;27/11/2000
9679;14/02/2002
9686;05/12/2007
9732;31/07/2000
9751;06/02/1998
9892;02/02/2004
9954;11/12/2001
9962;21/08/1994
9978;01/09/2006
9991;08/08/1997
9993;28/09/2006
9999;20/05/2003
10061;03/01/2008
10223;22/11/2007
10272;04/04/2002
10286;09/01/2002
10355;26/01/2007
10356;02/02/2005
10359;11/04/2005
10369;12/02/2001
10390;28/11/2005
10550;24/10/2000
10553;08/02/1999
10725;07/12/1993
10791;22/12/2008
11605;04/11/2008
11649;15/12/2003
11722;12/11/2008
11838;11/03/2003
11873;04/08/2008
11874;13/06/2000
11875;26/09/1995
11913;17/06/2003
11967;11/05/1999
11970;16/12/1996
12039;08/08/2005
12077;17/12/2004
12122;30/07/1997
1365;21/07/1999
12346;03/11/1998
12348;14/12/2004
12373;20/02/1996
12376;16/12/2008
12386;20/02/1995
12390;28/01/2008
12437;13/11/1997
12439;04/10/1993
12464;17/03/1999
12466;14/10/1996
12472;12/06/2006
12486;14/02/2008
12516;11/01/1994
12528;20/05/1996
12585;03/08/2006
12586;05/02/2002
12588;02/12/1999
12641;18/10/1995
12784;21/04/1999
12786;16/12/2004
12798;02/03/2004
1460;31/01/2005
1471;02/12/1998
13049;06/03/1996
13095;14/05/1996
13096;15/12/2000
13105;22/07/1997
13125;30/01/2005
13129;27/03/2002
13258;06/02/2006
13260;24/02/1999
13273;20/08/2002
13282;11/03/1997
13282;08/12/2006
13283;03/01/1997
13343;23/12/1996
13352;27/11/2000
13385;07/01/1997
13418;07/10/2008
13456;07/09/1995
13539;03/06/1997
13566;28/11/2006
13575;30/03/2006
13698;23/01/2001
13745;31/01/2005
13845;26/11/1997
13862;06/06/2006
13870;09/02/2000
13871;04/03/1996
13930;09/06/2004
13937;25/01/2007
13955;24/03/2002
13959;24/12/1996
13984;15/11/2001
13998;19/06/2008
14004;12/08/2008
14066;17/08/2006
14119;07/03/1997
14158;25/05/1993
14173;31/10/2000
14175;24/07/1996
14177;01/08/2005
14182;15/04/2004
14186;09/02/1994
14187;10/05/2004
14189;04/12/1990
14205;31/10/2008
14230;23/01/2004
14273;09/07/1999
1672;06/02/2006
14313;28/12/2006
14316;22/11/2007
14361;12/12/2001
14361;20/11/2003
14369;21/12/2000
14379;25/10/1996
14381;11/12/1997
14386;20/03/1997
14389;23/11/1992
14394;03/07/2002
14396;13/02/1997
14405;28/02/2002
14435;04/01/2007
14438;19/01/2004
14556;11/03/2002
1700;29/08/2008
14640;10/10/1997
14651;02/03/1993
14654;23/06/2000
14662;29/08/2007
14709;10/06/1998
14761;31/07/2001
1728;02/09/1997
14800;23/10/1998
14801;13/02/2008
14884;27/06/2008
14890;11/09/2006
14915;03/01/1997
14918;08/04/2001
14924;20/05/1992
14982;02/09/2008
1777;13/03/2006
15010;08/11/1995
15012;14/02/2002
15048;28/11/2006
15225;05/11/2008
15228;22/05/2001
15229;16/10/1995
15280;17/03/1997
15285;03/05/2005
15290;28/05/2008
15315;17/11/2008
1808;22/07/1999
15342;27/11/2008
15365;08/11/1999
15522;21/11/2001
15526;17/06/2003
15529;14/03/1995
15552;07/12/2007
15558;25/10/2006
15565;27/09/2006
15649;13/03/1995
15652;20/12/2000
15653;16/12/2008
15713;26/01/2006
15725;11/02/2005
15728;09/11/2000
15828;09/05/2006
15829;03/05/2006
1925;18/08/1998
1934;03/04/2006
15861;24/06/2004
1946;15/07/1998
15897;05/02/1996
15898;01/12/2006
16031;22/12/1999
16034;09/12/1999
16037;13/02/1991
1961;09/04/2002
16042;22/04/1996
16044;02/10/2008
16050;06/09/2005
16055;30/01/1997
16099;22/12/2008
1967;21/04/1994
16143;01/08/2000
16153;26/02/1992
16171;23/09/2008
16194;03/09/1997
16233;13/11/2008
16304;05/11/2007
16329;28/02/2007
16330;23/02/2007
16386;01/10/1998
2004;24/11/1998
16439;03/02/1999
16443;29/03/2001
16490;07/06/2006
16543;03/03/2005
16588;09/09/2004
16590;11/04/1997
16598;30/10/1993
16601;13/12/2001
16610;16/05/1994
16647;27/05/2002
16650;05/11/2008
16652;06/02/1998
16654;17/02/1999
16656;24/07/2006
16673;13/12/1996
16713;24/08/2007
16714;25/03/1997
16722;29/09/1992
282;09/09/2003
282;18/02/2004
2048;18/05/1999
16792;05/05/2008
16840;31/12/1996
16887;09/11/1992
17042;02/06/2008
17043;19/05/2008
17124;08/06/2004
17206;11/12/1998
17243;03/10/2005
17244;23/01/1997
17249;25/02/2005
17346;01/01/2004
17466;06/10/2008
17472;04/01/2007
17473;23/01/2007
17513;03/05/1995
17515;12/06/1999
17517;02/02/2005
17529;19/11/1997
17550;30/03/2006
17554;10/04/1996
17556;13/01/2003
17580;02/03/1998
17580;31/07/2008
17600;28/11/1997
17604;09/11/2004
17607;07/08/2000
17615;04/03/2004
17639;17/12/2008
17661;23/06/2004
17679;11/02/1998
17680;18/12/2003
17695;27/11/1997
17699;05/02/2004
17746;22/02/2001
17748;05/01/2004
17750;26/11/2004
17797;15/10/1991
17825;17/03/1995
2284;15/03/2006
17881;14/05/1997
2291;28/01/2003
2296;21/11/2005
2301;09/09/1999
18105;03/03/2006
18141;02/11/2004
18207;17/09/2001
18265;19/02/2003
18286;02/07/2002
18292;06/03/2001
18300;11/12/2008
18300;23/10/2008
18307;23/11/1999
18309;15/10/1999
18511;14/05/2004
18511;30/06/1999
18512;13/01/1997
18513;24/06/1999
18514;12/07/2000
18566;28/01/2002
18599;15/07/1998
18618;19/10/2007
18646;27/11/1998
18660;03/12/2001
18662;31/03/1999
18664;28/05/2004
18673;10/12/2001
18706;18/04/2008
18711;24/12/2005
2407;02/11/2007
18797;27/09/1999
2438;08/06/1993
19102;27/12/2005
19112;07/01/1995
19150;15/11/2001
19152;09/02/1998
19252;20/01/1999
19284;19/09/1995
19292;28/11/2006
19506;15/02/1999
19509;23/11/2006
19563;27/02/1993
19580;21/12/2004
19916;24/07/2006
20092;29/06/2006
20092;14/01/1997
20264;19/11/2004
20265;11/12/1998
20269;07/02/2005
20271;23/06/2004
20381;02/02/1999
2499;24/11/2005
20531;30/07/1992
20533;16/09/2005
20545;25/02/1998
20550;20/12/1998
20552;15/11/2004
20621;13/04/2000
20630;22/12/2005
20631;28/10/2005
20690;14/12/2004
20693;31/10/2000
20702;04/12/2008
20749;28/07/2008
20750;28/07/2008
20771;29/07/2003
20775;05/11/2007
20777;05/06/2007
20781;01/02/1996
20786;21/09/2007
20788;11/09/2007
20791;11/09/2007
20807;01/02/1996
20840;09/02/1996
20841;13/03/1996
20842;01/07/1996
20848;13/09/1995
20859;07/03/1999
20908;21/12/2005
20910;30/01/2007
20912;24/07/1997
2571;07/02/2005
2573;05/01/2006
2575;26/11/2007
21069;17/06/2008
21070;20/10/1992
21104;02/02/2005
21116;04/03/2002
21190;23/12/1999
21217;28/06/2000
21220;14/12/2006
21246;07/02/2006
21247;22/12/1998
21272;30/04/2002
21359;19/12/2006
21361;02/04/2002
21367;28/09/2006
21367;15/11/2006
21368;16/03/2007
21440;30/01/2007
21441;26/07/1996
21555;15/05/1992
21558;22/12/2005
21561;19/07/2000
21577;28/11/2006
21580;05/07/2005
21583;22/01/1996
21586;11/01/1994
21607;14/11/2006
21611;19/10/2006
21622;30/01/2007
21624;09/12/2002
21633;23/12/2007
21634;29/09/1998
21638;04/03/2001
21648;22/08/2005
21689;12/07/2007
21747;30/01/2007
21818;30/11/2005
21852;06/12/2005
21895;27/02/1995
21928;28/06/1994
21931;15/01/2003
21988;04/12/2008
22013;11/04/2007
22014;15/05/2008
22019;06/06/1992
22052;05/01/2004
22074;03/01/1997
22076;12/03/2007
22128;26/11/1999
22159;04/09/2006
22163;06/06/2002
22260;14/06/2001
22290;26/09/2003
22296;14/12/2007
22380;21/09/2000
22462;31/01/2007
22479;18/06/2002
22490;02/12/1998
22495;21/08/2000
22508;03/12/2008
22557;14/05/2007
22568;09/01/2006
22568;18/04/2005
22577;17/07/1998
22579;09/06/1999
22580;11/12/2008
22585;07/03/2002
22586;13/11/2008
22587;04/05/2004
22643;14/11/2007
22666;09/06/1997
22668;20/01/2001
22670;24/11/2008
3036;13/10/2008
3036;28/11/2006
3037;31/10/2005
22870;22/12/2008
22872;12/07/2007
22931;04/06/2002
22937;18/02/1997
22938;15/11/2004
3048;31/12/2007
3050;10/05/2007
23011;10/02/1998
23013;07/01/1995
23017;23/06/1998
23057;22/02/1993
23059;03/12/1999
23068;11/02/1991
23070;30/09/1993
23091;21/12/2005
23091;23/01/2002
23092;31/07/2006
23231;30/01/2005
23277;16/07/1996
23298;22/03/2002
23300;29/05/2000
23333;09/07/1997
23369;05/10/2006
23371;12/05/2000
23373;27/04/2007
23375;27/05/1994
23433;30/03/2004
23449;06/10/2006
3104;19/06/2000
23529;25/11/1998
23583;19/03/2002
23591;05/03/2002
23642;01/03/2004
23822;16/02/2006
23843;23/08/2007
23845;08/11/2004
23928;31/08/2007
24032;09/03/2002
24036;06/12/2003
24074;27/07/2003
24085;04/12/2008
24144;03/07/2002
3203;14/01/2003
