IDT;DIAMETRE;DDP;MATERIAU;MATAGE
0;100;01/01/1950;FONTEGRISE;FONTEGRISE19401970
1;100;01/01/1950;FONTEGRISE;FONTEGRISE19401970
2;100;01/01/1950;FONTEGRISE;FONTEGRISE19401970
3;100;01/01/1950;FONTEGRISE;FONTEGRISE19401970
4;100;01/01/1950;FONTEGRISE;FONTEGRISE19401970
5;100;01/01/1950;FONTEGRISE;FONTEGRISE19401970
6;100;01/01/1950;FONTEGRISE;FONTEGRISE19401970
7;100;01/01/1950;FONTEGRISE;FONTEGRISE19401970
8;100;01/01/1950;FONTEGRISE;FONTEGRISE19401970
9;100;01/01/1950;FONTEGRISE;FONTEGRISE19401970
10;100;01/01/1950;FONTEGRISE;FONTEGRISE19401970
11;100;01/01/1950;FONTEGRISE;FONTEGRISE19401970
12;100;01/01/1950;FONTEGRISE;FONTEGRISE19401970
13;100;01/01/1950;FONTEGRISE;FONTEGRISE19401970
14;100;01/01/1950;FONTEGRISE;FONTEGRISE19401970
15;100;01/01/1950;FONTEGRISE;FONTEGRISE19401970
16;100;01/01/1950;FONTEGRISE;FONTEGRISE19401970
17;100;01/01/1950;FONTEGRISE;FONTEGRISE19401970
18;100;01/01/1950;FONTEGRISE;FONTEGRISE19401970
19;150;01/01/1970;FONTEDUCTILE;FONTEDUCTILE19661980
20;150;01/01/1970;FONTEDUCTILE;FONTEDUCTILE19661980
21;150;01/01/1970;FONTEDUCTILE;FONTEDUCTILE19661980
22;150;01/01/1970;FONTEDUCTILE;FONTEDUCTILE19661980
23;150;01/01/1970;FONTEDUCTILE;FONTEDUCTILE19661980
24;150;01/01/1970;FONTEDUCTILE;FONTEDUCTILE19661980
25;150;01/01/1970;FONTEDUCTILE;FONTEDUCTILE19661980
26;150;01/01/1970;FONTEDUCTILE;FONTEDUCTILE19661980
27;150;01/01/1970;FONTEDUCTILE;FONTEDUCTILE19661980
28;150;01/01/1970;FONTEDUCTILE;FONTEDUCTILE19661980
29;150;01/01/1970;FONTEDUCTILE;FONTEDUCTILE19661980
30;150;01/01/1970;FONTEDUCTILE;FONTEDUCTILE19661980
31;150;01/01/1970;FONTEDUCTILE;FONTEDUCTILE19661980
32;150;01/01/1970;FONTEDUCTILE;FONTEDUCTILE19661980
33;150;01/01/1970;FONTEDUCTILE;FONTEDUCTILE19661980
34;150;01/01/1970;FONTEDUCTILE;FONTEDUCTILE19661980
35;150;01/01/1970;FONTEDUCTILE;FONTEDUCTILE19661980
36;150;01/01/1970;FONTEDUCTILE;FONTEDUCTILE19661980
37;150;01/01/1970;FONTEDUCTILE;FONTEDUCTILE19661980
38;150;01/01/1970;FONTEDUCTILE;FONTEDUCTILE19661980
39;150;01/01/1970;FONTEDUCTILE;FONTEDUCTILE19661980
40;150;01/01/1970;FONTEDUCTILE;FONTEDUCTILE19661980
41;150;01/01/1970;FONTEDUCTILE;FONTEDUCTILE19661980
42;150;01/01/1970;FONTEDUCTILE;FONTEDUCTILE19661980
43;150;01/01/1970;FONTEDUCTILE;FONTEDUCTILE19661980
44;150;01/01/1970;FONTEDUCTILE;FONTEDUCTILE19661980
45;150;01/01/1970;FONTEDUCTILE;FONTEDUCTILE19661980
46;150;01/01/1970;FONTEDUCTILE;FONTEDUCTILE19661980
47;150;01/01/1970;FONTEDUCTILE;FONTEDUCTILE19661980
48;150;01/01/1970;FONTEDUCTILE;FONTEDUCTILE19661980
