IDTC;DDCC
7920;27/02/2012
215;20/08/2014
18731;12/11/2014
13547;08/02/2012
18747;02/05/2012
3979;19/05/2014
22843;27/03/2008
33518;24/11/2014
7829;25/10/2011
7830;18/02/2013
20766;06/07/2012
20745;14/02/2012
29553;12/08/2014
27230;07/11/2011
31672;07/01/2010
31189;12/05/2010
2576;12/12/2013
12851;04/01/2008
24260;10/05/2012
28770;09/02/2012
1677;28/07/2009
24749;30/01/2007
24745;08/01/2011
6010;02/07/2012
19865;12/07/2011
23547;05/04/2008
24453;27/10/2009
24424;05/10/2008
13560;22/12/2010
18759;28/05/2014
19491;23/08/2007
1180;24/09/2009
18814;06/05/2008
18816;03/10/2013
32943;02/08/2009
25697;12/06/2013
13329;27/02/2014
12088;21/12/2012
10089;02/02/2007
17561;21/07/2010
20782;04/02/2011
31216;02/02/2012
20466;12/05/2010
34872;17/07/2009
37640;10/10/2010
31470;26/07/2013
13712;25/09/2013
22814;13/12/2010
36112;21/12/2010
8721;27/02/2012
34867;24/02/2014
13333;04/06/2008
17099;19/01/2009
34876;03/03/2014
37023;08/09/2015
5580;14/01/2016
2745;12/01/2016
777;29/10/2010
27150;10/10/2014
20447;08/09/2014
10484;06/03/2008
2546;28/11/2014
5402;15/04/2014
13325;15/09/2009
29554;16/04/2013
10296;26/01/2009
12209;22/03/2011
18216;01/10/2010
19220;05/01/2011
19502;06/04/2011
2445;20/12/2011
30779;27/03/2012
19684;17/01/2011
17360;20/01/2009
15072;26/02/2014
4476;12/02/2007
16442;01/07/2010
32922;20/12/2010
19506;20/01/2012
2596;19/10/2012
13576;26/01/2012
18688;17/07/2008
20267;23/02/2010
19897;11/02/2010
15855;22/02/2012
12732;13/07/2010
11668;15/03/2010
19118;11/08/2009
33460;20/03/2007
27893;19/12/2013
6788;23/09/2009
32729;27/02/2012
16884;08/01/2009
20841;20/11/2013
38445;17/10/2013
1793;11/03/2010
7489;23/06/2014
1587;05/10/2009
20790;08/03/2012
15039;17/09/2013
2396;13/01/2014
18922;01/08/2014
30999;12/02/2008
32682;18/04/2014
10930;01/12/2011
17536;02/03/2010
