IDTC;DDCC
35440;01/01/2006
31165;01/01/2005
23623;01/01/2007
25508;01/01/2009
34644;01/01/2007
37197;01/01/2007
25508;01/01/2007
34359;01/01/2009
34369;01/01/2009
35940;01/01/2007
35302;01/01/2007
25079;01/01/2005
24957;01/01/2009
23482;01/01/2009
17028;01/01/2005
17027;01/01/2005
8669;01/01/2009
28267;01/01/2009
29232;01/01/2009
29230;01/01/2006
40983;01/01/2005
25129;01/01/2007
21441;01/01/2009
21820;01/01/2009
21841;01/01/2009
29549;01/01/2005
38407;01/01/2009
27835;01/01/2005
29246;01/01/2005
3603;01/01/2009
3090;01/01/2009
22812;01/01/2009
21838;01/01/2009
21581;01/01/2005
19658;01/01/2005
26988;01/01/2009
29302;01/01/2009
15158;01/01/2009
29295;01/01/2009
36205;01/01/2009
221;01/01/2005
21675;01/01/2005
9386;01/01/2009
9774;01/01/2009
9536;01/01/2007
48085;01/01/2009
26046;01/01/2009
29337;01/01/2006
40498;01/01/2006
42496;01/01/2005
222;01/01/2005
26489;01/01/2005
26483;25/01/2005
18315;01/01/2009
48694;01/01/2009
12700;01/01/2009
41985;01/01/2009
30729;01/01/2005
15364;01/01/2009
15362;01/01/2009
13463;01/01/2009
45773;01/01/2009
48068;01/01/2009
24406;01/01/2009
12701;01/01/2009
12869;01/01/2009
45770;01/01/2009
10303;01/01/2005
24408;01/01/2009
37890;01/01/2009
17029;01/01/2009
7291;01/01/2009
21067;01/01/2009
45619;01/01/2007
44297;01/01/2009
7026;01/01/2009
5125;01/01/2009
1677;01/01/2009
17329;01/01/2009
15289;01/01/2009
24245;01/01/2007
24249;01/01/2007
40834;01/01/2007
16676;01/01/2009
511;01/01/2007
2816;01/01/2005
45944;01/01/2005
29783;01/01/2005
23723;01/01/2009
23729;01/01/2009
36988;01/01/2005
5555;01/01/2009
5686;01/01/2005
36622;01/01/2005
45562;01/01/2009
46315;01/01/2009
28790;01/01/2007
13293;01/01/2007
44469;01/01/2007
18013;01/01/2009
44946;01/01/2006
36039;01/01/2009
32937;01/01/2009
35315;01/01/2009
34542;01/01/2009
40375;01/01/2009
46575;01/01/2009
17973;01/01/2005
47245;01/01/2005
47035;01/01/2009
11183;01/01/2009
39603;01/01/2007
23724;01/01/2005
36043;01/01/2009
36041;01/01/2009
35916;01/01/2006
32093;01/01/2005
32860;01/01/2009
