IDT;DIAMETRE;DDP;MATERIAU;MATAGE
0;125;01/01/2000;PVC;PVC19902020
1;125;01/01/2000;PVC;PVC19902020
2;125;01/01/2000;PVC;PVC19902020
3;125;01/01/2000;PVC;PVC19902020
4;125;01/01/2000;PVC;PVC19902020
5;125;01/01/2000;PVC;PVC19902020
6;125;01/01/2000;PVC;PVC19902020
7;125;01/01/2000;PVC;PVC19902020
8;100;01/01/1985;ACIER;ACIER19802020
9;90;01/01/1981;PVC;PVC19701990
10;160;01/01/1976;PVC;PVC19701990
11;160;01/01/1983;PVC;PVC19701990
12;300;01/01/1977;FONTEDUCTILE;FONTEDUCTILE19661980
13;300;01/01/1977;FONTEDUCTILE;FONTEDUCTILE19661980
14;300;01/01/1977;FONTEDUCTILE;FONTEDUCTILE19661980
15;300;01/01/1977;FONTEDUCTILE;FONTEDUCTILE19661980
16;300;01/01/1977;FONTEDUCTILE;FONTEDUCTILE19661980
17;300;01/01/1977;FONTEDUCTILE;FONTEDUCTILE19661980
18;300;01/01/1977;FONTEDUCTILE;FONTEDUCTILE19661980
19;300;01/01/1977;FONTEDUCTILE;FONTEDUCTILE19661980
20;300;01/01/1977;FONTEDUCTILE;FONTEDUCTILE19661980
21;300;01/01/1977;FONTEDUCTILE;FONTEDUCTILE19661980
22;300;01/01/1977;FONTEDUCTILE;FONTEDUCTILE19661980
23;300;01/01/1977;FONTEDUCTILE;FONTEDUCTILE19661980
24;300;01/01/1977;FONTEDUCTILE;FONTEDUCTILE19661980
25;300;01/01/1977;FONTEDUCTILE;FONTEDUCTILE19661980
26;160;01/01/1976;PVC;PVC19701990
27;125;01/01/2006;ACIER;ACIER19802020
28;160;01/01/2009;PVC;PVC19902020
29;1111;01/01/1976;INCONNU;r
30;1111;01/01/1996;INCONNU;r
31;140;01/01/1997;PVC;PVC19902020
32;140;01/01/1997;PVC;PVC19902020
33;140;01/01/1997;PVC;PVC19902020
34;140;01/01/1997;PVC;PVC19902020
35;140;01/01/1997;PVC;PVC19902020
36;125;01/01/1962;FONTEGRISE;FONTEGRISE19401970
37;125;01/01/1962;FONTEGRISE;FONTEGRISE19401970
38;125;01/01/1962;FONTEGRISE;FONTEGRISE19401970
39;125;01/01/1962;FONTEGRISE;FONTEGRISE19401970
40;125;01/01/1962;FONTEGRISE;FONTEGRISE19401970
41;125;01/01/1962;FONTEGRISE;FONTEGRISE19401970
42;125;01/01/1962;FONTEGRISE;FONTEGRISE19401970
43;125;01/01/1962;FONTEGRISE;FONTEGRISE19401970
44;125;01/01/1962;FONTEGRISE;FONTEGRISE19401970
45;110;01/01/1983;PVC;PVC19701990
46;110;01/01/1983;PVC;PVC19701990
47;110;01/01/1983;PVC;PVC19701990
48;110;01/01/1983;PVC;PVC19701990
49;110;01/01/1983;PVC;PVC19701990
50;63;01/01/1983;PVC;PVC19701990
51;63;01/01/1983;PVC;PVC19701990
52;63;01/01/1983;PVC;PVC19701990
53;63;01/01/1983;PVC;PVC19701990
54;63;01/01/1983;PVC;PVC19701990
55;63;01/01/1983;PVC;PVC19701990
56;63;01/01/1983;PVC;PVC19701990
57;63;01/01/1983;PVC;PVC19701990
58;63;01/01/1983;PVC;PVC19701990
59;63;01/01/1983;PVC;PVC19701990
60;63;01/01/1983;PVC;PVC19701990
61;63;01/01/1983;PVC;PVC19701990
62;63;01/01/1983;PVC;PVC19701990
63;63;01/01/1983;PVC;PVC19701990
64;125;01/01/1962;FONTEGRISE;FONTEGRISE19401970
65;100;01/01/1962;FONTEGRISE;FONTEGRISE19401970
66;100;01/01/1962;FONTEGRISE;FONTEGRISE19401970
67;100;01/01/1962;FONTEGRISE;FONTEGRISE19401970
68;100;01/01/1962;FONTEGRISE;FONTEGRISE19401970
69;100;01/01/1962;FONTEGRISE;FONTEGRISE19401970
70;100;01/01/1962;FONTEGRISE;FONTEGRISE19401970
71;100;01/01/1962;FONTEGRISE;FONTEGRISE19401970
72;100;01/01/1962;FONTEGRISE;FONTEGRISE19401970
73;100;01/01/1962;FONTEGRISE;FONTEGRISE19401970
74;100;01/01/1962;FONTEGRISE;FONTEGRISE19401970
75;60;01/01/1962;FONTEGRISE;FONTEGRISE19401970
76;60;01/01/1962;FONTEGRISE;FONTEGRISE19401970
77;60;01/01/1962;FONTEGRISE;FONTEGRISE19401970
78;63;01/01/1975;PVC;PVC19701990
79;63;01/01/1975;PVC;PVC19701990
80;63;01/01/1975;PVC;PVC19701990
81;63;01/01/1975;PVC;PVC19701990
82;63;01/01/1975;PVC;PVC19701990
83;63;01/01/1975;PVC;PVC19701990
84;63;01/01/1975;PVC;PVC19701990
85;63;01/01/1975;PVC;PVC19701990
86;63;01/01/1975;PVC;PVC19701990
87;63;01/01/1975;PVC;PVC19701990
88;100;01/01/1962;FONTEGRISE;FONTEGRISE19401970
89;100;01/01/1962;FONTEGRISE;FONTEGRISE19401970
90;100;01/01/1962;FONTEGRISE;FONTEGRISE19401970
91;100;01/01/1962;FONTEGRISE;FONTEGRISE19401970
92;32;01/01/1962;PVC;PVC19481970
93;32;01/01/1962;PVC;PVC19481970
94;32;01/01/1962;PVC;PVC19481970
95;32;01/01/1962;PVC;PVC19481970
96;100;01/01/1962;FONTEGRISE;FONTEGRISE19401970
97;100;01/01/1962;FONTEGRISE;FONTEGRISE19401970
98;125;01/01/1962;FONTEGRISE;FONTEGRISE19401970
99;125;01/01/1962;FONTEGRISE;FONTEGRISE19401970
100;125;01/01/1962;FONTEGRISE;FONTEGRISE19401970
101;125;01/01/1962;FONTEGRISE;FONTEGRISE19401970
102;125;01/01/1962;FONTEGRISE;FONTEGRISE19401970
103;125;01/01/1962;FONTEGRISE;FONTEGRISE19401970
104;110;01/01/2004;PVC;PVC19902020
105;110;01/01/2004;PVC;PVC19902020
106;110;01/01/2004;PVC;PVC19902020
107;110;01/01/2004;PVC;PVC19902020
108;110;01/01/2004;PVC;PVC19902020
109;110;01/01/2004;PVC;PVC19902020
110;110;01/01/2004;PVC;PVC19902020
111;110;01/01/2004;PVC;PVC19902020
112;110;01/01/2004;PVC;PVC19902020
113;110;01/01/2004;PVC;PVC19902020
114;110;01/01/2004;PVC;PVC19902020
115;110;01/01/2004;PVC;PVC19902020
116;110;01/01/2004;PVC;PVC19902020
117;110;01/01/2004;PVC;PVC19902020
118;110;01/01/2004;PVC;PVC19902020
119;75;01/01/2004;PVC;PVC19902020
120;75;01/01/2004;PVC;PVC19902020
121;75;01/01/2004;PVC;PVC19902020
122;75;01/01/2004;PVC;PVC19902020
123;75;01/01/2004;PVC;PVC19902020
124;75;01/01/1997;PVC;PVC19902020
125;125;01/01/1962;FONTEGRISE;FONTEGRISE19401970
126;160;01/01/2004;PVC;PVC19902020
127;160;01/01/2004;PVC;PVC19902020
128;160;01/01/2004;PVC;PVC19902020
129;63;01/01/1977;PVC;PVC19701990
130;63;01/01/1977;PVC;PVC19701990
131;63;01/01/1977;PVC;PVC19701990
132;63;01/01/1977;PVC;PVC19701990
133;160;01/01/2004;PVC;PVC19902020
134;160;01/01/2004;PVC;PVC19902020
135;160;01/01/2004;PVC;PVC19902020
136;160;01/01/2004;PVC;PVC19902020
137;60;01/01/1974;FONTEDUCTILE;FONTEDUCTILE19661980
138;60;01/01/1974;FONTEDUCTILE;FONTEDUCTILE19661980
139;63;01/01/1974;PVC;PVC19701990
140;63;01/01/1974;PVC;PVC19701990
141;63;01/01/1974;PVC;PVC19701990
142;63;01/01/1974;PVC;PVC19701990
143;63;01/01/1974;PVC;PVC19701990
144;63;01/01/1974;PVC;PVC19701990
145;160;01/01/2004;PVC;PVC19902020
146;160;01/01/2004;PVC;PVC19902020
147;160;01/01/2004;PVC;PVC19902020
148;160;01/01/2004;PVC;PVC19902020
149;160;01/01/2004;PVC;PVC19902020
150;160;01/01/2004;PVC;PVC19902020
151;160;01/01/2004;PVC;PVC19902020
152;160;01/01/2004;PVC;PVC19902020
153;160;01/01/2004;PVC;PVC19902020
154;160;01/01/2004;PVC;PVC19902020
155;160;01/01/2004;PVC;PVC19902020
156;160;01/01/2004;PVC;PVC19902020
157;160;01/01/2004;PVC;PVC19902020
158;160;01/01/2004;PVC;PVC19902020
159;160;01/01/2004;PVC;PVC19902020
160;160;01/01/2004;PVC;PVC19902020
161;160;01/01/2004;PVC;PVC19902020
162;160;01/01/2004;PVC;PVC19902020
163;63;01/01/1969;PVC;PVC19481970
164;63;01/01/1969;PVC;PVC19481970
165;63;01/01/1969;PVC;PVC19481970
166;63;01/01/1969;PVC;PVC19481970
167;63;01/01/1969;PVC;PVC19481970
168;63;01/01/1969;PVC;PVC19481970
169;63;01/01/1969;PVC;PVC19481970
170;63;01/01/1969;PVC;PVC19481970
171;63;01/01/1969;PVC;PVC19481970
172;63;01/01/1969;PVC;PVC19481970
173;63;01/01/1969;PVC;PVC19481970
174;63;01/01/1969;PVC;PVC19481970
175;140;01/01/1997;PVC;PVC19902020
176;140;01/01/1997;PVC;PVC19902020
177;140;01/01/1997;PVC;PVC19902020
178;140;01/01/1997;PVC;PVC19902020
179;140;01/01/1997;PVC;PVC19902020
180;140;01/01/1997;PVC;PVC19902020
181;140;01/01/1997;PVC;PVC19902020
182;140;01/01/1997;PVC;PVC19902020
183;140;01/01/1997;PVC;PVC19902020
184;140;01/01/1997;PVC;PVC19902020
185;140;01/01/1997;PVC;PVC19902020
186;140;01/01/1997;PVC;PVC19902020
187;140;01/01/1997;PVC;PVC19902020
188;140;01/01/1997;PVC;PVC19902020
189;140;01/01/1997;PVC;PVC19902020
190;140;01/01/1997;PVC;PVC19902020
191;140;01/01/1997;PVC;PVC19902020
192;140;01/01/1997;PVC;PVC19902020
193;140;01/01/1997;PVC;PVC19902020
194;140;01/01/1997;PVC;PVC19902020
195;140;01/01/1997;PVC;PVC19902020
196;140;01/01/1997;PVC;PVC19902020
197;140;01/01/1997;PVC;PVC19902020
198;140;01/01/1997;PVC;PVC19902020
199;140;01/01/1997;PVC;PVC19902020
200;110;01/01/2005;PVC;PVC19902020
201;110;01/01/2005;PVC;PVC19902020
202;110;01/01/2005;PVC;PVC19902020
203;110;01/01/2005;PVC;PVC19902020
204;110;01/01/2005;PVC;PVC19902020
205;110;01/01/2005;PVC;PVC19902020
206;160;01/01/2004;PVC;PVC19902020
207;160;01/01/2004;PVC;PVC19902020
208;160;01/01/2004;PVC;PVC19902020
209;160;01/01/2004;PVC;PVC19902020
210;110;01/01/1986;PVC;PVC19701990
211;110;01/01/1986;PVC;PVC19701990
212;110;01/01/1986;PVC;PVC19701990
213;110;01/01/1986;PVC;PVC19701990
214;110;01/01/1986;PVC;PVC19701990
215;110;01/01/1986;PVC;PVC19701990
216;110;01/01/1986;PVC;PVC19701990
217;110;01/01/1986;PVC;PVC19701990
218;110;01/01/1986;PVC;PVC19701990
219;110;01/01/1986;PVC;PVC19701990
220;110;01/01/1986;PVC;PVC19701990
221;110;01/01/1986;PVC;PVC19701990
222;110;01/01/1986;PVC;PVC19701990
223;110;01/01/1986;PVC;PVC19701990
224;110;01/01/1986;PVC;PVC19701990
225;110;01/01/1986;PVC;PVC19701990
226;100;01/01/1974;FONTEDUCTILE;FONTEDUCTILE19661980
227;110;01/01/1986;PVC;PVC19701990
228;110;01/01/1986;PVC;PVC19701990
229;110;01/01/1986;PVC;PVC19701990
230;140;01/01/1986;PVC;PVC19701990
231;125;01/01/2007;PVC;PVC19902020
232;125;01/01/2007;PVC;PVC19902020
233;125;01/01/2007;PVC;PVC19902020
234;125;01/01/2007;PVC;PVC19902020
235;140;01/01/1997;PVC;PVC19902020
236;140;01/01/1997;PVC;PVC19902020
237;140;01/01/1997;PVC;PVC19902020
238;140;01/01/1997;PVC;PVC19902020
239;140;01/01/1997;PVC;PVC19902020
240;63;01/01/2004;PVC;PVC19902020
241;63;01/01/2004;PVC;PVC19902020
242;63;01/01/2004;PVC;PVC19902020
243;63;01/01/2004;PVC;PVC19902020
244;63;01/01/2004;PVC;PVC19902020
245;63;01/01/2004;PVC;PVC19902020
246;63;01/01/2004;PVC;PVC19902020
247;63;01/01/2004;PVC;PVC19902020
248;63;01/01/2004;PVC;PVC19902020
249;90;01/01/1995;PVC;PVC19902020
250;90;01/01/1995;PVC;PVC19902020
251;90;01/01/1995;PVC;PVC19902020
252;110;01/01/2006;PVC;PVC19902020
253;110;01/01/2006;PVC;PVC19902020
254;110;01/01/2006;PVC;PVC19902020
255;110;01/01/2006;PVC;PVC19902020
256;110;01/01/2006;PVC;PVC19902020
257;110;01/01/2006;PVC;PVC19902020
258;110;01/01/2006;PVC;PVC19902020
