IDTC;DDCC
8516;26/01/2013
7099;08/08/2012
147;11/04/2013
8535;09/04/2013
12079;28/03/2013
13785;14/03/2013
14459;02/05/2012
12962;07/11/2012
14728;16/07/2013
3062;18/04/2013
9966;21/08/2012
21071;13/08/2012
10248;05/08/2013
10247;02/08/2013
13166;21/02/2013
1098;16/02/2013
18405;23/09/2011
19600;18/03/2011
8097;11/03/2011
10434;24/02/2011
13366;09/12/2011
7518;23/11/2011
9590;13/11/2012
13562;08/11/2012
12300;20/07/2012
7815;16/07/2012
19002;04/06/2012
16867;31/05/2012
16456;14/02/2011
18623;11/01/2011
5915;10/07/2013
8397;26/01/2013
21819;04/02/2012
7626;03/02/2012
430;23/01/2012
11788;18/01/2012
12183;14/12/2012
2572;06/12/2012
3606;28/10/2011
6705;26/09/2011
18337;11/08/2011
18131;22/12/2011
1293;02/01/2012
4667;01/01/2012
6708;14/10/2013
15430;09/09/2011
2161;06/02/2007
12724;06/11/2013
11387;05/11/2013
1781;03/11/2013
4910;12/01/2007
11795;09/01/2007
21820;03/12/2012
5914;10/07/2013
8400;22/01/2013
11395;17/01/2013
17129;20/12/2012
18316;02/11/2013
16864;15/10/2013
18362;17/12/2007
13369;21/07/2008
5578;18/06/2008
16367;19/12/2007
15695;16/09/2008
3460;04/09/2008
19918;31/01/2007
8351;29/01/2007
1193;12/01/2007
20593;18/12/2007
15599;28/08/2007
18165;24/08/2007
11382;23/11/2005
11382;01/07/2006
21833;02/03/2006
16495;07/11/2007
12307;17/12/2007
6759;15/12/2007
2178;14/12/2007
19920;14/12/2007
12093;22/06/2006
21087;22/12/2007
19619;21/12/2007
2168;02/02/2006
10087;01/02/2006
14763;30/01/2006
1194;13/01/2006
15498;17/03/2007
2400;26/02/2006
8418;15/02/2006
753;17/08/2007
10116;20/04/2006
4336;20/04/2006
19948;07/04/2006
11057;24/12/2007
753;04/03/2009
2146;07/10/2008
1940;02/10/2008
19937;02/04/2009
7487;30/01/2008
11637;18/01/2008
5109;01/03/2007
5233;19/02/2007
5578;19/12/2007
12841;22/03/2007
8124;14/01/2009
2927;12/01/2009
10142;13/12/2009
21833;12/12/2009
3472;25/02/2009
5754;06/02/2009
6763;07/01/2009
2906;06/01/2009
5043;16/12/2009
6980;28/07/2011
14660;12/08/2011
11381;12/02/2008
11637;04/02/2008
12834;05/02/2009
16617;29/12/2008
753;26/10/2007
9514;28/09/2007
8617;03/01/2007
16864;12/12/2008
10087;15/07/2009
19777;05/01/2009
16760;04/01/2009
3765;09/01/2009
8429;08/01/2009
18406;07/01/2009
4833;31/12/2008
4833;30/12/2008
12605;21/02/2008
4513;20/02/2008
21863;10/04/2009
17774;10/04/2009
5574;09/04/2009
3727;01/12/2008
18596;17/11/2008
18289;16/04/2009
13373;24/12/2008
1192;24/12/2008
5387;15/12/2008
17833;19/03/2008
18362;21/02/2008
18321;02/10/2004
11384;01/07/2005
8176;29/11/2004
17238;27/11/2004
7106;24/11/2004
8740;24/11/2004
12051;05/05/2004
4833;01/04/2004
12559;12/11/2008
3666;15/02/2008
10165;08/12/2008
16615;06/12/2008
12502;13/10/2004
10444;05/03/2005
17100;07/07/2004
7097;24/03/2005
5098;28/10/2005
8667;24/07/2004
5898;15/06/2004
18816;24/05/2004
9779;11/03/2005
12627;11/03/2005
18485;26/08/2003
10328;07/02/2003
3345;22/10/2003
9178;09/08/2007
3024;25/04/2007
1192;12/10/2005
15568;17/12/2004
11065;20/01/2003
12564;20/01/2003
13595;01/07/2004
1025;30/12/2004
5588;07/12/2004
6743;14/03/2007
6968;08/01/2007
7341;25/09/2006
14654;25/09/2006
14654;30/08/2006
6743;20/12/2007
18134;23/12/2004
5578;21/09/2005
5260;06/11/2006
19725;26/10/2006
7071;26/03/2004
5978;06/12/2004
13513;29/11/2004
11407;16/12/2004
2573;13/12/2004
4987;10/12/2004
849;09/12/2004
7432;17/10/2006
10364;28/09/2005
8456;28/01/2004
1024;14/01/2004
2827;26/02/2004
11068;16/12/2005
10268;10/12/2005
12631;13/03/2004
12726;03/03/2004
6771;30/08/2005
4860;26/03/2004
2740;01/02/2004
12467;02/02/2005
8824;01/02/2005
14646;07/10/2005
14647;05/10/2005
16916;17/02/2005
13820;11/02/2005
10846;29/12/2005
2868;29/12/2005
16520;26/11/2005
2416;06/01/2004
7275;02/01/2004
1098;12/01/2004
1024;06/01/2005
11614;26/12/2005
18132;23/12/2005
18302;28/12/2006
4518;29/12/2005
4018;28/12/2005
5099;01/02/2005
5567;31/12/2005
7760;31/12/2005
3052;04/12/2006
13559;04/01/2005
3068;31/12/2006
6424;09/03/2005
14655;29/12/2005
9110;21/12/2005
18888;20/09/2005
3841;10/12/2003
17561;09/12/2003
18816;21/11/2003
13083;30/12/2003
18015;12/12/2003
19812;13/04/2003
11858;31/12/2003
2278;16/06/2003
11383;02/06/2003
16734;30/04/2003
16141;13/05/2009
6475;09/02/2009
9176;14/01/2009
16441;11/10/2010
15542;19/08/2009
6146;27/05/2009
14656;05/09/2003
14655;28/08/2003
8124;03/11/2003
17017;29/10/2003
10172;29/10/2003
18885;15/07/2004
14528;12/07/2004
16120;24/06/2003
2714;07/02/2003
6502;30/11/2004
16441;25/01/2010
8953;15/10/2010
6843;21/08/2003
14323;12/08/2003
18484;07/07/2010
14749;03/11/2003
800;12/09/2003
18884;01/07/2004
16440;15/07/2004
3065;29/06/2010
10368;01/09/2010
6224;25/08/2010
8182;17/05/2010
5915;12/11/2013
7693;02/11/2011
18889;23/03/2004
6190;17/06/2004
18889;21/05/2004
18889;23/03/2004
16050;28/01/2010
18313;13/01/2010
4667;11/01/2010
10864;20/02/2010
5585;19/02/2010
12511;07/01/2010
19357;06/01/2010
19003;20/04/2010
11541;28/06/2010
19355;21/06/2010
11650;17/05/2010
5273;13/02/2010
8522;19/01/2010
21834;12/12/2009
10371;11/12/2009
5552;02/01/2009
5589;02/01/2009
5912;02/01/2009
13175;07/09/2009
18903;29/08/2009
19003;06/01/2010
5259;02/05/2011
110;09/01/2010
8442;08/01/2010
3722;07/01/2010
11868;01/01/2009
3602;27/12/2012
2163;05/12/2010
2879;02/12/2010
13205;24/12/2010
12727;23/12/2010
13176;21/12/2010
1873;20/12/2010
8710;30/10/2010
3637;26/12/2010
17331;07/12/2009
2279;24/11/2009
5898;26/10/2009
9040;20/12/2010
5898;14/12/2010
19558;21/09/2012
7095;07/09/2012
8708;18/04/2013
19718;18/04/2013
17999;23/11/2012
12657;24/07/2013
15127;17/07/2013
13191;01/10/2010
12472;01/12/2010
13235;24/11/2010
8409;24/11/2010
4833;23/11/2010
6102;23/11/2012
17622;19/10/2012
