IDT;DIAMETRE;DDP;MATERIAU;MATAGE
0;200;01/01/2004;FONTEDUCTILE;FONTEDUCTILE20002010
1;200;01/01/2004;FONTEDUCTILE;FONTEDUCTILE20002010
2;200;01/01/2004;FONTEDUCTILE;FONTEDUCTILE20002010
3;200;01/01/2004;FONTEDUCTILE;FONTEDUCTILE20002010
4;200;01/01/2004;FONTEDUCTILE;FONTEDUCTILE20002010
5;200;01/01/2004;FONTEDUCTILE;FONTEDUCTILE20002010
6;200;01/01/2004;FONTEDUCTILE;FONTEDUCTILE20002010
7;200;01/01/2004;FONTEDUCTILE;FONTEDUCTILE20002010
8;200;01/01/2004;FONTEDUCTILE;FONTEDUCTILE20002010
9;200;01/01/2004;FONTEDUCTILE;FONTEDUCTILE20002010
10;200;01/01/2004;FONTEDUCTILE;FONTEDUCTILE20002010
11;200;01/01/2004;FONTEDUCTILE;FONTEDUCTILE20002010
12;200;01/01/2004;FONTEDUCTILE;FONTEDUCTILE20002010
13;200;01/01/2004;FONTEDUCTILE;FONTEDUCTILE20002010
14;98;01/01/1997;PVC;PVC19902020
15;98;01/01/1997;PVC;PVC19902020
16;98;01/01/1997;PVC;PVC19902020
17;98;01/01/1997;PVC;PVC19902020
18;98;01/01/1997;PVC;PVC19902020
19;98;01/01/1997;PVC;PVC19902020
20;98;01/01/1997;PVC;PVC19902020
21;200;01/01/1950;FONTEGRISE;FONTEGRISE19401970
22;200;01/01/1950;FONTEGRISE;FONTEGRISE19401970
23;200;01/01/1950;FONTEGRISE;FONTEGRISE19401970
24;200;01/01/1950;FONTEGRISE;FONTEGRISE19401970
25;200;01/01/1950;FONTEGRISE;FONTEGRISE19401970
26;200;01/01/1950;FONTEGRISE;FONTEGRISE19401970
27;200;01/01/1950;FONTEGRISE;FONTEGRISE19401970
28;200;01/01/1950;FONTEGRISE;FONTEGRISE19401970
29;200;01/01/1950;FONTEGRISE;FONTEGRISE19401970
30;200;01/01/1950;FONTEGRISE;FONTEGRISE19401970
31;200;01/01/1950;FONTEGRISE;FONTEGRISE19401970
32;200;01/01/1950;FONTEGRISE;FONTEGRISE19401970
33;200;01/01/1950;FONTEGRISE;FONTEGRISE19401970
34;150;01/01/1981;FONTEDUCTILE;FONTEDUCTILE19801990
35;150;01/01/1981;FONTEDUCTILE;FONTEDUCTILE19801990
36;150;01/01/1993;FONTEDUCTILE;FONTEDUCTILE19902000
37;150;01/01/1993;FONTEDUCTILE;FONTEDUCTILE19902000
38;150;01/01/1993;FONTEDUCTILE;FONTEDUCTILE19902000
39;150;01/01/1993;FONTEDUCTILE;FONTEDUCTILE19902000
40;150;01/01/1993;FONTEDUCTILE;FONTEDUCTILE19902000
41;100;01/01/2003;FONTEDUCTILE;FONTEDUCTILE20002010
42;100;01/01/2003;FONTEDUCTILE;FONTEDUCTILE20002010
43;100;01/01/2003;FONTEDUCTILE;FONTEDUCTILE20002010
44;100;01/01/2003;FONTEDUCTILE;FONTEDUCTILE20002010
45;100;01/01/2003;FONTEDUCTILE;FONTEDUCTILE20002010
46;300;01/01/1988;FONTEDUCTILE;FONTEDUCTILE19801990
47;300;01/01/1988;FONTEDUCTILE;FONTEDUCTILE19801990
48;100;01/01/1989;FONTEDUCTILE;FONTEDUCTILE19801990
49;250;01/01/1958;FONTEDUCTILE;FONTEDUCTILE19511966
50;200;01/01/1958;FONTEDUCTILE;FONTEDUCTILE19511966
51;200;01/01/1958;FONTEDUCTILE;FONTEDUCTILE19511966
52;200;01/01/1958;FONTEDUCTILE;FONTEDUCTILE19511966
53;200;01/01/1958;FONTEDUCTILE;FONTEDUCTILE19511966
54;200;01/01/1958;FONTEDUCTILE;FONTEDUCTILE19511966
55;200;01/01/1958;FONTEDUCTILE;FONTEDUCTILE19511966
56;200;01/01/1958;FONTEDUCTILE;FONTEDUCTILE19511966
57;200;01/01/1958;FONTEDUCTILE;FONTEDUCTILE19511966
58;200;01/01/1958;FONTEDUCTILE;FONTEDUCTILE19511966
59;200;01/01/1958;FONTEDUCTILE;FONTEDUCTILE19511966
60;200;01/01/1958;FONTEDUCTILE;FONTEDUCTILE19511966
61;200;01/01/1958;FONTEDUCTILE;FONTEDUCTILE19511966
62;200;01/01/1995;FONTEDUCTILE;FONTEDUCTILE19902000
63;200;01/01/1995;FONTEDUCTILE;FONTEDUCTILE19902000
64;200;01/01/1995;FONTEDUCTILE;FONTEDUCTILE19902000
65;200;01/01/1995;FONTEDUCTILE;FONTEDUCTILE19902000
66;200;01/01/1995;FONTEDUCTILE;FONTEDUCTILE19902000
67;200;01/01/1995;FONTEDUCTILE;FONTEDUCTILE19902000
68;200;01/01/1995;FONTEDUCTILE;FONTEDUCTILE19902000
69;200;01/01/1995;FONTEDUCTILE;FONTEDUCTILE19902000
70;200;01/01/1995;FONTEDUCTILE;FONTEDUCTILE19902000
71;200;01/01/1995;FONTEDUCTILE;FONTEDUCTILE19902000
72;200;01/01/1995;FONTEDUCTILE;FONTEDUCTILE19902000
73;200;01/01/1995;FONTEDUCTILE;FONTEDUCTILE19902000
74;200;01/01/1995;FONTEDUCTILE;FONTEDUCTILE19902000
75;200;01/01/1995;FONTEDUCTILE;FONTEDUCTILE19902000
76;200;01/01/1995;FONTEDUCTILE;FONTEDUCTILE19902000
77;200;01/01/1995;FONTEDUCTILE;FONTEDUCTILE19902000
78;200;01/01/1995;FONTEDUCTILE;FONTEDUCTILE19902000
79;200;01/01/1995;FONTEDUCTILE;FONTEDUCTILE19902000
80;200;01/01/1995;FONTEDUCTILE;FONTEDUCTILE19902000
81;200;01/01/1995;FONTEDUCTILE;FONTEDUCTILE19902000
82;200;01/01/1995;FONTEDUCTILE;FONTEDUCTILE19902000
83;200;01/01/1995;FONTEDUCTILE;FONTEDUCTILE19902000
84;200;01/01/1995;FONTEDUCTILE;FONTEDUCTILE19902000
85;200;01/01/1995;FONTEDUCTILE;FONTEDUCTILE19902000
86;200;01/01/1995;FONTEDUCTILE;FONTEDUCTILE19902000
87;150;01/01/2001;FONTEDUCTILE;FONTEDUCTILE20002010
88;150;01/01/2001;FONTEDUCTILE;FONTEDUCTILE20002010
89;150;01/01/2001;FONTEDUCTILE;FONTEDUCTILE20002010
90;150;01/01/2001;FONTEDUCTILE;FONTEDUCTILE20002010
91;150;01/01/2001;FONTEDUCTILE;FONTEDUCTILE20002010
92;150;01/01/2001;FONTEDUCTILE;FONTEDUCTILE20002010
93;110;01/01/2010;PVC;PVC19902020
94;150;01/01/2010;FONTEDUCTILE;FONTEDUCTILE20102020
95;150;01/01/2010;FONTEDUCTILE;FONTEDUCTILE20102020
96;150;01/01/2010;FONTEDUCTILE;FONTEDUCTILE20102020
97;150;01/01/2010;FONTEDUCTILE;FONTEDUCTILE20102020
98;150;01/01/2010;FONTEDUCTILE;FONTEDUCTILE20102020
99;100;01/01/1967;FONTEGRISE;FONTEGRISE19401970
100;100;01/01/1967;FONTEGRISE;FONTEGRISE19401970
101;100;01/01/1967;FONTEGRISE;FONTEGRISE19401970
102;100;01/01/1967;FONTEGRISE;FONTEGRISE19401970
103;100;01/01/1967;FONTEGRISE;FONTEGRISE19401970
104;100;01/01/1947;FONTEGRISE;FONTEGRISE19401970
105;100;01/01/1967;FONTEDUCTILE;FONTEDUCTILE19661980
106;80;01/01/1936;FONTEGRISE;FONTEGRISE19301940
107;80;01/01/1936;FONTEGRISE;FONTEGRISE19301940
108;80;01/01/1936;FONTEGRISE;FONTEGRISE19301940
109;80;01/01/1936;FONTEGRISE;FONTEGRISE19301940
110;100;01/01/1967;FONTEDUCTILE;FONTEDUCTILE19661980
111;100;01/01/1967;FONTEDUCTILE;FONTEDUCTILE19661980
112;100;01/01/1967;FONTEDUCTILE;FONTEDUCTILE19661980
113;60;01/01/1985;FONTEDUCTILE;FONTEDUCTILE19801990
114;60;01/01/1985;FONTEDUCTILE;FONTEDUCTILE19801990
115;60;01/01/1985;FONTEDUCTILE;FONTEDUCTILE19801990
116;60;01/01/1985;FONTEDUCTILE;FONTEDUCTILE19801990
117;60;01/01/1985;FONTEDUCTILE;FONTEDUCTILE19801990
118;200;01/01/1979;FONTEDUCTILE;FONTEDUCTILE19661980
