IDTC;DDCC
11861;06/09/2004
24327;31/08/2005
3402;01/03/2001
4283;19/05/2009
3265;11/01/2007
9319;11/01/2008
11450;31/12/2000
684;09/07/2007
25592;05/04/2002
4201;13/04/2006
29481;25/05/2003
11371;31/10/2008
1010;13/03/2002
2105;29/05/2006
26910;20/07/2007
17996;25/03/2002
18672;26/07/2002
13522;22/03/2002
22298;29/09/2005
29855;22/08/2006
29953;05/09/2007
12445;17/04/2007
17708;12/12/2007
13589;04/10/2005
8560;12/08/2002
30472;21/05/2003
28196;07/06/2004
20028;05/09/2007
28624;16/12/2005
12914;22/07/2006
29856;19/01/2007
1230;04/07/2001
4550;02/01/2004
2473;03/05/2006
7355;14/05/2009
18568;15/04/2002
17708;08/10/2007
28594;29/09/2005
27993;14/05/2002
18671;31/12/2000
21362;19/12/2005
5360;08/08/2007
12459;26/10/2009
3544;29/10/2004
3385;14/04/2009
2145;23/10/2007
21191;10/10/2002
28615;24/09/2004
26002;21/09/2001
29090;03/02/2006
29586;08/08/2001
28241;16/06/2004
5084;28/06/2002
4950;21/07/2003
13778;27/06/2003
8119;04/03/2004
29202;24/08/2005
81;05/05/2006
2009;06/05/2002
4818;15/06/2007
24453;09/07/2002
22833;26/01/2006
29951;13/10/2008
15396;13/02/2006
10281;14/06/2002
25531;18/04/2005
2297;13/01/2001
2961;29/06/2005
18097;30/08/2006
28443;29/11/2006
1524;10/09/2002
24158;16/01/2003
7937;24/02/2003
14351;06/12/2002
14553;17/06/2007
13779;12/05/2009
13623;16/11/2001
11311;16/06/2002
12924;18/04/2008
28594;17/08/2007
7324;14/06/2006
16274;15/04/2002
29921;01/04/2008
6820;05/11/2007
17818;25/05/2007
28699;21/10/2003
22923;23/09/2004
4041;24/01/2003
1602;30/05/2007
24180;04/12/2002
2903;11/04/2005
3053;23/08/2001
23050;29/11/2009
27968;02/10/2006
15046;25/04/2003
3488;05/08/2009
24152;07/11/2007
16231;05/01/2009
19233;31/05/2005
29953;04/09/2007
12719;21/10/2002
26211;22/11/2004
25449;08/08/2007
3491;06/03/2006
17070;03/04/2002
4776;11/03/2005
27967;02/09/2006
29922;08/08/2007
11371;31/10/2008
18588;09/05/2008
20988;22/06/2004
362;13/08/2005
9209;26/02/2003
2524;08/04/2001
85;13/11/2004
28621;12/12/2006
29935;31/07/2008
27992;06/01/2005
17677;27/03/2009
22509;11/05/2007
1044;23/10/2007
27966;14/11/2008
21017;07/07/2002
29855;01/06/2009
1032;23/02/2006
6910;20/02/2003
2008;11/05/2005
29944;16/04/2007
21323;09/06/2007
1006;23/11/2001
15988;02/02/2009
16908;31/01/2001
17819;27/09/2006
13776;17/02/2006
915;11/10/2002
25355;12/12/2001
5498;06/06/2002
26443;15/11/2002
6717;01/01/2001
7671;22/09/2004
26948;11/12/2006
25303;30/05/2007
16533;13/11/2001
29957;15/11/2006
18240;20/10/2008
24972;23/11/2006
17819;22/10/2003
8182;29/07/2009
18519;28/11/2004
20952;23/06/2004
13159;03/05/2001
16540;13/03/2003
4955;06/11/2002
17937;30/03/2003
6899;13/01/2003
21077;29/05/2001
17998;09/02/2006
29861;10/06/2008
29911;22/11/2007
11967;02/04/2004
29950;13/10/2008
25670;25/06/2004
863;23/05/2002
18902;16/10/2009
2560;08/03/2008
17674;07/11/2007
9941;04/04/2001
4061;31/12/2000
7206;03/09/2003
19223;15/04/2002
17690;08/08/2007
2972;13/08/2002
5426;02/10/2002
16010;12/03/2007
11617;06/01/2003
26655;23/05/2002
9174;10/10/2007
12645;02/12/2003
29747;14/12/2005
11799;02/06/2003
12107;29/08/2007
18796;23/10/2003
7784;02/05/2002
21143;17/09/2008
3695;21/06/2005
9198;14/01/2003
3711;24/09/2005
6715;03/12/2002
17714;08/08/2007
28105;21/08/2003
22568;08/06/2009
7617;18/05/2002
28703;21/10/2003
29459;27/11/2009
2570;15/04/2008
29718;18/12/2009
4221;31/12/2000
1486;26/09/2005
29949;14/05/2008
13737;25/06/2009
29910;13/12/2007
19029;21/08/2009
695;15/11/2006
15046;24/12/2001
23025;09/10/2007
18899;17/06/2002
12311;25/04/2002
14134;06/09/2007
13622;07/01/2009
17879;24/07/2006
394;24/12/2004
6605;18/10/2008
25532;17/06/2002
25268;28/12/2004
17972;30/03/2001
18866;14/10/2002
27966;02/03/2009
22610;29/01/2004
29937;14/11/2007
20477;23/02/2004
1002;17/02/2006
17154;20/05/2008
19155;24/01/2001
11270;17/10/2006
2841;09/10/2003
18867;11/10/2002
18877;18/11/2002
29737;13/05/2005
12984;08/12/2006
30700;27/11/2009
2909;03/09/2002
14130;09/03/2004
17678;07/11/2007
29852;03/11/2004
3489;25/04/2006
10801;04/03/2012
8349;28/06/2012
8349;02/07/2012
19989;02/08/2012
21738;04/07/2012
16845;26/09/2012
17389;14/02/2012
18141;15/04/2012
7588;29/12/2001
255;10/11/2009
3484;11/06/2008
14296;24/03/2003
20017;19/12/2001
1156;20/06/2008
13769;22/05/2012
4216;05/04/2012
22690;02/03/2012
27954;16/01/2012
13285;26/04/2012
21706;15/05/2012
25978;05/03/2012
16966;02/03/2012
10811;25/07/2012
18887;16/02/2012
24154;23/02/2012
19031;21/06/2012
13772;09/05/2012
11274;12/03/2012
296;05/03/2012
16152;02/02/2012
2032;07/03/2012
13769;21/03/2012
11945;02/03/2012
6304;12/07/2012
16404;19/01/2012
20540;27/02/2012
2089;05/07/2012
17869;27/09/2012
17971;02/03/2012
30447;05/03/2012
29484;17/04/2012
11165;22/03/2012
22066;02/03/2012
19986;02/07/2012
24266;15/03/2012
9149;13/04/2012
11607;05/03/2012
9913;28/06/2012
17865;06/04/2012
15559;04/04/2012
4669;24/01/2012
15544;19/09/2012
7905;02/03/2012
19227;01/10/2012
979;26/01/2012
7500;24/05/2012
21652;30/03/2012
7500;24/05/2012
26327;07/06/2012
18870;20/02/2012
22478;03/01/2012
29586;17/02/2012
9144;19/04/2012
6476;21/06/2012
12360;02/03/2012
2487;02/03/2012
7085;06/06/2012
12137;02/03/2012
23479;02/03/2012
5317;28/07/2012
3616;19/01/2012
27868;28/07/2012
23379;09/03/2012
13571;22/07/2011
28116;04/04/2011
6476;10/02/2011
16195;02/03/2011
16814;23/06/2011
10581;23/01/2012
6476;21/06/2012
25647;20/10/2011
3912;07/02/2011
73;14/10/2011
13689;03/03/2011
3542;18/08/2011
5439;26/01/2011
2006;21/12/2011
22693;19/04/2011
30724;01/09/2011
3506;06/09/2011
25823;19/05/2011
4725;26/05/2011
12658;19/05/2011
12739;02/03/2011
30733;29/08/2011
1342;13/10/2011
7595;25/05/2011
11704;26/10/2011
16133;23/07/2011
19230;22/12/2011
27985;10/03/2011
23993;15/03/2011
25795;14/01/2011
5957;31/05/2011
18001;05/01/2011
23426;28/02/2011
27527;14/03/2011
10599;12/09/2011
15557;05/05/2011
28426;02/02/2010
13768;28/07/2010
23159;01/12/2010
14970;08/09/2010
14135;21/06/2010
23596;08/11/2010
9488;04/08/2011
11606;10/02/2011
17327;21/01/2011
14161;20/09/2011
18001;06/01/2011
19391;26/09/2011
13761;09/06/2011
13780;24/09/2010
13751;14/10/2010
21198;16/06/2010
20555;26/11/2010
3541;30/04/2010
30305;11/03/2010
3661;29/04/2010
29086;16/08/2010
1997;10/06/2010
12551;12/04/2010
1005;11/05/2010
29032;03/12/2010
6140;11/05/2010
14144;11/01/2010
24132;22/06/2010
18855;09/07/2010
9149;29/04/2010
17980;30/11/2010
13735;13/07/2010
24149;05/01/2010
88;25/06/2010
3393;12/05/2010
17451;22/07/2010
16388;16/04/2010
3489;15/04/2010
24136;19/07/2010
20835;23/07/2010
13780;22/06/2010
21883;29/07/2010
18424;23/03/2010
3078;14/05/2010
11361;17/12/2013
5355;12/12/2013
19975;28/11/2013
9132;15/10/2013
12713;17/09/2013
7588;28/05/2010
24747;01/07/2010
20092;21/01/2010
3411;08/01/2010
30722;26/04/2010
13773;19/07/2010
15586;20/01/2010
25295;29/07/2013
10426;18/07/2013
16168;18/07/2013
21715;02/07/2013
19085;01/07/2013
480;12/06/2013
18284;11/06/2013
20793;10/09/2013
5473;10/09/2013
17999;05/09/2013
5898;04/09/2013
21644;09/08/2013
19391;06/08/2013
2039;22/04/2013
3009;15/04/2013
30229;04/04/2013
680;04/04/2013
21739;15/03/2013
17972;07/03/2013
3541;05/03/2013
27912;10/06/2013
15398;10/06/2013
27912;10/06/2013
16301;07/06/2013
23479;05/06/2013
23381;28/05/2013
25745;28/05/2013
222;11/05/2013
19715;21/10/2014
25261;25/09/2014
2789;24/09/2014
22531;02/09/2014
2032;02/09/2014
3710;28/07/2014
8579;17/06/2014
1118;13/06/2014
14702;22/02/2013
24371;13/02/2013
30435;30/01/2013
22490;28/01/2013
29254;18/11/2014
3891;31/10/2014
30515;26/03/2014
7060;25/03/2014
19294;11/03/2014
28786;10/03/2014
30438;04/03/2014
2401;04/03/2014
25780;26/02/2014
6954;29/01/2014
23595;11/06/2014
29091;28/05/2014
751;06/05/2014
11178;28/04/2014
28911;23/04/2014
7045;14/04/2014
11189;28/03/2014
30664;26/03/2014
14878;27/01/2014
12296;23/01/2014
26752;02/01/2014
