IDT;DIAMETRE;DDP;MATERIAU;MATAGE
0;110;01/01/1977;PVC;PVC19701990
1;110;01/01/1977;PVC;PVC19701990
2;110;01/01/1977;PVC;PVC19701990
3;110;01/01/1977;PVC;PVC19701990
4;110;01/01/1977;PVC;PVC19701990
5;110;01/01/1977;PVC;PVC19701990
6;110;01/01/1977;PVC;PVC19701990
7;110;01/01/1977;PVC;PVC19701990
8;110;01/01/1977;PVC;PVC19701990
9;63;01/01/1973;PVC;PVC19701990
10;63;01/01/1973;PVC;PVC19701990
11;63;01/01/1973;PVC;PVC19701990
12;63;01/01/1973;PVC;PVC19701990
13;63;01/01/1973;PVC;PVC19701990
14;110;01/01/2014;PVC;PVC19902020
15;110;01/01/2014;PVC;PVC19902020
16;110;01/01/2014;PVC;PVC19902020
17;110;01/01/2014;PVC;PVC19902020
18;110;01/01/2014;PVC;PVC19902020
19;60;01/01/1959;BONNA;BONNA18001965
20;63;01/01/1977;PVC;PVC19701990
21;63;01/01/1977;PVC;PVC19701990
22;60;01/01/1959;BONNA;BONNA18001965
23;60;01/01/1959;BONNA;BONNA18001965
24;100;01/01/1959;BONNA;BONNA18001965
25;100;01/01/1959;BONNA;BONNA18001965
26;100;01/01/1959;BONNA;BONNA18001965
27;60;01/01/1959;BONNA;BONNA18001965
28;60;01/01/1959;BONNA;BONNA18001965
29;60;01/01/1959;BONNA;BONNA18001965
30;60;01/01/1959;BONNA;BONNA18001965
31;63;01/01/1977;PVC;PVC19701990
32;63;01/01/1977;PVC;PVC19701990
33;60;01/01/1959;BONNA;BONNA18001965
34;110;01/01/1979;PVC;PVC19701990
35;110;01/01/1979;PVC;PVC19701990
36;110;01/01/1979;PVC;PVC19701990
37;110;01/01/1979;PVC;PVC19701990
38;110;01/01/1979;PVC;PVC19701990
39;110;01/01/1979;PVC;PVC19701990
40;110;01/01/1979;PVC;PVC19701990
41;110;01/01/1979;PVC;PVC19701990
42;110;01/01/1979;PVC;PVC19701990
43;110;01/01/1979;PVC;PVC19701990
44;110;01/01/1979;PVC;PVC19701990
45;110;01/01/1979;PVC;PVC19701990
46;110;01/01/1979;PVC;PVC19701990
47;110;01/01/1979;PVC;PVC19701990
48;110;01/01/1979;PVC;PVC19701990
49;110;01/01/1979;PVC;PVC19701990
50;110;01/01/1979;PVC;PVC19701990
51;110;01/01/1979;PVC;PVC19701990
52;110;01/01/1979;PVC;PVC19701990
53;110;01/01/1979;PVC;PVC19701990
54;110;01/01/1979;PVC;PVC19701990
55;110;01/01/1979;PVC;PVC19701990
56;110;01/01/1979;PVC;PVC19701990
57;110;01/01/1979;PVC;PVC19701990
58;175;01/01/1971;ACIER;ACIER19401980
59;175;01/01/1971;ACIER;ACIER19401980
60;175;01/01/1971;ACIER;ACIER19401980
61;175;01/01/1971;ACIER;ACIER19401980
62;175;01/01/1971;ACIER;ACIER19401980
63;175;01/01/1971;ACIER;ACIER19401980
64;175;01/01/1971;ACIER;ACIER19401980
65;175;01/01/1971;ACIER;ACIER19401980
66;175;01/01/1971;ACIER;ACIER19401980
67;175;01/01/1971;ACIER;ACIER19401980
68;175;01/01/1971;ACIER;ACIER19401980
69;175;01/01/1971;ACIER;ACIER19401980
70;175;01/01/1971;ACIER;ACIER19401980
71;175;01/01/1971;ACIER;ACIER19401980
72;175;01/01/1971;ACIER;ACIER19401980
73;175;01/01/1971;ACIER;ACIER19401980
74;175;01/01/1971;ACIER;ACIER19401980
75;175;01/01/1971;ACIER;ACIER19401980
76;175;01/01/1971;ACIER;ACIER19401980
77;175;01/01/1971;ACIER;ACIER19401980
