IDTC;DDCC
940;11/04/2005
5347;14/01/2005
11302;11/02/2005
12623;29/04/2005
348;01/04/2005
5502;14/04/2005
8589;18/03/2005
7789;05/02/2005
7744;06/04/2005
14189;28/07/2005
10067;23/05/2005
1955;18/07/2005
5502;14/06/2005
8295;11/10/2005
2650;05/10/2005
6397;11/11/2005
7741;25/11/2005
15640;08/11/2005
8585;24/11/2005
11103;24/12/2005
16423;27/05/2006
16029;02/10/2006
12109;23/05/2006
13476;04/07/2006
4835;13/06/2006
24247;05/07/2006
14176;29/09/2006
691;27/04/2006
19695;24/01/2006
2508;27/01/2006
1189;26/01/2006
14554;12/08/2006
12027;01/08/2006
21397;17/01/2007
11691;12/01/2007
14892;02/02/2007
12176;02/03/2007
2551;05/03/2007
18748;26/03/2007
14480;28/03/2007
2201;12/01/2007
4854;15/01/2007
19780;25/01/2007
14190;26/03/2007
16025;11/06/2007
16225;17/01/2005
2501;27/01/2005
4860;25/01/2005
8130;29/06/2006
15111;01/06/2006
14252;02/06/2006
7468;29/11/2007
11094;18/12/2007
2178;21/12/2007
7744;13/12/2007
7691;26/12/2007
11102;05/11/2007
7734;23/11/2007
9492;06/09/2007
21986;13/09/2007
6080;09/07/2007
21390;22/06/2007
3248;14/01/2008
5988;02/01/2008
7155;27/06/2007
6034;02/01/2006
8343;21/01/2008
14438;07/02/2008
20568;31/01/2008
2602;18/03/2008
12021;17/03/2008
2596;12/02/2008
19743;03/04/2008
3422;22/04/2008
6883;01/01/2006
6395;12/10/2005
14882;17/10/2006
15111;25/07/2006
2566;11/12/2006
14252;27/07/2006
4345;26/12/2006
16541;26/01/2005
9348;31/01/2005
11101;27/01/2005
291;24/04/2008
7725;29/12/2008
3514;14/11/2008
292;24/10/2008
13547;01/08/2008
7079;21/07/2008
4171;27/06/2008
11845;10/06/2008
14220;12/08/2008
6986;19/09/2008
20582;14/10/2008
11125;01/02/2009
6886;28/01/2009
2509;19/01/2009
3119;16/01/2009
2319;19/01/2009
5216;01/07/2009
2180;02/02/2009
19749;09/02/2009
17114;20/02/2009
1905;24/02/2009
20587;24/03/2009
19761;28/04/2009
14740;12/05/2009
7716;03/06/2009
2539;29/06/2009
15964;13/08/2009
6608;17/08/2009
20874;09/01/2009
6115;06/11/2008
1583;29/10/2009
2538;20/10/2009
7789;25/08/2009
14179;15/08/2009
6395;07/12/2009
2275;10/11/2009
5296;18/07/2009
14541;07/07/2010
2273;05/07/2010
21245;19/05/2010
4141;21/04/2010
2600;15/03/2010
12191;16/02/2010
14026;03/03/2010
11842;08/03/2010
12021;22/11/2010
3290;07/12/2010
5279;14/12/2010
1613;23/12/2010
6991;21/12/2010
22521;28/04/2011
11681;27/04/2011
2517;13/05/2011
1399;13/05/2011
11674;10/04/2011
23522;16/02/2011
1822;15/03/2011
8048;23/03/2012
14179;20/04/2012
9107;05/03/2012
2549;01/03/2012
1578;21/02/2012
1955;13/02/2012
5298;20/02/2012
5297;11/01/2012
2037;12/12/2011
12133;28/11/2011
14898;17/11/2011
11681;25/07/2011
2414;05/07/2011
5215;16/06/2011
10044;10/08/2011
9491;18/07/2011
8821;20/12/2011
11281;02/07/2012
19697;29/05/2012
2464;25/09/2012
2604;24/09/2012
11848;11/10/2012
11843;10/10/2012
1510;16/11/2012
2551;31/10/2012
19266;22/11/2012
12484;18/01/2013
6116;31/01/2013
2753;09/02/2013
16543;28/02/2013
23513;01/03/2013
14559;19/03/2013
21319;19/03/2013
18756;09/04/2013
14203;06/05/2013
14150;02/05/2013
2511;25/04/2013
4674;15/07/2013
14196;01/08/2013
14441;22/07/2013
16777;03/09/2013
12449;05/09/2013
14639;06/09/2013
7707;30/10/2013
11863;18/09/2013
13046;11/12/2013
7739;23/12/2013
22524;24/12/2013
23257;13/01/2014
23614;31/12/2013
2597;08/01/2014
1876;05/02/2014
2501;04/02/2014
14195;15/02/2014
5434;14/02/2014
2536;10/01/2014
1818;28/02/2014
16578;24/02/2014
5979;07/04/2014
23959;06/05/2014
14197;02/07/2014
13958;29/07/2014
5735;26/08/2014
11308;31/05/2007
18;04/06/2007
