IDT;DIAMETRE;DDP;MATERIAU;MATAGE
0;125;01/01/1990;FONTEDUCTILE;FONTEDUCTILE19902000
1;125;01/01/1990;FONTEDUCTILE;FONTEDUCTILE19902000
2;125;01/01/1990;FONTEDUCTILE;FONTEDUCTILE19902000
3;125;01/01/1990;FONTEDUCTILE;FONTEDUCTILE19902000
4;125;01/01/1990;FONTEDUCTILE;FONTEDUCTILE19902000
5;125;01/01/1990;FONTEDUCTILE;FONTEDUCTILE19902000
6;125;01/01/1990;FONTEDUCTILE;FONTEDUCTILE19902000
7;125;01/01/1990;FONTEDUCTILE;FONTEDUCTILE19902000
8;125;01/01/1990;FONTEDUCTILE;FONTEDUCTILE19902000
9;125;01/01/1990;FONTEDUCTILE;FONTEDUCTILE19902000
10;125;01/01/1990;FONTEDUCTILE;FONTEDUCTILE19902000
11;125;01/01/1990;FONTEDUCTILE;FONTEDUCTILE19902000
12;125;01/01/1990;FONTEDUCTILE;FONTEDUCTILE19902000
13;125;01/01/1990;FONTEDUCTILE;FONTEDUCTILE19902000
14;100;01/01/2006;FONTEDUCTILE;FONTEDUCTILE20002010
15;100;01/01/2006;FONTEDUCTILE;FONTEDUCTILE20002010
16;100;01/01/2006;FONTEDUCTILE;FONTEDUCTILE20002010
17;100;01/01/2006;FONTEDUCTILE;FONTEDUCTILE20002010
18;100;01/01/2006;FONTEDUCTILE;FONTEDUCTILE20002010
19;100;01/01/2011;FONTEDUCTILE;FONTEDUCTILE20102020
20;100;01/01/2011;FONTEDUCTILE;FONTEDUCTILE20102020
21;125;01/01/2010;FONTEDUCTILE;FONTEDUCTILE20102020
22;125;01/01/2010;FONTEDUCTILE;FONTEDUCTILE20102020
23;125;01/01/2010;FONTEDUCTILE;FONTEDUCTILE20102020
24;125;01/01/2010;FONTEDUCTILE;FONTEDUCTILE20102020
25;125;01/01/2010;FONTEDUCTILE;FONTEDUCTILE20102020
26;125;01/01/2010;FONTEDUCTILE;FONTEDUCTILE20102020
27;125;01/01/2010;FONTEDUCTILE;FONTEDUCTILE20102020
28;125;01/01/2010;FONTEDUCTILE;FONTEDUCTILE20102020
29;125;01/01/2010;FONTEDUCTILE;FONTEDUCTILE20102020
30;125;01/01/2010;FONTEDUCTILE;FONTEDUCTILE20102020
31;125;01/01/2010;FONTEDUCTILE;FONTEDUCTILE20102020
32;125;01/01/2010;FONTEDUCTILE;FONTEDUCTILE20102020
33;125;01/01/2010;FONTEDUCTILE;FONTEDUCTILE20102020
34;125;01/01/2010;FONTEDUCTILE;FONTEDUCTILE20102020
35;125;01/01/2010;FONTEDUCTILE;FONTEDUCTILE20102020
36;125;01/01/2010;FONTEDUCTILE;FONTEDUCTILE20102020
37;125;01/01/2010;FONTEDUCTILE;FONTEDUCTILE20102020
38;125;01/01/2010;FONTEDUCTILE;FONTEDUCTILE20102020
39;125;01/01/2010;FONTEDUCTILE;FONTEDUCTILE20102020
40;125;01/01/2010;FONTEDUCTILE;FONTEDUCTILE20102020
41;125;01/01/2010;FONTEDUCTILE;FONTEDUCTILE20102020
42;125;01/01/2010;FONTEDUCTILE;FONTEDUCTILE20102020
43;150;01/01/2010;FONTEDUCTILE;FONTEDUCTILE20102020
44;60;01/01/2002;ACIER;ACIER19802020
45;60;01/01/2002;ACIER;ACIER19802020
46;60;01/01/2002;ACIER;ACIER19802020
47;60;01/01/2002;ACIER;ACIER19802020
48;60;01/01/2002;ACIER;ACIER19802020
49;60;01/01/2002;ACIER;ACIER19802020
50;60;01/01/2002;ACIER;ACIER19802020
51;100;01/01/1964;FONTEDUCTILE;FONTEDUCTILE19511966
52;100;01/01/1990;FONTEDUCTILE;FONTEDUCTILE19902000
53;100;01/01/1990;FONTEDUCTILE;FONTEDUCTILE19902000
54;100;01/01/1990;FONTEDUCTILE;FONTEDUCTILE19902000
55;100;01/01/1990;FONTEDUCTILE;FONTEDUCTILE19902000
56;100;01/01/1990;FONTEDUCTILE;FONTEDUCTILE19902000
57;100;01/01/1990;FONTEDUCTILE;FONTEDUCTILE19902000
58;100;01/01/1990;FONTEDUCTILE;FONTEDUCTILE19902000
59;100;01/01/1990;FONTEDUCTILE;FONTEDUCTILE19902000
60;100;01/01/1990;FONTEDUCTILE;FONTEDUCTILE19902000
61;100;01/01/1990;FONTEDUCTILE;FONTEDUCTILE19902000
62;100;01/01/1990;FONTEDUCTILE;FONTEDUCTILE19902000
63;100;01/01/1990;FONTEDUCTILE;FONTEDUCTILE19902000
64;60;01/01/1990;ACIER;ACIER19802020
65;60;01/01/1990;ACIER;ACIER19802020
66;63;01/01/1990;PEHD;PEHD19581995
67;63;01/01/1990;PEHD;PEHD19581995
