IDT;DIAMETRE;DDP;MATERIAU;MATAGE
0;300;01/01/1896;FONTEGRISE;FONTEGRISE18001900
1;200;01/01/2002;FONTEDUCTILE;FONTEDUCTILE20002010
2;200;01/01/2002;FONTEDUCTILE;FONTEDUCTILE20002010
3;200;01/01/2002;FONTEDUCTILE;FONTEDUCTILE20002010
4;200;01/01/2002;FONTEDUCTILE;FONTEDUCTILE20002010
5;200;01/01/2002;FONTEDUCTILE;FONTEDUCTILE20002010
6;200;01/01/2002;FONTEDUCTILE;FONTEDUCTILE20002010
7;200;01/01/2002;FONTEDUCTILE;FONTEDUCTILE20002010
8;150;01/01/1977;FONTEDUCTILE;FONTEDUCTILE19661980
9;150;01/01/1977;FONTEDUCTILE;FONTEDUCTILE19661980
10;125;01/01/1986;FONTEDUCTILE;FONTEDUCTILE19801990
11;125;01/01/1986;FONTEDUCTILE;FONTEDUCTILE19801990
12;125;01/01/1986;FONTEDUCTILE;FONTEDUCTILE19801990
13;125;01/01/1986;FONTEDUCTILE;FONTEDUCTILE19801990
14;125;01/01/1986;FONTEDUCTILE;FONTEDUCTILE19801990
15;125;01/01/1986;FONTEDUCTILE;FONTEDUCTILE19801990
16;125;01/01/1986;FONTEDUCTILE;FONTEDUCTILE19801990
17;125;01/01/1986;FONTEDUCTILE;FONTEDUCTILE19801990
18;125;01/01/1986;FONTEDUCTILE;FONTEDUCTILE19801990
19;125;01/01/1986;FONTEDUCTILE;FONTEDUCTILE19801990
20;125;01/01/1986;FONTEDUCTILE;FONTEDUCTILE19801990
21;125;01/01/1986;FONTEDUCTILE;FONTEDUCTILE19801990
22;125;01/01/1986;FONTEDUCTILE;FONTEDUCTILE19801990
23;125;01/01/1986;FONTEDUCTILE;FONTEDUCTILE19801990
24;125;01/01/1986;FONTEDUCTILE;FONTEDUCTILE19801990
25;125;01/01/1986;FONTEDUCTILE;FONTEDUCTILE19801990
26;125;01/01/1986;FONTEDUCTILE;FONTEDUCTILE19801990
27;125;01/01/1986;FONTEDUCTILE;FONTEDUCTILE19801990
28;125;01/01/1986;FONTEDUCTILE;FONTEDUCTILE19801990
29;125;01/01/1986;FONTEDUCTILE;FONTEDUCTILE19801990
30;125;01/01/1986;FONTEDUCTILE;FONTEDUCTILE19801990
31;125;01/01/1986;FONTEDUCTILE;FONTEDUCTILE19801990
32;125;01/01/1986;FONTEDUCTILE;FONTEDUCTILE19801990
33;125;01/01/1986;FONTEDUCTILE;FONTEDUCTILE19801990
34;125;01/01/1986;FONTEDUCTILE;FONTEDUCTILE19801990
35;125;01/01/1986;FONTEDUCTILE;FONTEDUCTILE19801990
36;125;01/01/1986;FONTEDUCTILE;FONTEDUCTILE19801990
37;125;01/01/1986;FONTEDUCTILE;FONTEDUCTILE19801990
38;125;01/01/1986;FONTEDUCTILE;FONTEDUCTILE19801990
39;125;01/01/1986;FONTEDUCTILE;FONTEDUCTILE19801990
40;125;01/01/1986;FONTEDUCTILE;FONTEDUCTILE19801990
41;125;01/01/1986;FONTEDUCTILE;FONTEDUCTILE19801990
42;125;01/01/1986;FONTEDUCTILE;FONTEDUCTILE19801990
43;125;01/01/1986;FONTEDUCTILE;FONTEDUCTILE19801990
