IDTC;DDCC
5952;18/08/2014
3642;17/09/2014
5690;13/11/2014
6927;19/11/2014
6651;14/03/2011
13406;04/04/2011
15346;27/07/2011
4225;03/03/2011
1347;03/01/2011
4223;01/04/2011
1310;15/04/2011
6723;09/02/2011
6723;29/03/2011
4035;30/09/2011
8363;11/10/2011
1163;22/09/2011
2143;16/11/2011
2090;16/11/2011
12459;13/02/2012
8702;03/02/2012
3610;11/01/2012
2143;24/02/2012
6762;20/03/2012
10413;14/09/2012
2824;12/12/2012
112;03/02/2013
10410;04/04/2013
3989;18/12/2013
12651;28/04/2014
10033;02/10/2014
5850;12/10/2014
4155;01/11/2014
9146;18/11/2014
3786;16/12/2014
6925;29/12/2014
4307;23/01/2015
2344;28/07/2015
1115;05/08/2015
12446;27/11/2015
10641;20/01/2016
5710;05/02/2016
7945;09/02/2016
1755;18/05/2016
2087;04/09/2015
4301;04/02/2016
4993;17/07/2014
13744;20/02/2014
2799;15/01/2014
10515;30/09/2016
10385;18/11/2013
12957;16/11/2012
6271;15/05/2012
14074;29/10/2012
8705;03/03/2012
12462;15/02/2012
11679;07/05/2012
9746;23/01/2013
6862;29/01/2013
11375;14/10/2013
9229;27/10/2013
10582;30/10/2013
7441;31/10/2013
8802;13/11/2013
14031;16/12/2013
13043;27/02/2012
4137;12/03/2012
14031;12/06/2012
14073;28/10/2012
12957;14/11/2012
7870;07/02/2011
7428;03/05/2011
7758;19/07/2011
6863;09/09/2011
16371;01/05/2011
14741;12/01/2011
15245;18/07/2011
16899;07/09/2011
16053;19/11/2011
15741;24/11/2011
16053;23/12/2011
15625;07/02/2012
15793;09/01/2012
15312;22/07/2012
15383;13/12/2012
15382;13/12/2012
16048;06/12/2012
15963;11/01/2013
16047;21/01/2013
14452;25/02/2013
15628;23/02/2013
16522;13/03/2013
14860;02/04/2013
15625;01/03/2013
1592;14/05/2013
15055;24/07/2013
10395;18/11/2013
1623;13/10/2013
16697;20/09/2014
15568;11/04/2016
16695;16/08/2016
15761;30/08/2016
14972;22/02/2016
1623;17/06/2014
16070;25/04/2006
16373;04/07/2006
7191;15/07/2006
2671;17/07/2006
10539;08/08/2006
12050;21/08/2006
3073;06/09/2006
2913;26/09/2006
10512;28/09/2006
16744;07/10/2006
16456;08/11/2006
6502;10/11/2006
5606;28/11/2006
8856;28/12/2006
15755;17/01/2007
15004;17/01/2007
15754;18/01/2007
15039;01/02/2007
15004;05/02/2007
14387;15/02/2007
16793;15/02/2007
15026;12/04/2007
15038;12/04/2007
15031;12/04/2007
6725;27/04/2007
6728;30/05/2007
5701;20/06/2007
9144;04/07/2007
15756;02/08/2007
9903;23/10/2007
11571;01/11/2007
15313;04/11/2007
8894;15/11/2007
12166;17/11/2007
6051;23/11/2007
8543;07/01/2008
14740;28/01/2008
7180;27/02/2008
9229;27/03/2008
254;02/04/2008
16440;25/06/2008
16440;25/06/2008
9232;10/07/2008
1735;28/08/2008
16237;10/10/2008
16117;10/10/2008
16117;10/10/2008
9901;14/12/2008
968;07/01/2009
14818;16/01/2009
4662;20/01/2009
16165;23/02/2009
15874;27/02/2009
16374;19/03/2009
11428;24/03/2009
15277;03/04/2009
12041;22/05/2009
15761;08/06/2009
3309;27/07/2009
4661;28/07/2009
15871;25/08/2009
5710;07/09/2009
9783;09/10/2009
3980;12/11/2009
15757;18/11/2009
11357;18/12/2009
14443;29/12/2009
775;10/01/2010
16695;12/01/2010
4367;13/01/2010
12038;19/01/2010
4665;01/02/2010
15386;04/02/2010
2103;11/02/2010
5678;15/02/2010
16370;18/02/2010
5506;19/02/2010
622;27/04/2010
16373;08/06/2010
16373;09/06/2010
2813;21/06/2010
10408;28/06/2010
10389;02/07/2010
16811;22/07/2010
9902;26/07/2010
7942;02/08/2010
612;04/08/2010
601;04/08/2010
607;05/08/2010
16371;07/08/2010
10398;26/08/2010
16398;07/09/2010
16811;28/09/2010
1172;30/09/2010
16512;13/10/2010
16511;13/10/2010
16512;13/10/2010
11407;13/10/2010
9087;20/10/2010
3385;22/10/2010
10660;15/12/2010
