IDTC;DDCC
3481;26/07/2017
10357;02/08/2017
16293;04/08/2017
10357;31/08/2017
10357;22/09/2017
4437;27/10/2017
15612;04/01/2010
10487;10/01/2010
16057;13/01/2010
7046;13/01/2010
14563;14/01/2010
24439;19/01/2010
7046;28/01/2010
16231;11/02/2010
22185;12/02/2010
16231;16/02/2010
16231;04/03/2010
5610;22/05/2010
11469;28/06/2010
7663;30/06/2010
245;17/07/2010
17159;22/07/2010
18537;28/07/2010
11399;28/09/2010
19226;30/11/2010
11931;30/12/2010
11154;08/12/2010
11538;11/12/2010
17642;01/12/2010
19592;19/12/2010
14228;21/12/2010
16571;27/12/2010
17642;02/01/2010
7371;09/01/2010
10723;14/01/2010
2178;04/02/2010
12011;23/10/2010
16593;09/11/2010
10251;02/04/2010
10628;16/11/2010
4296;30/11/2010
21587;19/10/2010
15548;10/11/2010
18349;04/12/2012
20356;27/11/2012
19734;15/10/2012
7362;09/10/2012
16050;01/09/2012
23230;27/08/2012
15455;25/07/2012
21962;05/06/2012
17159;02/05/2012
6064;13/04/2012
22870;27/02/2012
6062;21/02/2012
17939;15/02/2012
12401;10/02/2012
25;02/02/2012
23114;31/01/2012
3705;11/10/2012
1466;26/12/2012
10368;01/09/2012
9568;28/03/2012
25199;07/11/2012
7371;08/10/2012
2170;19/09/2012
2170;28/07/2012
10734;26/07/2012
10734;25/07/2012
10767;10/05/2012
6431;13/02/2012
1780;05/02/2012
10146;10/02/2012
3795;24/01/2013
17939;28/01/2013
19825;30/01/2013
17634;31/01/2013
3753;05/02/2013
25051;06/02/2013
13055;25/02/2013
16231;18/03/2013
1561;19/03/2013
19725;26/03/2013
6575;04/04/2013
6538;09/04/2013
12332;03/05/2013
24171;06/05/2013
14618;21/05/2013
21823;25/06/2013
15401;25/06/2013
3018;05/08/2013
3578;24/09/2013
20389;24/09/2013
16593;25/11/2013
12216;03/12/2013
14961;30/12/2013
19734;04/02/2014
7362;19/02/2014
17101;11/04/2014
18319;03/06/2014
23848;27/06/2014
5508;29/06/2014
14563;30/06/2014
3;21/09/2014
23848;21/09/2014
19148;28/09/2014
14563;29/10/2014
11931;07/11/2014
15241;10/11/2014
11945;13/11/2014
13480;08/12/2014
13480;12/12/2014
13303;13/12/2014
6172;17/06/2014
3129;27/09/2014
6163;27/09/2014
16571;03/06/2014
16571;20/06/2014
7371;14/02/2014
10252;09/07/2014
24171;12/08/2014
15894;03/01/2015
23116;23/01/2015
13480;03/02/2015
1667;07/02/2015
18319;17/02/2015
17029;18/02/2015
14571;23/03/2015
14819;27/03/2015
20530;13/04/2015
23772;17/04/2015
18319;20/04/2015
21308;22/04/2015
17126;15/05/2015
12384;26/06/2015
18659;11/08/2015
9610;13/08/2015
245;02/09/2015
18319;04/09/2015
16363;10/09/2015
17311;27/09/2015
8;02/12/2015
674;14/12/2015
20721;17/12/2015
18659;11/08/2015
9610;13/08/2015
245;02/09/2015
18319;04/09/2015
16363;10/09/2015
17311;27/09/2015
8;02/12/2015
674;14/12/2015
20721;17/12/2015
14101;05/06/2017
6630;29/05/2017
16431;17/05/2017
12380;12/05/2017
20990;15/05/2017
16744;09/02/2017
12521;08/02/2017
15894;01/02/2017
13850;23/01/2017
6520;21/01/2017
22518;06/01/2016
11452;06/01/2016
6093;26/01/2016
9405;02/03/2016
24204;15/04/2016
5239;01/01/2016
15894;01/01/2016
22411;04/07/2016
19109;02/05/2017
6068;31/07/2016
24923;30/08/2016
10734;23/12/2016
16867;29/12/2016
4118;02/01/2017
21585;14/10/2016
20321;20/10/2016
2461;02/12/2016
21337;04/12/2016
6193;11/12/2016
10734;21/12/2016
16867;01/01/2016
12702;15/09/2017
