IDT;DIAMETRE;DDP;MATERIAU;MATAGE
0;100;01/01/1930;FONTEGRISE;FONTEGRISE19301940
1;100;01/01/1930;FONTEGRISE;FONTEGRISE19301940
2;100;01/01/1930;FONTEGRISE;FONTEGRISE19301940
3;100;01/01/1930;FONTEGRISE;FONTEGRISE19301940
4;100;01/01/1930;FONTEGRISE;FONTEGRISE19301940
5;100;01/01/1930;FONTEGRISE;FONTEGRISE19301940
6;100;01/01/1930;FONTEGRISE;FONTEGRISE19301940
7;100;01/01/1930;FONTEGRISE;FONTEGRISE19301940
8;100;01/01/1930;FONTEGRISE;FONTEGRISE19301940
9;100;01/01/1930;FONTEGRISE;FONTEGRISE19301940
10;100;01/01/1930;FONTEGRISE;FONTEGRISE19301940
11;100;01/01/1970;FONTEDUCTILE;FONTEDUCTILE19661980
12;100;01/01/1970;FONTEDUCTILE;FONTEDUCTILE19661980
13;100;01/01/1970;FONTEDUCTILE;FONTEDUCTILE19661980
14;100;01/01/1970;FONTEDUCTILE;FONTEDUCTILE19661980
15;100;01/01/1970;FONTEDUCTILE;FONTEDUCTILE19661980
16;100;01/01/1970;FONTEDUCTILE;FONTEDUCTILE19661980
17;100;01/01/1970;FONTEDUCTILE;FONTEDUCTILE19661980
18;100;01/01/1970;FONTEDUCTILE;FONTEDUCTILE19661980
19;100;01/01/1970;FONTEDUCTILE;FONTEDUCTILE19661980
20;100;01/01/1970;FONTEDUCTILE;FONTEDUCTILE19661980
21;100;01/01/1970;FONTEDUCTILE;FONTEDUCTILE19661980
22;100;01/01/1970;FONTEDUCTILE;FONTEDUCTILE19661980
23;100;01/01/1970;FONTEDUCTILE;FONTEDUCTILE19661980
24;100;01/01/1970;FONTEDUCTILE;FONTEDUCTILE19661980
25;100;01/01/1970;FONTEDUCTILE;FONTEDUCTILE19661980
26;100;01/01/1970;FONTEDUCTILE;FONTEDUCTILE19661980
27;100;01/01/1970;FONTEDUCTILE;FONTEDUCTILE19661980
28;100;01/01/1970;FONTEDUCTILE;FONTEDUCTILE19661980
29;100;01/01/1970;FONTEDUCTILE;FONTEDUCTILE19661980
30;100;01/01/1970;FONTEDUCTILE;FONTEDUCTILE19661980
31;100;01/01/1970;FONTEDUCTILE;FONTEDUCTILE19661980
32;100;01/01/1970;FONTEDUCTILE;FONTEDUCTILE19661980
33;100;01/01/1970;FONTEDUCTILE;FONTEDUCTILE19661980
34;100;01/01/1970;FONTEDUCTILE;FONTEDUCTILE19661980
35;100;01/01/1970;FONTEDUCTILE;FONTEDUCTILE19661980
36;100;01/01/1970;FONTEDUCTILE;FONTEDUCTILE19661980
37;100;01/01/1970;FONTEDUCTILE;FONTEDUCTILE19661980
38;100;01/01/1996;FONTEDUCTILE;FONTEDUCTILE19902000
39;100;01/01/1996;FONTEDUCTILE;FONTEDUCTILE19902000
40;100;01/01/1996;FONTEDUCTILE;FONTEDUCTILE19902000
41;100;01/01/1958;FONTEGRISE;FONTEGRISE19401970
42;100;01/01/1958;FONTEGRISE;FONTEGRISE19401970
43;100;01/01/1958;FONTEGRISE;FONTEGRISE19401970
44;100;01/01/1958;FONTEGRISE;FONTEGRISE19401970
45;100;01/01/1958;FONTEGRISE;FONTEGRISE19401970
46;100;01/01/1958;FONTEGRISE;FONTEGRISE19401970
47;100;01/01/1977;FONTEDUCTILE;FONTEDUCTILE19661980
48;100;01/01/1962;FONTEGRISE;FONTEGRISE19401970
49;100;01/01/1962;FONTEGRISE;FONTEGRISE19401970
50;100;01/01/1962;FONTEGRISE;FONTEGRISE19401970
51;100;01/01/1962;FONTEGRISE;FONTEGRISE19401970
52;100;01/01/1962;FONTEGRISE;FONTEGRISE19401970
53;100;01/01/1962;FONTEGRISE;FONTEGRISE19401970
54;100;01/01/1962;FONTEGRISE;FONTEGRISE19401970
55;60;01/01/2009;FONTEDUCTILE;FONTEDUCTILE20002010
56;60;01/01/2009;FONTEDUCTILE;FONTEDUCTILE20002010
57;150;01/01/1968;FONTEGRISE;FONTEGRISE19401970
58;150;01/01/1968;FONTEGRISE;FONTEGRISE19401970
59;150;01/01/1968;FONTEGRISE;FONTEGRISE19401970
60;150;01/01/1968;FONTEGRISE;FONTEGRISE19401970
61;150;01/01/1968;FONTEGRISE;FONTEGRISE19401970
62;150;01/01/1968;FONTEGRISE;FONTEGRISE19401970
63;150;01/01/1968;FONTEGRISE;FONTEGRISE19401970
64;150;01/01/1968;FONTEGRISE;FONTEGRISE19401970
65;150;01/01/1968;FONTEGRISE;FONTEGRISE19401970
66;150;01/01/1968;FONTEGRISE;FONTEGRISE19401970
67;150;01/01/1968;FONTEGRISE;FONTEGRISE19401970
68;150;01/01/1968;FONTEGRISE;FONTEGRISE19401970
69;150;01/01/1968;FONTEGRISE;FONTEGRISE19401970
70;150;01/01/1968;FONTEGRISE;FONTEGRISE19401970
71;150;01/01/1968;FONTEGRISE;FONTEGRISE19401970
