IDTC;DDCC
73122;04/07/2001
57825;09/11/2001
57826;21/12/2001
73158;29/12/2001
47885;31/01/2002
47455;24/02/2003
47413;07/04/2003
47415;09/07/2003
62984;31/07/2003
73115;12/08/2003
73158;09/10/2003
73136;25/10/2003
57813;09/11/2003
57670;12/11/2003
57826;09/12/2004
57820;04/02/2005
73105;11/03/2005
57672;03/01/2006
66481;16/02/2006
34152;05/07/2001
59587;12/12/2001
9389;13/02/2002
9391;14/02/2002
9396;14/02/2002
5764;09/05/2001
38534;12/05/2001
36210;12/09/2002
36208;03/01/2003
4738;06/01/2003
61870;13/01/2003
37344;17/01/2003
37807;16/02/2003
36883;11/12/2003
2813;28/01/2004
36134;30/01/2004
36228;24/12/2004
37282;29/01/2005
1483;09/03/2005
65036;30/03/2005
38534;19/06/2005
38435;10/08/2005
36132;14/12/2005
37127;27/12/2005
9851;03/05/2001
9853;03/05/2001
21417;06/12/2001
45408;24/12/2002
71009;04/01/2003
16974;06/08/2003
21416;27/01/2004
16308;14/02/2006
46658;28/05/2001
45686;01/06/2001
45686;05/08/2001
15449;04/03/2002
45068;16/04/2002
43529;06/07/2002
46654;17/02/2003
44809;12/06/2003
45115;24/08/2004
45441;03/02/2005
45686;31/12/2005
39048;27/08/2005
27957;24/01/2001
48371;22/11/2001
41423;25/06/2002
41415;26/09/2002
41460;11/02/2003
70566;29/04/2003
20608;15/05/2003
43620;23/07/2003
43760;16/09/2003
43713;19/09/2003
31851;15/01/2004
41533;03/03/2004
63841;08/03/2004
20792;15/10/2004
15846;18/11/2004
68404;05/01/2005
29083;30/01/2005
43385;14/08/2005
29083;15/12/2005
62783;10/03/2006
62783;13/03/2006
26458;14/02/2001
27136;03/08/2001
26770;19/12/2001
26579;30/12/2001
27486;09/12/2002
26436;15/12/2002
26879;05/05/2004
26375;02/09/2004
72285;27/01/2005
43704;17/01/2006
43744;16/02/2006
24852;17/01/2001
49067;08/02/2001
50382;27/07/2001
51055;06/08/2001
24869;14/09/2001
56076;10/12/2001
50010;20/12/2001
54151;21/12/2001
49764;23/12/2001
56072;07/01/2002
49887;20/01/2003
24712;24/01/2003
50381;07/05/2003
49648;26/05/2003
47377;02/06/2003
4060;23/06/2003
51054;11/08/2003
49343;16/08/2003
4059;31/08/2003
49950;28/10/2003
49479;09/12/2003
49950;23/05/2004
51055;17/08/2004
66718;25/09/2004
51285;24/01/2005
50761;30/04/2005
50379;09/06/2005
48421;07/07/2005
51281;11/08/2005
49950;31/12/2005
64902;10/07/2001
35512;14/09/2001
23184;30/10/2001
25491;14/11/2001
24973;09/11/2002
9877;29/01/2003
23205;21/10/2003
22713;03/09/2004
9948;01/02/2005
25191;14/02/2005
25269;26/07/2005
23205;14/11/2005
