IDTC;DDCC
514;27/07/2017
5201;04/07/2017
9787;15/02/2017
21630;07/08/2017
18698;26/07/2017
9662;01/08/2017
15606;23/06/2017
10088;05/12/2017
1897;29/05/2017
19883;21/03/2017
9421;02/01/2017
12096;18/08/2017
10751;05/05/2017
2742;18/04/2017
460;27/03/2017
20377;17/01/2017
5237;01/09/2017
12092;03/01/2017
6677;11/10/2016
11686;28/06/2016
11547;06/09/2014
13484;25/08/2016
13307;24/12/2015
13002;20/02/2015
13617;05/12/2014
51;22/03/2017
16839;07/04/2017
8629;13/11/2017
21293;08/11/2017
9429;23/05/2017
6944;17/03/2017
19883;21/03/2017
1097;30/09/2016
6576;20/01/2017
13663;28/07/2016
5925;29/04/2015
7436;28/10/2016
11917;20/01/2016
16512;05/08/2016
9421;02/01/2017
5327;09/12/2016
16532;10/08/2016
20377;17/01/2017
460;27/03/2017
8445;07/12/2016
2557;01/07/2016
16643;08/06/2016
12092;03/01/2017
4122;22/09/2016
1045;26/05/2016
9787;15/02/2017
19042;24/06/2016
5249;14/07/2016
2507;07/07/2016
15042;15/03/2016
17126;09/12/2016
20394;06/12/2016
