IDT;DIAMETRE;DDP;MATERIAU;MATAGE
0;63;01/01/1996;PEHD;PEHD19952020
1;63;01/01/1996;PEHD;PEHD19952020
2;63;01/01/1996;PEHD;PEHD19952020
3;63;01/01/1996;PEHD;PEHD19952020
4;63;01/01/1996;PEHD;PEHD19952020
5;63;01/01/1996;PEHD;PEHD19952020
6;63;01/01/1996;PEHD;PEHD19952020
7;63;01/01/1996;PEHD;PEHD19952020
8;63;01/01/1996;PEHD;PEHD19952020
9;63;01/01/1996;PEHD;PEHD19952020
10;63;01/01/1996;PEHD;PEHD19952020
11;200;01/01/1993;FONTEDUCTILE;FONTEDUCTILE19902000
12;200;01/01/1993;FONTEDUCTILE;FONTEDUCTILE19902000
13;200;01/01/1993;FONTEDUCTILE;FONTEDUCTILE19902000
14;200;01/01/1993;FONTEDUCTILE;FONTEDUCTILE19902000
15;200;01/01/1993;FONTEDUCTILE;FONTEDUCTILE19902000
16;200;01/01/1993;FONTEDUCTILE;FONTEDUCTILE19902000
17;200;01/01/1993;FONTEDUCTILE;FONTEDUCTILE19902000
18;200;01/01/1993;FONTEDUCTILE;FONTEDUCTILE19902000
19;200;01/01/1993;FONTEDUCTILE;FONTEDUCTILE19902000
20;200;01/01/1993;FONTEDUCTILE;FONTEDUCTILE19902000
21;200;01/01/1993;FONTEDUCTILE;FONTEDUCTILE19902000
22;200;01/01/1993;FONTEDUCTILE;FONTEDUCTILE19902000
23;200;01/01/1993;FONTEDUCTILE;FONTEDUCTILE19902000
24;200;01/01/1993;FONTEDUCTILE;FONTEDUCTILE19902000
25;200;01/01/1993;FONTEDUCTILE;FONTEDUCTILE19902000
26;200;01/01/1993;FONTEDUCTILE;FONTEDUCTILE19902000
27;200;01/01/1993;FONTEDUCTILE;FONTEDUCTILE19902000
28;200;01/01/1993;FONTEDUCTILE;FONTEDUCTILE19902000
29;200;01/01/1993;FONTEDUCTILE;FONTEDUCTILE19902000
30;200;01/01/1993;FONTEDUCTILE;FONTEDUCTILE19902000
31;200;01/01/1993;FONTEDUCTILE;FONTEDUCTILE19902000
32;200;01/01/1993;FONTEDUCTILE;FONTEDUCTILE19902000
33;200;01/01/1993;FONTEDUCTILE;FONTEDUCTILE19902000
34;200;01/01/1993;FONTEDUCTILE;FONTEDUCTILE19902000
35;200;01/01/1993;FONTEDUCTILE;FONTEDUCTILE19902000
36;200;01/01/1993;FONTEDUCTILE;FONTEDUCTILE19902000
37;200;01/01/1993;FONTEDUCTILE;FONTEDUCTILE19902000
38;200;01/01/1993;FONTEDUCTILE;FONTEDUCTILE19902000
39;200;01/01/1993;FONTEDUCTILE;FONTEDUCTILE19902000
40;200;01/01/1993;FONTEDUCTILE;FONTEDUCTILE19902000
41;200;01/01/1993;FONTEDUCTILE;FONTEDUCTILE19902000
42;200;01/01/1993;FONTEDUCTILE;FONTEDUCTILE19902000
43;200;01/01/1993;FONTEDUCTILE;FONTEDUCTILE19902000
44;200;01/01/1993;FONTEDUCTILE;FONTEDUCTILE19902000
45;200;01/01/1993;FONTEDUCTILE;FONTEDUCTILE19902000
46;200;01/01/1993;FONTEDUCTILE;FONTEDUCTILE19902000
47;200;01/01/1993;FONTEDUCTILE;FONTEDUCTILE19902000
48;200;01/01/1993;FONTEDUCTILE;FONTEDUCTILE19902000
49;200;01/01/1993;FONTEDUCTILE;FONTEDUCTILE19902000
50;60;01/01/1984;FONTEDUCTILE;FONTEDUCTILE19801990
51;60;01/01/1984;FONTEDUCTILE;FONTEDUCTILE19801990
52;60;01/01/1984;FONTEDUCTILE;FONTEDUCTILE19801990
53;60;01/01/1984;FONTEDUCTILE;FONTEDUCTILE19801990
54;60;01/01/1984;FONTEDUCTILE;FONTEDUCTILE19801990
55;150;01/01/1899;FONTEGRISE;FONTEGRISE18001900
56;150;01/01/1996;FONTEDUCTILE;FONTEDUCTILE19902000
57;150;01/01/1996;FONTEDUCTILE;FONTEDUCTILE19902000
58;150;01/01/1996;FONTEDUCTILE;FONTEDUCTILE19902000
59;150;01/01/1996;FONTEDUCTILE;FONTEDUCTILE19902000
60;150;01/01/1996;FONTEDUCTILE;FONTEDUCTILE19902000
61;90;01/01/1996;PVC;PVC19902020
62;150;01/01/1996;FONTEDUCTILE;FONTEDUCTILE19902000
63;150;01/01/1996;FONTEDUCTILE;FONTEDUCTILE19902000
64;150;01/01/1996;FONTEDUCTILE;FONTEDUCTILE19902000
65;150;01/01/1996;FONTEDUCTILE;FONTEDUCTILE19902000
66;150;01/01/1899;FONTEGRISE;FONTEGRISE18001900
