IDTC;DDCC
11719;01/11/1999
20459;01/01/2000
18637;01/10/1998
17539;01/10/1998
11244;01/10/1998
16178;01/10/2003
18941;01/10/1998
25837;01/11/1998
14620;01/12/1998
7573;01/02/2002
26090;01/03/1999
5473;01/08/1999
25032;01/09/1999
6318;01/11/1999
17364;01/02/2000
11694;01/01/2005
11719;01/05/2001
12535;01/07/2000
17961;01/09/2001
8652;01/05/2002
11725;01/08/2002
19187;01/08/2002
9741;01/01/2003
14131;01/02/2003
11302;01/02/2003
11725;01/09/2003
11323;01/10/2003
10894;01/10/2003
8387;01/11/1998
29253;01/02/1999
11879;01/03/1999
17366;01/03/1999
11846;01/04/1999
17724;01/04/1999
14649;01/05/1999
17244;01/11/1999
25009;01/03/2000
20825;01/05/2000
18102;01/07/2000
11371;01/01/2001
11475;01/01/2001
19709;01/01/2001
32052;01/04/2001
19367;01/08/2001
11749;01/09/2001
9056;01/09/2001
9150;01/09/2001
18809;01/11/2001
7648;01/11/2001
9665;01/12/2001
15614;01/12/2001
16199;01/02/2002
11324;01/02/2002
23413;01/03/2003
16202;01/04/2002
15377;01/04/2002
13051;01/09/2002
12584;01/09/2002
15118;01/12/2002
10597;01/12/2002
11754;01/01/2003
28869;01/04/2003
11706;01/05/2003
31442;01/07/2003
9177;01/08/2003
15671;01/10/2003
18097;01/10/2003
26959;01/10/2003
11129;03/01/2004
10898;11/02/2004
2010;21/02/2004
33259;24/02/2004
10877;02/03/2004
15565;01/03/2004
2012;28/04/2004
282;08/07/2004
28809;23/08/2004
21673;15/10/2004
18821;12/11/2004
5483;21/11/2004
18583;22/12/2004
17363;22/12/2004
20236;15/12/2004
18576;29/12/2004
12594;15/06/2005
5629;14/06/2005
16720;02/08/2005
20412;05/08/2005
25022;19/09/2005
22929;27/09/2005
5339;06/01/2006
12354;11/04/2007
5608;03/04/2007
23612;21/03/2007
9519;02/03/2007
28845;15/03/2007
30659;05/07/2007
23804;10/07/2006
11885;20/11/2007
27491;30/01/2007
9741;16/12/2007
23568;27/12/2007
285;24/12/2007
33261;27/02/2008
33258;22/05/2008
11700;08/07/2008
15829;01/11/1999
15781;01/06/2002
25031;01/07/2000
24687;13/06/2007
20606;15/12/2008
9665;03/01/2009
13541;07/01/2009
9785;10/12/2008
9793;12/01/2009
15589;08/01/2009
18962;14/01/2009
19178;01/08/2007
10256;04/02/2009
30089;19/01/2009
25126;14/05/2009
28869;29/01/2010
18557;22/01/2010
31441;12/02/2010
29852;06/12/2010
12492;03/02/2011
30658;01/07/2011
16914;16/11/2011
14012;31/01/2012
11306;21/02/2012
18145;20/02/2012
24449;26/05/2012
17801;09/11/2012
1834;11/11/2012
5180;08/01/2013
7859;06/03/2013
31838;07/03/2013
7790;07/08/2013
11766;14/10/2013
9519;22/11/2013
19317;23/11/2013
25015;18/11/2013
16059;08/09/2014
24451;23/10/2014
11842;06/12/2014
16922;19/12/2014
28870;05/01/2015
1979;07/08/2015
5484;12/08/2015
18952;12/08/2015
20312;21/08/2015
29840;04/11/2015
29285;25/01/2016
