IDT;DIAMETRE;DDP;MATERIAU;MATAGE
0;0;01/01/1961;FONTEGRISE;FONTEGRISE19401970
1;0;01/01/1961;FONTEGRISE;FONTEGRISE19401970
2;150;01/01/1982;FONTEDUCTILE;FONTEDUCTILE19801990
3;150;01/01/1982;FONTEDUCTILE;FONTEDUCTILE19801990
4;150;01/01/1982;FONTEDUCTILE;FONTEDUCTILE19801990
5;150;01/01/1982;FONTEDUCTILE;FONTEDUCTILE19801990
6;150;01/01/1982;FONTEDUCTILE;FONTEDUCTILE19801990
7;150;01/01/1982;FONTEDUCTILE;FONTEDUCTILE19801990
8;150;01/01/1982;FONTEDUCTILE;FONTEDUCTILE19801990
9;150;01/01/1982;FONTEDUCTILE;FONTEDUCTILE19801990
10;150;01/01/1982;FONTEDUCTILE;FONTEDUCTILE19801990
11;150;01/01/1982;FONTEDUCTILE;FONTEDUCTILE19801990
12;150;01/01/1982;FONTEDUCTILE;FONTEDUCTILE19801990
13;150;01/01/1982;FONTEDUCTILE;FONTEDUCTILE19801990
14;150;01/01/1982;FONTEDUCTILE;FONTEDUCTILE19801990
15;150;01/01/1982;FONTEDUCTILE;FONTEDUCTILE19801990
16;150;01/01/1982;FONTEDUCTILE;FONTEDUCTILE19801990
17;150;01/01/1982;FONTEDUCTILE;FONTEDUCTILE19801990
18;150;01/01/1982;FONTEDUCTILE;FONTEDUCTILE19801990
19;80;01/01/2003;FONTEDUCTILE;FONTEDUCTILE20002010
20;80;01/01/2003;FONTEDUCTILE;FONTEDUCTILE20002010
21;80;01/01/2003;FONTEDUCTILE;FONTEDUCTILE20002010
22;80;01/01/2003;FONTEDUCTILE;FONTEDUCTILE20002010
23;80;01/01/2003;FONTEDUCTILE;FONTEDUCTILE20002010
24;80;01/01/2003;FONTEDUCTILE;FONTEDUCTILE20002010
25;80;01/01/2003;FONTEDUCTILE;FONTEDUCTILE20002010
26;80;01/01/2003;FONTEDUCTILE;FONTEDUCTILE20002010
27;80;01/01/2003;FONTEDUCTILE;FONTEDUCTILE20002010
28;80;01/01/2003;FONTEDUCTILE;FONTEDUCTILE20002010
29;80;01/01/2003;FONTEDUCTILE;FONTEDUCTILE20002010
30;80;01/01/2003;FONTEDUCTILE;FONTEDUCTILE20002010
31;80;01/01/2003;FONTEDUCTILE;FONTEDUCTILE20002010
32;150;01/01/1980;PVC;PVC19701990
33;150;01/01/1980;PVC;PVC19701990
34;150;01/01/1980;PVC;PVC19701990
35;150;01/01/1980;PVC;PVC19701990
