IDTC;DDCC
4840;23/09/2003
4835;27/07/2004
8844;19/10/2004
10443;08/11/2004
11338;04/01/2005
10128;04/01/2005
11619;19/01/2005
11030;04/02/2005
9946;15/03/2005
7164;17/03/2005
10588;08/04/2005
8778;12/05/2005
10353;03/05/2005
9379;09/07/2005
11267;25/07/2005
4246;01/08/2005
4968;12/08/2005
7103;01/09/2005
13815;22/11/2005
4860;01/11/2005
5631;09/01/2006
5631;18/01/2006
9767;11/03/2006
5463;15/01/2006
4246;27/04/2006
13882;28/03/2006
8831;30/07/2006
8089;02/08/2006
10895;11/08/2006
7808;04/10/2006
10895;31/10/2006
14439;08/01/2007
11223;09/01/2007
6017;07/02/2007
7926;09/02/2007
5272;13/02/2007
5954;15/02/2007
7270;02/04/2007
7291;05/04/2007
4571;04/05/2007
11281;09/05/2007
9386;21/05/2007
14495;25/06/2007
10464;23/07/2007
14318;23/07/2007
5634;27/07/2007
11133;08/08/2007
5607;15/09/2007
12459;07/10/2007
12459;08/10/2007
5607;28/09/2007
5255;15/11/2007
9676;21/11/2007
9331;03/12/2007
1914;03/12/2007
5143;26/12/2007
10853;26/12/2007
14492;11/01/2008
2095;14/02/2008
4668;05/03/2008
8115;17/03/2008
4666;17/03/2008
4852;31/03/2008
7883;16/04/2008
8093;21/04/2008
8113;24/04/2008
6753;05/05/2008
1986;15/05/2008
1968;15/05/2008
3378;28/05/2008
13867;31/05/2008
13037;05/06/2008
6236;21/05/2008
12600;10/06/2008
9195;29/07/2008
9195;29/07/2008
1918;05/08/2008
778;17/09/2008
9676;22/09/2008
1495;20/10/2008
3139;10/10/2008
576;11/10/2008
4843;12/11/2008
12259;14/11/2008
8115;11/12/2008
8115;15/12/2008
366;13/12/2008
2016;06/01/2009
14533;13/01/2009
7096;14/01/2009
8763;15/01/2009
12753;20/01/2009
7224;22/01/2009
5209;22/01/2009
4052;28/01/2009
10049;09/02/2009
7291;09/02/2009
8318;26/02/2009
8358;14/03/2009
11248;14/04/2009
3026;11/05/2009
7921;11/05/2009
8003;28/05/2009
10160;01/06/2009
2064;18/06/2009
1986;02/07/2009
13875;10/07/2009
14496;31/07/2009
6459;30/07/2009
8831;12/09/2009
13046;05/05/2009
9369;17/10/2009
14205;22/10/2009
1972;22/10/2009
7992;16/11/2009
3789;23/11/2009
6101;02/11/2009
10506;04/11/2009
11342;14/12/2009
10503;16/12/2009
10890;11/01/2010
11691;19/01/2010
9199;19/01/2010
9113;19/01/2010
5202;27/01/2010
8110;23/12/2009
8115;05/02/2010
11238;04/02/2010
11277;17/02/2010
12593;04/03/2010
567;09/03/2010
2746;24/02/2010
6091;11/03/2010
4402;30/03/2010
9338;07/04/2010
11450;21/04/2010
10920;06/05/2010
9769;01/06/2010
4214;07/06/2010
10877;25/06/2010
10544;21/07/2010
9121;02/08/2010
14523;27/08/2010
8218;13/09/2010
14495;18/10/2010
8530;10/09/2010
7929;26/11/2010
6005;07/12/2010
10383;19/12/2010
3273;20/12/2010
12753;24/12/2010
3147;24/12/2010
1467;31/12/2010
14437;14/01/2011
7930;20/01/2011
14437;24/01/2011
5864;27/01/2011
8403;31/01/2011
5030;02/02/2011
10123;05/02/2011
2759;09/02/2011
5791;21/02/2011
5995;15/03/2011
14498;29/03/2011
1547;06/04/2011
12762;11/04/2011
6711;02/04/2011
5198;27/04/2011
3378;11/05/2011
6459;08/06/2011
249;08/06/2011
3048;20/06/2011
3048;20/06/2011
10454;21/06/2011
9122;27/06/2011
9857;30/06/2011
8361;09/07/2011
707;13/07/2011
7808;19/08/2011
14540;07/09/2011
9411;27/10/2011
9346;27/10/2011
8116;14/11/2011
10057;06/12/2011
13601;06/12/2011
3148;07/12/2011
12528;16/12/2011
1825;22/12/2011
7893;05/01/2012
13006;06/01/2012
357;16/01/2012
8262;11/01/2012
1986;17/01/2012
13713;20/01/2012
3769;30/01/2012
8265;06/02/2012
4654;17/02/2012
445;23/02/2012
13579;28/02/2012
8782;05/03/2012
7163;20/03/2012
7095;07/02/2012
5213;16/03/2012
11624;24/04/2012
10891;22/05/2012
6556;13/06/2012
5045;02/07/2012
10612;12/07/2012
8702;12/07/2012
4981;17/07/2012
5015;17/07/2012
4855;25/07/2012
5516;08/08/2012
5607;07/08/2012
5039;04/09/2012
4826;04/09/2012
7720;12/09/2012
3198;06/09/2012
10331;21/09/2012
4820;10/09/2012
