IDTC;DDCC
50288;01/09/2011
9987;09/08/2011
13463;03/11/2016
34387;19/10/2016
24581;24/10/2016
43920;10/11/2016
39043;31/10/2011
29044;21/10/2011
17731;16/08/2011
39033;17/11/2010
19660;25/05/2010
25309;21/05/2010
19950;14/03/2011
19435;04/03/2011
39239;04/11/2016
21575;09/11/2016
21533;16/09/2010
681;07/09/2010
39083;27/04/2011
19347;26/05/2011
33087;24/03/2011
33086;24/03/2011
44831;28/01/2011
29565;07/01/2010
29055;08/01/2010
27829;15/03/2010
27830;03/05/2010
49609;11/01/2010
49983;08/02/2010
27408;26/10/2010
29862;29/01/2010
20457;11/12/2012
26851;09/12/2012
29656;23/10/2012
29059;17/09/2012
39138;10/02/2017
55115;03/11/2012
29064;21/02/2011
29722;22/02/2011
22694;04/12/2012
13210;07/11/2012
14335;04/12/2012
35494;10/09/2012
11399;23/01/2017
41313;24/01/2017
14906;26/01/2017
26597;17/09/2012
55188;26/06/2012
55175;28/06/2012
9524;12/04/2012
11215;04/04/2012
40981;28/12/2016
46522;02/08/2012
2154;21/06/2012
25283;11/01/2017
37129;27/06/2012
14752;16/07/2012
16769;19/01/2012
28041;20/01/2012
43043;20/01/2012
31534;15/12/2016
20865;12/01/2017
36214;07/03/2012
20510;08/03/2012
42248;05/03/2012
34383;23/03/2012
17775;20/03/2014
17775;20/03/2014
1960;13/12/2013
21223;27/12/2013
12579;04/12/2013
43047;10/12/2013
26354;17/01/2014
32710;15/01/2014
29454;08/02/2012
23332;14/03/2014
23281;18/03/2014
30602;22/01/2014
37513;25/03/2014
356;24/09/2013
28783;31/07/2013
43732;30/09/2013
22010;01/10/2013
35936;15/01/2014
42952;07/10/2013
50583;02/10/2013
36362;03/10/2013
54069;15/07/2013
43412;16/07/2013
20156;27/03/2013
20156;27/03/2013
22559;26/03/2013
1876;13/05/2013
22010;01/10/2013
17787;12/07/2013
15117;28/06/2013
13631;09/07/2013
25553;26/07/2013
29053;01/03/2013
28687;04/03/2013
1710;28/12/2012
42247;16/01/2013
35466;17/12/2012
3173;30/01/2013
22007;01/03/2013
29053;28/02/2013
33597;08/02/2013
37292;19/02/2013
27046;12/03/2013
47916;14/03/2013
16327;24/09/2015
40922;04/09/2015
25055;22/01/2015
42824;01/08/2015
23281;10/08/2015
46968;07/09/2015
14479;28/10/2015
18782;23/10/2014
800;05/11/2014
26855;14/07/2015
50794;25/11/2014
50794;20/11/2014
11617;05/11/2014
50794;24/11/2014
19795;20/01/2015
48870;04/11/2014
17734;24/09/2014
13808;17/07/2014
27476;15/07/2014
42420;30/06/2014
34347;01/08/2014
48870;19/08/2014
42352;14/10/2014
23281;29/08/2014
35162;25/08/2014
29054;26/08/2014
54058;29/09/2014
54058;29/09/2014
42774;24/07/2014
37513;01/04/2014
32231;09/04/2014
37513;25/03/2014
37504;02/06/2014
54313;30/07/2014
54313;30/07/2014
39745;12/06/2014
37504;03/06/2014
35498;09/02/2011
37214;11/01/2011
11058;10/03/2011
8695;24/12/2010
32799;03/06/2010
35469;10/04/2014
9979;18/04/2014
25148;15/07/2010
50548;26/03/2012
19719;07/06/2016
32996;23/06/2016
11336;30/06/2016
32547;04/11/2010
55063;13/11/2014
10215;15/09/2010
42135;25/06/2016
21970;03/06/2016
14083;04/03/2016
54288;11/03/2016
22217;15/02/2016
50920;03/03/2016
16438;25/03/2016
26874;12/05/2016
21946;22/04/2016
22107;03/06/2016
36350;07/06/2016
21868;25/01/2016
25789;28/10/2015
26405;27/10/2015
26405;27/10/2015
26856;25/11/2015
37943;23/03/2016
41607;11/12/2015
7611;13/01/2016
30361;02/02/2016
3143;03/06/2010
30585;10/11/2015
29044;17/11/2015
3138;30/11/2011
45185;04/07/2009
3147;12/08/2009
45104;17/01/2007
54632;11/08/2008
54683;20/02/2008
2239;15/11/2008
21534;03/02/2014
21534;10/02/2014
14078;13/06/2013
31556;14/12/2016
43949;29/12/2016
27448;20/07/2016
51761;30/10/2015
2406;16/04/2015
45236;14/11/2013
3147;11/02/2011
6827;28/08/2017
6559;09/06/2017
51811;22/09/2017
6606;26/09/2017
6829;13/01/2017
4748;26/05/2016
51363;26/08/2016
51340;29/08/2016
44002;25/08/2016
31284;11/08/2010
26599;03/02/2010
36687;01/07/2011
32625;17/03/2011
51307;29/07/2016
45303;12/07/2016
4391;05/07/2016
34088;08/09/2010
50599;29/10/2010
50613;09/03/2011
33795;17/02/2011
26601;16/09/2010
8908;01/07/2010
14618;01/03/2011
39767;30/03/2010
42230;30/04/2010
41612;15/06/2011
37755;08/03/2011
32152;27/01/2011
32715;29/12/2010
46488;15/07/2010
17973;10/12/2009
11653;03/02/2010
26788;20/08/2010
39676;07/08/2010
40721;06/01/2011
41915;15/11/2010
14587;19/09/2016
49399;21/09/2016
14650;14/09/2016
26171;28/09/2016
47598;01/04/2010
50930;09/02/2011
40988;26/01/2011
41284;16/09/2010
1609;28/09/2016
1609;26/09/2016
16405;16/07/2010
42277;14/09/2016
12863;08/09/2016
38409;03/08/2016
41323;02/08/2016
40565;03/10/2016
39963;23/09/2016
2149;27/09/2016
52576;21/10/2016
40461;08/09/2016
14684;21/10/2016
33201;05/12/2016
26164;29/11/2016
40334;28/11/2016
41001;27/09/2011
16901;28/10/2011
48893;24/08/2016
16942;06/12/2016
