IDT;DIAMETRE;DDP;MATERIAU;MATAGE
0;50;01/01/1990;PVC;PVC19902020
1;50;01/01/1990;PVC;PVC19902020
2;50;01/01/1990;PVC;PVC19902020
3;50;01/01/1990;PVC;PVC19902020
4;50;01/01/1990;PVC;PVC19902020
5;50;01/01/1990;PVC;PVC19902020
6;50;01/01/1990;PVC;PVC19902020
7;50;01/01/1990;PVC;PVC19902020
8;50;01/01/1990;PVC;PVC19902020
9;50;01/01/1990;PVC;PVC19902020
10;50;01/01/1990;PVC;PVC19902020
11;50;01/01/1990;PVC;PVC19902020
12;50;01/01/1990;PVC;PVC19902020
13;50;01/01/1990;PVC;PVC19902020
14;50;01/01/1990;PVC;PVC19902020
15;50;01/01/1990;PVC;PVC19902020
16;50;01/01/1990;PVC;PVC19902020
17;50;01/01/1990;PVC;PVC19902020
18;50;01/01/1990;PVC;PVC19902020
19;50;01/01/1990;PVC;PVC19902020
20;50;01/01/1990;PVC;PVC19902020
21;50;01/01/1990;PVC;PVC19902020
22;50;01/01/1990;PVC;PVC19902020
23;50;01/01/1990;PVC;PVC19902020
24;50;01/01/1990;PVC;PVC19902020
25;50;01/01/1990;PVC;PVC19902020
26;50;01/01/1990;PVC;PVC19902020
27;50;01/01/1990;PVC;PVC19902020
28;50;01/01/1990;PVC;PVC19902020
29;50;01/01/1990;PVC;PVC19902020
30;50;01/01/1990;PVC;PVC19902020
31;50;01/01/1990;PVC;PVC19902020
32;50;01/01/1990;PVC;PVC19902020
33;50;01/01/1990;PVC;PVC19902020
34;100;01/01/2007;FONTEDUCTILE;FONTEDUCTILE20002010
35;100;01/01/2007;FONTEDUCTILE;FONTEDUCTILE20002010
36;100;01/01/2007;FONTEDUCTILE;FONTEDUCTILE20002010
37;100;01/01/2007;FONTEDUCTILE;FONTEDUCTILE20002010
38;100;01/01/2007;FONTEDUCTILE;FONTEDUCTILE20002010
39;100;01/01/2007;FONTEDUCTILE;FONTEDUCTILE20002010
40;100;01/01/2007;FONTEDUCTILE;FONTEDUCTILE20002010
41;100;01/01/2007;FONTEDUCTILE;FONTEDUCTILE20002010
42;100;01/01/2007;FONTEDUCTILE;FONTEDUCTILE20002010
43;100;01/01/2007;FONTEDUCTILE;FONTEDUCTILE20002010
44;100;01/01/2007;FONTEDUCTILE;FONTEDUCTILE20002010
45;100;01/01/2007;FONTEDUCTILE;FONTEDUCTILE20002010
46;100;01/01/2007;FONTEDUCTILE;FONTEDUCTILE20002010
47;100;01/01/2007;FONTEDUCTILE;FONTEDUCTILE20002010
48;100;01/01/2007;FONTEDUCTILE;FONTEDUCTILE20002010
49;100;01/01/2007;FONTEDUCTILE;FONTEDUCTILE20002010
50;100;01/01/2007;FONTEDUCTILE;FONTEDUCTILE20002010
51;100;01/01/2007;FONTEDUCTILE;FONTEDUCTILE20002010
52;100;01/01/2007;FONTEDUCTILE;FONTEDUCTILE20002010
53;100;01/01/2007;FONTEDUCTILE;FONTEDUCTILE20002010
54;100;01/01/2007;FONTEDUCTILE;FONTEDUCTILE20002010
55;100;01/01/2007;FONTEDUCTILE;FONTEDUCTILE20002010
56;100;01/01/2007;FONTEDUCTILE;FONTEDUCTILE20002010
57;100;01/01/2007;FONTEDUCTILE;FONTEDUCTILE20002010
58;100;01/01/2007;FONTEDUCTILE;FONTEDUCTILE20002010
59;100;01/01/2007;FONTEDUCTILE;FONTEDUCTILE20002010
60;50;01/01/1900;PVC;r
61;50;01/01/1900;PVC;r
62;50;01/01/1900;PVC;r
63;50;01/01/1900;PVC;r
64;50;01/01/1900;PVC;r
