IDT;DIAMETRE;DDP;MATERIAU;MATAGE
0;150;01/01/2003;FONTEDUCTILE;FONTEDUCTILE20002010
1;150;01/01/2003;FONTEDUCTILE;FONTEDUCTILE20002010
2;150;01/01/2003;FONTEDUCTILE;FONTEDUCTILE20002010
3;60;01/01/1965;BONNA;BONNA19651975
4;60;01/01/1965;BONNA;BONNA19651975
5;60;01/01/1965;BONNA;BONNA19651975
6;60;01/01/1965;BONNA;BONNA19651975
7;60;01/01/1965;BONNA;BONNA19651975
8;60;01/01/1965;BONNA;BONNA19651975
9;60;01/01/1965;BONNA;BONNA19651975
10;60;01/01/1965;BONNA;BONNA19651975
11;60;01/01/1965;BONNA;BONNA19651975
12;60;01/01/1965;BONNA;BONNA19651975
13;60;01/01/1965;BONNA;BONNA19651975
14;60;01/01/1965;BONNA;BONNA19651975
15;60;01/01/1965;BONNA;BONNA19651975
16;60;01/01/1965;BONNA;BONNA19651975
17;60;01/01/1965;BONNA;BONNA19651975
18;60;01/01/1965;BONNA;BONNA19651975
19;60;01/01/1965;BONNA;BONNA19651975
20;60;01/01/1965;BONNA;BONNA19651975
21;60;01/01/1965;BONNA;BONNA19651975
22;60;01/01/1965;BONNA;BONNA19651975
23;60;01/01/1965;BONNA;BONNA19651975
24;60;01/01/1965;BONNA;BONNA19651975
25;60;01/01/1965;BONNA;BONNA19651975
26;60;01/01/1965;BONNA;BONNA19651975
27;60;01/01/1965;BONNA;BONNA19651975
28;60;01/01/1965;BONNA;BONNA19651975
29;60;01/01/1965;BONNA;BONNA19651975
30;60;01/01/1965;BONNA;BONNA19651975
31;60;01/01/1965;BONNA;BONNA19651975
32;60;01/01/1965;BONNA;BONNA19651975
33;60;01/01/1965;BONNA;BONNA19651975
34;60;01/01/1965;BONNA;BONNA19651975
35;60;01/01/1965;BONNA;BONNA19651975
36;60;01/01/1965;BONNA;BONNA19651975
37;60;01/01/1965;BONNA;BONNA19651975
38;75;01/01/2004;PEHD;PEHD19952020
39;160;01/01/2003;PVC;PVC19902020
40;100;01/01/1975;BONNA;BONNA19752020
41;150;01/01/2003;FONTEDUCTILE;FONTEDUCTILE20002010
42;160;01/01/1990;PVC;PVC19902020
43;200;01/01/1974;FONTEDUCTILE;FONTEDUCTILE19661980
44;160;01/01/2003;PVC;PVC19902020
45;160;01/01/2003;PVC;PVC19902020
46;160;01/01/2003;PVC;PVC19902020
47;160;01/01/2003;PVC;PVC19902020
48;160;01/01/2003;PVC;PVC19902020
49;160;01/01/2003;PVC;PVC19902020
50;160;01/01/2003;PVC;PVC19902020
51;160;01/01/2003;PVC;PVC19902020
52;160;01/01/2003;PVC;PVC19902020
53;200;01/01/2003;PVC;PVC19902020
54;160;01/01/2003;PVC;PVC19902020
55;150;01/01/2003;FONTEDUCTILE;FONTEDUCTILE20002010
56;150;01/01/2003;FONTEDUCTILE;FONTEDUCTILE20002010
57;150;01/01/2003;FONTEDUCTILE;FONTEDUCTILE20002010
58;150;01/01/2003;FONTEDUCTILE;FONTEDUCTILE20002010
59;150;01/01/2003;FONTEDUCTILE;FONTEDUCTILE20002010
60;150;01/01/2003;FONTEDUCTILE;FONTEDUCTILE20002010
61;150;01/01/2003;FONTEDUCTILE;FONTEDUCTILE20002010
62;150;01/01/2003;FONTEDUCTILE;FONTEDUCTILE20002010
63;150;01/01/2003;FONTEDUCTILE;FONTEDUCTILE20002010
64;150;01/01/2003;FONTEDUCTILE;FONTEDUCTILE20002010
65;150;01/01/2003;FONTEDUCTILE;FONTEDUCTILE20002010
66;150;01/01/2003;FONTEDUCTILE;FONTEDUCTILE20002010
67;150;01/01/2003;FONTEDUCTILE;FONTEDUCTILE20002010
68;150;01/01/2003;FONTEDUCTILE;FONTEDUCTILE20002010
69;150;01/01/1970;FONTEDUCTILE;FONTEDUCTILE19661980
70;150;01/01/1970;FONTEDUCTILE;FONTEDUCTILE19661980
71;150;01/01/1977;FONTEDUCTILE;FONTEDUCTILE19661980
72;150;01/01/1977;FONTEDUCTILE;FONTEDUCTILE19661980
73;150;01/01/1977;FONTEDUCTILE;FONTEDUCTILE19661980
74;150;01/01/1977;FONTEDUCTILE;FONTEDUCTILE19661980
75;150;01/01/1977;FONTEDUCTILE;FONTEDUCTILE19661980
76;150;01/01/1977;FONTEDUCTILE;FONTEDUCTILE19661980
77;150;01/01/1977;FONTEDUCTILE;FONTEDUCTILE19661980
78;150;01/01/1977;FONTEDUCTILE;FONTEDUCTILE19661980
79;150;01/01/1977;FONTEDUCTILE;FONTEDUCTILE19661980
80;150;01/01/1977;FONTEDUCTILE;FONTEDUCTILE19661980
81;150;01/01/2003;FONTEDUCTILE;FONTEDUCTILE20002010
82;150;01/01/2003;FONTEDUCTILE;FONTEDUCTILE20002010
83;150;01/01/2003;FONTEDUCTILE;FONTEDUCTILE20002010
84;150;01/01/2003;FONTEDUCTILE;FONTEDUCTILE20002010
85;150;01/01/2003;FONTEDUCTILE;FONTEDUCTILE20002010
86;150;01/01/2003;FONTEDUCTILE;FONTEDUCTILE20002010
87;150;01/01/2003;FONTEDUCTILE;FONTEDUCTILE20002010
88;150;01/01/2003;FONTEDUCTILE;FONTEDUCTILE20002010
89;150;01/01/2003;FONTEDUCTILE;FONTEDUCTILE20002010
90;150;01/01/2003;FONTEDUCTILE;FONTEDUCTILE20002010
91;150;01/01/2003;FONTEDUCTILE;FONTEDUCTILE20002010
92;150;01/01/2003;FONTEDUCTILE;FONTEDUCTILE20002010
93;150;01/01/2003;FONTEDUCTILE;FONTEDUCTILE20002010
94;150;01/01/2003;FONTEDUCTILE;FONTEDUCTILE20002010
95;150;01/01/2003;FONTEDUCTILE;FONTEDUCTILE20002010
96;150;01/01/2003;FONTEDUCTILE;FONTEDUCTILE20002010
97;150;01/01/2003;FONTEDUCTILE;FONTEDUCTILE20002010
98;150;01/01/2003;FONTEDUCTILE;FONTEDUCTILE20002010
99;150;01/01/2003;FONTEDUCTILE;FONTEDUCTILE20002010
100;150;01/01/2003;FONTEDUCTILE;FONTEDUCTILE20002010
101;150;01/01/2003;FONTEDUCTILE;FONTEDUCTILE20002010
102;150;01/01/2003;FONTEDUCTILE;FONTEDUCTILE20002010
103;150;01/01/2003;FONTEDUCTILE;FONTEDUCTILE20002010
104;150;01/01/2003;FONTEDUCTILE;FONTEDUCTILE20002010
105;100;01/01/2003;FONTEDUCTILE;FONTEDUCTILE20002010
106;100;01/01/2003;FONTEDUCTILE;FONTEDUCTILE20002010
107;100;01/01/2003;FONTEDUCTILE;FONTEDUCTILE20002010
108;100;01/01/2003;FONTEDUCTILE;FONTEDUCTILE20002010
109;100;01/01/2003;FONTEDUCTILE;FONTEDUCTILE20002010
110;80;01/01/2005;FONTEDUCTILE;FONTEDUCTILE20002010
111;100;01/01/1971;BONNA;BONNA19651975
112;100;01/01/1971;BONNA;BONNA19651975
113;160;01/01/2003;PVC;PVC19902020
114;150;01/01/2004;FONTEDUCTILE;FONTEDUCTILE20002010
115;200;01/01/1971;BONNA;BONNA19651975
116;200;01/01/1971;BONNA;BONNA19651975
117;200;01/01/1971;BONNA;BONNA19651975
118;200;01/01/1971;BONNA;BONNA19651975
119;200;01/01/1971;BONNA;BONNA19651975
120;150;01/01/1960;BONNA;BONNA18001965
121;150;01/01/1960;BONNA;BONNA18001965
122;150;01/01/1960;BONNA;BONNA18001965
123;150;01/01/1960;BONNA;BONNA18001965
124;150;01/01/1960;BONNA;BONNA18001965
125;150;01/01/1960;BONNA;BONNA18001965
126;150;01/01/1960;BONNA;BONNA18001965
127;150;01/01/1960;BONNA;BONNA18001965
128;150;01/01/1960;BONNA;BONNA18001965
129;150;01/01/1960;BONNA;BONNA18001965
130;63;01/01/1980;PVC;PVC19701990
131;63;01/01/1980;PVC;PVC19701990
132;63;01/01/1980;PVC;PVC19701990
133;63;01/01/1980;PVC;PVC19701990
134;63;01/01/1980;PVC;PVC19701990
135;63;01/01/1980;PVC;PVC19701990
136;63;01/01/1980;PVC;PVC19701990
137;150;01/01/1980;BONNA;BONNA19752020
138;150;01/01/1980;BONNA;BONNA19752020
139;150;01/01/1980;BONNA;BONNA19752020
140;150;01/01/1980;BONNA;BONNA19752020
141;150;01/01/1980;BONNA;BONNA19752020
142;150;01/01/1980;BONNA;BONNA19752020
143;150;01/01/1980;BONNA;BONNA19752020
144;150;01/01/1980;BONNA;BONNA19752020
145;150;01/01/1980;BONNA;BONNA19752020
146;150;01/01/1980;BONNA;BONNA19752020
147;150;01/01/1980;BONNA;BONNA19752020
148;150;01/01/1980;BONNA;BONNA19752020
149;150;01/01/1980;BONNA;BONNA19752020
150;63;01/01/1980;PVC;PVC19701990
151;150;01/01/1980;BONNA;BONNA19752020
152;150;01/01/1980;BONNA;BONNA19752020
153;150;01/01/1980;BONNA;BONNA19752020
154;150;01/01/1980;BONNA;BONNA19752020
155;150;01/01/1980;BONNA;BONNA19752020
156;80;01/01/1971;BONNA;BONNA19651975
157;80;01/01/1971;BONNA;BONNA19651975
158;80;01/01/1971;BONNA;BONNA19651975
159;80;01/01/1971;BONNA;BONNA19651975
160;80;01/01/1971;BONNA;BONNA19651975
161;80;01/01/1971;BONNA;BONNA19651975
162;80;01/01/1971;BONNA;BONNA19651975
163;80;01/01/1971;BONNA;BONNA19651975
