IDTC;DDCC
458;03/07/2012
37426;03/07/2012
34789;03/07/2012
34789;03/07/2012
16700;05/06/2012
15101;05/06/2012
21823;05/06/2012
19615;05/06/2012
26318;05/06/2012
26013;05/06/2012
30843;05/06/2012
20215;05/06/2012
20232;05/06/2012
32847;05/06/2012
32573;05/06/2012
23665;05/06/2012
17506;05/06/2012
9864;04/06/2012
434;04/06/2012
33684;04/06/2012
6537;04/06/2012
25223;04/06/2012
16327;04/06/2012
40024;04/06/2012
24146;01/06/2012
7983;01/06/2012
444;01/06/2012
35122;01/06/2012
38887;31/05/2012
4445;31/05/2012
9680;31/05/2012
3936;31/05/2012
6175;31/05/2012
1003;31/05/2012
17833;21/05/2012
1051;21/05/2012
3388;10/05/2012
37425;10/05/2012
17545;04/04/2012
12725;29/03/2012
35522;29/03/2012
15073;29/03/2012
11083;29/03/2012
14998;29/03/2012
6656;29/03/2012
3949;29/03/2012
11020;29/03/2012
31381;29/03/2012
38688;29/03/2012
4653;29/03/2012
3758;29/03/2012
26886;29/03/2012
15073;29/03/2012
21838;29/03/2012
32684;29/03/2012
12659;28/03/2012
7149;28/03/2012
1003;28/03/2012
32896;28/03/2012
5363;28/03/2012
30842;28/03/2012
584;28/03/2012
31471;28/03/2012
31985;28/03/2012
36266;28/03/2012
26879;28/03/2012
32018;28/03/2012
29209;28/03/2012
11196;29/11/2011
4445;29/11/2011
22752;29/11/2011
2405;29/11/2011
19952;28/11/2011
1881;28/11/2011
36685;28/11/2011
24042;25/11/2011
27392;25/11/2011
20332;25/11/2011
2763;25/11/2011
4337;25/11/2011
3314;23/11/2011
40046;23/11/2011
14703;23/11/2011
14785;23/11/2011
14765;23/11/2011
6217;10/10/2011
2887;10/10/2011
30869;07/10/2011
4501;07/10/2011
4740;07/10/2011
4485;07/10/2011
37780;07/10/2011
7609;06/10/2011
2361;06/10/2011
34713;06/10/2011
18197;06/10/2011
18209;06/10/2011
19636;06/10/2011
6282;06/10/2011
2157;06/10/2011
35002;06/10/2011
30193;06/10/2011
650;06/10/2011
1003;06/10/2011
20862;06/10/2011
31926;06/10/2011
31811;06/10/2011
32173;14/04/2011
31987;14/04/2011
31986;14/04/2011
16883;14/04/2011
1473;14/04/2011
7453;13/04/2011
21406;13/04/2011
6320;13/04/2011
2578;12/04/2011
7449;14/03/2011
14801;14/03/2011
14488;14/03/2011
3405;14/03/2011
18414;14/03/2011
22243;14/03/2011
21406;11/03/2011
9053;01/02/2011
19745;01/02/2011
19883;01/02/2011
3649;25/01/2011
26885;25/01/2011
36305;13/01/2011
37185;13/01/2011
3588;12/01/2011
464;12/01/2011
25989;12/01/2011
24035;12/01/2011
16797;12/01/2011
6626;12/01/2011
17448;12/01/2011
583;12/01/2011
4709;12/01/2011
17324;12/01/2011
14124;12/01/2011
38680;12/01/2011
36304;12/01/2011
10892;12/01/2011
32022;11/01/2011
4903;10/01/2011
3728;10/01/2011
26439;14/10/2010
7166;11/10/2010
15897;11/10/2010
10245;01/10/2010
19380;29/09/2010
12949;21/09/2010
2585;21/09/2010
31985;14/09/2010
30697;14/09/2010
17401;14/09/2010
36553;03/08/2010
13459;02/08/2010
23817;26/07/2010
419;26/07/2010
