IDT;DIAMETRE;DDP;MATERIAU;MATAGE
0;60;01/01/1979;PVC;PVC19701990
1;60;01/01/1979;PVC;PVC19701990
2;60;01/01/1979;PVC;PVC19701990
3;60;01/01/1979;PVC;PVC19701990
4;60;01/01/1979;PVC;PVC19701990
5;60;01/01/1979;PVC;PVC19701990
6;60;01/01/1979;PVC;PVC19701990
7;60;01/01/1979;PVC;PVC19701990
8;60;01/01/1979;PVC;PVC19701990
9;60;01/01/1979;PVC;PVC19701990
10;60;01/01/1979;PVC;PVC19701990
11;60;01/01/1965;FONTEGRISE;FONTEGRISE19401970
12;60;01/01/1965;FONTEGRISE;FONTEGRISE19401970
13;60;01/01/1965;FONTEGRISE;FONTEGRISE19401970
14;60;01/01/1965;FONTEGRISE;FONTEGRISE19401970
15;60;01/01/1965;FONTEGRISE;FONTEGRISE19401970
16;60;01/01/1965;FONTEGRISE;FONTEGRISE19401970
17;60;01/01/1965;FONTEGRISE;FONTEGRISE19401970
18;60;01/01/1965;FONTEGRISE;FONTEGRISE19401970
19;60;01/01/1965;FONTEGRISE;FONTEGRISE19401970
20;60;01/01/1965;FONTEGRISE;FONTEGRISE19401970
21;60;01/01/1965;FONTEGRISE;FONTEGRISE19401970
22;60;01/01/1965;FONTEGRISE;FONTEGRISE19401970
23;60;01/01/1965;FONTEGRISE;FONTEGRISE19401970
24;60;01/01/1965;FONTEGRISE;FONTEGRISE19401970
25;60;01/01/1965;FONTEGRISE;FONTEGRISE19401970
26;60;01/01/1965;FONTEGRISE;FONTEGRISE19401970
27;60;01/01/1965;FONTEGRISE;FONTEGRISE19401970
28;60;01/01/1965;FONTEGRISE;FONTEGRISE19401970
29;60;01/01/1965;FONTEGRISE;FONTEGRISE19401970
30;60;01/01/1965;FONTEGRISE;FONTEGRISE19401970
31;60;01/01/1965;FONTEGRISE;FONTEGRISE19401970
32;60;01/01/1965;FONTEGRISE;FONTEGRISE19401970
33;60;01/01/1965;FONTEGRISE;FONTEGRISE19401970
34;60;01/01/1965;FONTEGRISE;FONTEGRISE19401970
35;60;01/01/1965;FONTEGRISE;FONTEGRISE19401970
36;60;01/01/1965;FONTEGRISE;FONTEGRISE19401970
37;60;01/01/1965;FONTEGRISE;FONTEGRISE19401970
38;60;01/01/1965;FONTEGRISE;FONTEGRISE19401970
39;60;01/01/1965;FONTEGRISE;FONTEGRISE19401970
40;60;01/01/1965;FONTEGRISE;FONTEGRISE19401970
41;60;01/01/1965;FONTEGRISE;FONTEGRISE19401970
42;60;01/01/1965;FONTEGRISE;FONTEGRISE19401970
43;60;01/01/1965;FONTEGRISE;FONTEGRISE19401970
44;60;01/01/1965;FONTEGRISE;FONTEGRISE19401970
45;60;01/01/1965;FONTEGRISE;FONTEGRISE19401970
46;60;01/01/1965;FONTEGRISE;FONTEGRISE19401970
47;60;01/01/1965;FONTEGRISE;FONTEGRISE19401970
48;60;01/01/1965;FONTEGRISE;FONTEGRISE19401970
49;60;01/01/1965;FONTEGRISE;FONTEGRISE19401970
50;60;01/01/1965;FONTEGRISE;FONTEGRISE19401970
51;60;01/01/1965;FONTEGRISE;FONTEGRISE19401970
52;60;01/01/1965;FONTEGRISE;FONTEGRISE19401970
53;60;01/01/1965;FONTEGRISE;FONTEGRISE19401970
54;60;01/01/1965;FONTEGRISE;FONTEGRISE19401970
55;60;01/01/1965;FONTEGRISE;FONTEGRISE19401970
