IDTC;DDCC
4386;10/05/2005
14187;08/04/2005
14762;15/03/2005
3587;10/03/2005
14570;14/02/2005
10480;08/12/2004
8682;26/02/2005
2927;08/02/2005
8282;03/02/2005
14486;22/10/2004
12568;03/02/2005
3571;26/01/2005
6192;21/12/2004
11934;22/12/2004
5337;08/01/2004
12354;14/01/2004
9110;27/01/2004
5386;26/03/2004
1602;07/01/2001
2405;24/02/2004
10564;17/06/2004
11318;29/02/2004
8599;26/03/2004
7351;16/11/2004
14493;03/02/2005
4739;23/06/2004
7356;10/11/2004
13930;17/11/2004
7352;08/03/2004
4489;25/06/2004
9968;26/08/2004
10468;07/01/2004
11688;01/03/2004
14546;05/07/2005
370;10/12/2003
2717;07/11/2003
11943;07/11/2003
10504;24/10/2003
5531;30/11/2003
13388;04/12/2003
4268;11/12/2003
14490;24/12/2003
4563;24/09/2003
2766;26/08/2002
11579;10/01/2003
7807;13/01/2003
10546;15/01/2003
1565;05/07/2005
14623;14/01/2003
9204;27/01/2003
9111;29/01/2003
9187;07/02/2003
10488;22/02/2003
3084;26/09/2002
360;05/07/2005
8197;11/09/2002
2554;08/10/2002
8931;01/11/2002
10425;10/12/2002
14801;21/10/2002
4276;25/11/2002
4736;06/12/2002
3501;14/12/2002
4739;05/06/2002
7573;07/06/2002
3973;29/07/2002
9778;09/09/2002
6147;29/12/2001
4029;04/01/2002
6872;11/01/2002
12665;14/01/2002
10301;15/01/2002
2320;23/01/2002
14510;11/05/2001
3686;31/05/2001
14016;14/03/2001
10686;17/02/2001
166;30/01/2004
59;12/03/2001
6143;30/12/2000
3733;09/01/2001
10515;16/02/2001
1286;03/03/2001
4335;02/03/2001
24;24/02/2001
12888;11/05/2001
1670;08/08/2001
3602;14/08/2001
7435;10/04/2001
3595;17/08/2001
3593;17/08/2001
6083;25/09/2001
14344;01/10/2001
883;20/11/2001
5203;14/12/2001
10410;17/12/2001
8956;10/12/2001
10453;20/12/2001
10682;09/05/2001
10260;23/08/2005
12984;23/08/2005
10095;21/06/2005
8819;24/06/2005
7532;26/07/2005
10221;02/08/2005
14806;08/09/2005
14672;04/01/2006
3604;03/10/2005
2667;21/10/2005
3697;07/11/2005
14635;05/11/2005
14718;22/11/2005
11933;25/11/2005
12480;04/01/2006
11862;09/01/2006
9755;17/01/2006
5279;19/05/2005
7076;04/10/2005
14620;09/12/2005
4805;09/12/2005
10439;20/12/2005
12571;06/01/2006
1597;30/01/2006
3609;20/09/2001
10082;14/09/2002
6358;27/01/2006
10558;03/02/2006
10561;03/02/2006
10207;08/02/2006
6362;14/02/2006
8678;08/03/2006
11095;14/03/2006
7571;24/03/2006
10373;08/02/2006
13929;03/05/2006
7899;21/07/2006
400;09/08/2006
11311;22/08/2006
14633;11/10/2006
8957;31/10/2006
14644;21/11/2006
3565;05/12/2006
30;22/12/2006
3689;02/01/2007
6159;30/01/2007
11588;11/04/2007
292;17/10/2007
9799;23/10/2007
2414;18/12/2007
1589;14/01/2008
7574;21/12/2007
8549;19/05/2008
9560;23/12/2007
9563;21/12/2007
10554;10/01/2008
12009;13/03/2008
12353;14/05/2008
6082;21/05/2008
3372;14/05/2008
10662;09/07/2009
14605;09/07/2009
10836;09/07/2009
10697;10/07/2009
10574;10/07/2009
11088;10/07/2009
10938;10/07/2009
8309;10/07/2009
8990;10/07/2009
8181;10/07/2009
6873;10/07/2009
14375;10/07/2009
5400;10/07/2009
3622;10/07/2009
13347;10/07/2009
728;10/07/2009
2526;10/07/2009
2334;10/07/2009
